,충청북도 영동군,충청북도 영동군 영동읍,충청북도 영동군 용산면,충청북도 영동군 황간면,충청북도 영동군 추풍령면,충청북도 영동군 매곡면,충청북도 영동군 상촌면,충청북도 영동군 양강면,충청북도 영동군 용화면,충청북도 영동군 학산면,충청북도 영동군 양산면,충청북도 영동군 심천면
2021년02월_계_총인구수,"47,023","20,711","3,274","4,354","2,284","1,925","2,366","3,204",995,"2,835","1,848","3,227"
2021년02월_계_연령구간인구수,"47,023","20,711","3,274","4,354","2,284","1,925","2,366","3,204",995,"2,835","1,848","3,227"
2021년02월_계_0~9세,"2,265","1,493",103,164,46,48,69,101,27,78,38,98
2021년02월_계_10~19세,"3,329","2,036",143,304,121,92,99,178,50,109,75,122
2021년02월_계_20~29세,"4,273","2,595",229,283,142,110,110,306,45,158,107,188
2021년02월_계_30~39세,"3,204","1,920",156,264,91,76,105,173,34,122,74,189
2021년02월_계_40~49세,"5,289","3,017",304,421,214,153,187,280,78,204,170,261
2021년02월_계_50~59세,"8,355","3,514",632,811,448,359,396,615,186,496,333,565
2021년02월_계_60~69세,"9,307","3,016",811,985,535,472,584,699,248,730,421,806
2021년02월_계_70~79세,"6,518","1,988",497,683,402,319,478,503,178,526,353,591
2021년02월_계_80~89세,"3,906",992,347,395,246,264,280,313,129,349,230,361
2021년02월_계_90~99세,537,123,46,39,37,31,56,35,19,59,47,45
2021년02월_계_100세 이상,40,17,6,5,2,1,2,1,1,4,0,1
2021년02월_남_총인구수,"23,396","10,228","1,665","2,197","1,129",947,"1,154","1,629",497,"1,422",918,"1,610"
2021년02월_남_연령구간인구수,"23,396","10,228","1,665","2,197","1,129",947,"1,154","1,629",497,"1,422",918,"1,610"
2021년02월_남_0~9세,"1,145",746,54,90,24,23,28,43,15,46,23,53
2021년02월_남_10~19세,"1,734","1,052",71,160,62,50,61,100,28,49,38,63
2021년02월_남_20~29세,"2,409","1,390",136,170,87,68,64,195,24,103,63,109
2021년02월_남_30~39세,"1,686",969,95,137,49,43,58,96,22,66,50,101
2021년02월_남_40~49세,"2,872","1,538",166,244,120,94,109,167,46,133,99,156
2021년02월_남_50~59세,"4,440","1,809",352,441,245,192,214,332,107,272,176,300
2021년02월_남_60~69세,"4,761","1,507",428,508,263,243,306,362,136,364,231,413
2021년02월_남_70~79세,"2,869",851,245,294,183,133,209,217,74,245,149,269
2021년02월_남_80~89세,"1,345",337,108,145,86,93,93,109,39,129,75,131
2021년02월_남_90~99세,124,23,9,7,9,8,11,8,6,14,14,15
2021년02월_남_100세 이상,11,6,1,1,1,0,1,0,0,1,0,0
2021년02월_여_총인구수,"23,627","10,483","1,609","2,157","1,155",978,"1,212","1,575",498,"1,413",930,"1,617"
2021년02월_여_연령구간인구수,"23,627","10,483","1,609","2,157","1,155",978,"1,212","1,575",498,"1,413",930,"1,617"
2021년02월_여_0~9세,"1,120",747,49,74,22,25,41,58,12,32,15,45
2021년02월_여_10~19세,"1,595",984,72,144,59,42,38,78,22,60,37,59
2021년02월_여_20~29세,"1,864","1,205",93,113,55,42,46,111,21,55,44,79
2021년02월_여_30~39세,"1,518",951,61,127,42,33,47,77,12,56,24,88
2021년02월_여_40~49세,"2,417","1,479",138,177,94,59,78,113,32,71,71,105
2021년02월_여_50~59세,"3,915","1,705",280,370,203,167,182,283,79,224,157,265
2021년02월_여_60~69세,"4,546","1,509",383,477,272,229,278,337,112,366,190,393
2021년02월_여_70~79세,"3,649","1,137",252,389,219,186,269,286,104,281,204,322
2021년02월_여_80~89세,"2,561",655,239,250,160,171,187,204,90,220,155,230
2021년02월_여_90~99세,413,100,37,32,28,23,45,27,13,45,33,30
2021년02월_여_100세 이상,29,11,5,4,1,1,1,1,1,3,0,1
