카테고리,전라북도 완주군,전라북도 완주군 삼례읍,전라북도 완주군 봉동읍,전라북도 완주군 용진읍,전라북도 완주군 상관면,전라북도 완주군 이서면,전라북도 완주군 소양면,전라북도 완주군 구이면,전라북도 완주군 고산면,전라북도 완주군 비봉면,전라북도 완주군 운주면,전라북도 완주군 화산면,전라북도 완주군 동상면,전라북도 완주군 경천면
2021년10월_계_총인구수,"91,093","14,297","26,384","6,995","4,329","14,240","6,001","5,748","4,567","1,855","1,941","2,680","1,090",966
2021년10월_계_연령구간인구수,"91,093","14,297","26,384","6,995","4,329","14,240","6,001","5,748","4,567","1,855","1,941","2,680","1,090",966
2021년10월_계_0~9세,"6,429",673,"2,734",351,266,"1,580",209,177,214,54,48,77,30,16
2021년10월_계_10~19세,"8,149","1,119","3,410",485,366,"1,356",335,360,263,102,63,207,44,39
2021년10월_계_20~29세,"8,734","1,742","2,758",649,368,"1,357",497,519,337,111,82,190,76,48
2021년10월_계_30~39세,"8,918","1,194","3,308",532,312,"2,120",380,354,322,96,89,114,57,40
2021년10월_계_40~49세,"13,224","1,968","4,831",873,615,"2,505",563,570,508,184,175,275,79,78
2021년10월_계_50~59세,"15,252","2,476","3,777","1,318",787,"2,167","1,154","1,184",830,316,374,454,247,168
2021년10월_계_60~69세,"14,732","2,446","2,830","1,348",791,"1,653","1,414","1,297",902,428,492,569,312,250
2021년10월_계_70~79세,"9,302","1,560","1,687",860,513,971,850,754,680,304,362,441,138,182
2021년10월_계_80~89세,"5,453",968,888,497,268,461,516,466,436,212,226,290,92,133
2021년10월_계_90~99세,873,148,157,78,41,67,79,65,74,47,29,61,15,12
2021년10월_계_100세 이상,27,3,4,4,2,3,4,2,1,1,1,2,0,0
2021년10월_남_총인구수,"46,840","7,386","13,751","3,615","2,217","7,156","3,112","2,882","2,338",953,976,"1,401",558,495
2021년10월_남_연령구간인구수,"46,840","7,386","13,751","3,615","2,217","7,156","3,112","2,882","2,338",953,976,"1,401",558,495
2021년10월_남_0~9세,"3,191",333,"1,392",167,137,775,102,80,98,27,23,34,15,8
2021년10월_남_10~19세,"4,282",563,"1,802",262,187,691,182,183,156,56,39,118,23,20
2021년10월_남_20~29세,"4,917",961,"1,599",380,214,685,292,283,211,64,39,111,44,34
2021년10월_남_30~39세,"4,614",696,"1,663",275,159,"1,041",220,175,173,49,57,60,22,24
2021년10월_남_40~49세,"7,246","1,088","2,597",485,329,"1,336",332,299,305,109,106,159,52,49
2021년10월_남_50~59세,"8,500","1,440","2,115",759,436,"1,153",615,629,456,184,207,284,130,92
2021년10월_남_60~69세,"7,696","1,243","1,453",700,403,853,737,716,476,234,260,310,180,131
2021년10월_남_70~79세,"4,353",702,791,395,246,454,434,362,304,147,157,217,65,79
2021년10월_남_80~89세,"1,841",327,301,170,100,150,180,145,140,76,83,93,22,54
2021년10월_남_90~99세,194,31,36,22,6,18,17,10,18,7,5,15,5,4
2021년10월_남_100세 이상,6,2,2,0,0,0,1,0,1,0,0,0,0,0
2021년10월_여_총인구수,"44,253","6,911","12,633","3,380","2,112","7,084","2,889","2,866","2,229",902,965,"1,279",532,471
2021년10월_여_연령구간인구수,"44,253","6,911","12,633","3,380","2,112","7,084","2,889","2,866","2,229",902,965,"1,279",532,471
2021년10월_여_0~9세,"3,238",340,"1,342",184,129,805,107,97,116,27,25,43,15,8
2021년10월_여_10~19세,"3,867",556,"1,608",223,179,665,153,177,107,46,24,89,21,19
2021년10월_여_20~29세,"3,817",781,"1,159",269,154,672,205,236,126,47,43,79,32,14
2021년10월_여_30~39세,"4,304",498,"1,645",257,153,"1,079",160,179,149,47,32,54,35,16
2021년10월_여_40~49세,"5,978",880,"2,234",388,286,"1,169",231,271,203,75,69,116,27,29
2021년10월_여_50~59세,"6,752","1,036","1,662",559,351,"1,014",539,555,374,132,167,170,117,76
2021년10월_여_60~69세,"7,036","1,203","1,377",648,388,800,677,581,426,194,232,259,132,119
2021년10월_여_70~79세,"4,949",858,896,465,267,517,416,392,376,157,205,224,73,103
2021년10월_여_80~89세,"3,612",641,587,327,168,311,336,321,296,136,143,197,70,79
2021년10월_여_90~99세,679,117,121,56,35,49,62,55,56,40,24,46,10,8
2021년10월_여_100세 이상,21,1,2,4,2,3,3,2,0,1,1,2,0,0
