,경기도 화성시,경기도 화성시 봉담읍,경기도 화성시 우정읍,경기도 화성시 향남읍,경기도 화성시 남양읍,경기도 화성시 매송면,경기도 화성시 비봉면,경기도 화성시 마도면,경기도 화성시 송산면,경기도 화성시 서신면,경기도 화성시 팔탄면,경기도 화성시 장안면,경기도 화성시 양감면,경기도 화성시 정남면,경기도 화성시 새솔동,경기도 화성시 진안동,경기도 화성시 병점1동,경기도 화성시 병점2동,경기도 화성시 반월동,경기도 화성시 기배동,경기도 화성시 화산동,경기도 화성시 동탄1동,경기도 화성시 동탄2동,경기도 화성시 동탄3동,경기도 화성시 동탄4동,경기도 화성시 동탄5동,경기도 화성시 동탄6동,경기도 화성시 동탄7동,경기도 화성시 동탄8동
2020년12월_계_총인구수,"855,248","81,760","17,382","85,844","41,654","7,200","5,854","6,890","10,908","7,126","9,960","10,310","3,973","11,420","21,561","43,777","28,504","24,494","32,533","13,673","23,237","51,459","35,949","42,204","53,441","41,088","31,036","84,202","27,809"
2020년12월_계_연령구간인구수,"855,248","81,760","17,382","85,844","41,654","7,200","5,854","6,890","10,908","7,126","9,960","10,310","3,973","11,420","21,561","43,777","28,504","24,494","32,533","13,673","23,237","51,459","35,949","42,204","53,441","41,088","31,036","84,202","27,809"
2020년12월_계_0~9세,"104,485","8,367",913,"10,668","4,142",291,227,258,442,167,308,391,99,413,"3,995","4,469","2,622","2,517","4,376","1,327","1,813","6,474","4,337","5,863","9,336","6,174","4,529","14,861","5,106"
2020년12월_계_10~19세,"96,749","9,879","1,448","10,047","3,523",482,339,409,787,308,474,613,158,785,"2,086","3,923","3,145","4,006","4,013","1,802","2,234","6,931","6,621","5,350","8,856","4,154","2,955","9,042","2,379"
2020년12월_계_20~29세,"104,538","10,211","1,778","10,233","5,655",812,580,727,992,561,992,"1,018",392,"1,362","2,406","7,053","4,940","2,962","4,136","1,709","3,133","7,851","3,784","6,229","4,219","4,904","4,430","8,580","2,889"
2020년12월_계_30~39세,"151,181","11,525","1,598","15,846","7,197",667,508,736,868,514,"1,014",899,364,"1,144","4,847","8,905","4,540","3,099","5,870","1,582","3,006","9,790","4,271","8,330","9,368","9,942","7,522","19,569","7,660"
2020년12월_계_40~49세,"164,059","15,797","2,775","17,244","6,753",959,698,"1,002","1,422",821,"1,474","1,318",479,"1,648","4,077","7,818","5,102","5,452","6,033","2,657","3,948","10,379","8,811","8,517","13,255","7,922","5,816","16,904","4,978"
2020년12월_계_50~59세,"115,447","12,533","3,518","10,909","6,581","1,535","1,230","1,428","2,183","1,616","2,320","2,198",898,"2,436","2,636","5,903","4,049","3,269","4,532","2,255","4,170","6,333","4,696","4,174","5,342","4,064","3,341","8,739","2,559"
2020년12월_계_60~69세,"69,998","7,961","2,768","6,370","4,605","1,300","1,150","1,225","2,089","1,678","1,924","2,038",862,"1,965","1,124","3,449","2,403","1,708","2,452","1,373","2,972","2,355","1,993","2,074","2,021","2,462","1,612","4,498","1,567"
2020년12월_계_70~79세,"32,115","3,746","1,618","2,940","2,087",737,648,709,"1,246",845,849,"1,108",421,"1,021",249,"1,548","1,182","1,007",748,687,"1,330",926,"1,029","1,195",736,"1,039",561,"1,441",462
2020년12월_계_80~89세,"14,481","1,497",846,"1,409",948,365,396,343,728,528,518,655,269,557,124,625,457,422,316,244,558,372,367,412,263,372,226,485,179
2020년12월_계_90~99세,"2,079",227,114,169,159,49,75,49,140,79,81,64,30,81,16,82,63,52,54,36,66,47,37,59,45,53,43,79,30
2020년12월_계_100세 이상,116,17,6,9,4,3,3,4,11,9,6,8,1,8,1,2,1,0,3,1,7,1,3,1,0,2,1,4,0
2020년12월_남_총인구수,"443,841","41,530","9,448","45,905","22,700","3,810","3,301","4,093","5,867","3,940","6,016","5,924","2,441","6,593","10,838","23,574","14,595","11,932","16,453","6,990","12,278","26,487","17,716","21,746","26,651","20,613","16,061","42,275","14,064"
2020년12월_남_연령구간인구수,"443,841","41,530","9,448","45,905","22,700","3,810","3,301","4,093","5,867","3,940","6,016","5,924","2,441","6,593","10,838","23,574","14,595","11,932","16,453","6,990","12,278","26,487","17,716","21,746","26,651","20,613","16,061","42,275","14,064"
2020년12월_남_0~9세,"53,416","4,141",478,"5,523","2,143",146,127,148,228,83,165,226,56,217,"1,978","2,294","1,372","1,282","2,212",690,940,"3,279","2,218","3,028","4,788","3,173","2,321","7,568","2,592"
2020년12월_남_10~19세,"49,446","4,952",738,"5,134","1,812",260,181,224,430,168,252,336,88,421,"1,040","2,010","1,607","2,007","2,074",928,"1,191","3,565","3,332","2,786","4,473","2,122","1,543","4,583","1,189"
2020년12월_남_20~29세,"56,480","5,444","1,074","5,649","3,327",459,350,466,573,361,657,622,266,843,"1,235","4,060","2,731","1,503","2,190",925,"1,786","4,227","1,909","3,431","2,114","2,372","2,195","4,297","1,414"
2020년12월_남_30~39세,"78,651","5,853",961,"8,874","4,207",382,315,494,525,304,690,580,249,760,"2,407","5,045","2,393","1,493","2,909",817,"1,660","4,918","1,927","4,325","4,078","5,002","3,967","9,619","3,897"
2020년12월_남_40~49세,"87,518","8,213","1,644","9,624","3,832",544,442,683,823,508,999,857,346,"1,050","2,124","4,368","2,592","2,644","3,122","1,350","2,189","5,213","4,283","4,376","6,849","4,144","3,125","8,893","2,681"
2020년12월_남_50~59세,"61,970","6,616","2,024","6,030","3,567",861,716,867,"1,256",932,"1,498","1,364",590,"1,482","1,284","3,119","2,026","1,707","2,198","1,185","2,179","3,493","2,513","2,201","2,926","2,065","1,760","4,268","1,243"
2020년12월_남_60~69세,"35,687","3,985","1,425","3,235","2,413",682,677,700,"1,121",927,"1,118","1,134",526,"1,105",608,"1,734","1,179",745,"1,268",673,"1,509","1,201",944,912,"1,004","1,126",804,"2,180",752
2020년12월_남_70~79세,"15,013","1,747",772,"1,313","1,028",327,317,369,587,422,430,519,216,500,127,687,505,398,377,327,624,443,434,508,333,482,263,727,231
2020년12월_남_80~89세,"5,197",525,303,485,344,134,158,130,289,215,184,261,96,200,33,236,179,148,90,89,190,139,150,162,80,118,73,124,62
2020년12월_남_90~99세,427,50,26,33,27,13,16,12,35,17,23,19,8,13,2,20,11,5,11,6,8,9,5,17,6,9,9,14,3
2020년12월_남_100세 이상,36,4,3,5,0,2,2,0,0,3,0,6,0,2,0,1,0,0,2,0,2,0,1,0,0,0,1,2,0
2020년12월_여_총인구수,"411,407","40,230","7,934","39,939","18,954","3,390","2,553","2,797","5,041","3,186","3,944","4,386","1,532","4,827","10,723","20,203","13,909","12,562","16,080","6,683","10,959","24,972","18,233","20,458","26,790","20,475","14,975","41,927","13,745"
2020년12월_여_연령구간인구수,"411,407","40,230","7,934","39,939","18,954","3,390","2,553","2,797","5,041","3,186","3,944","4,386","1,532","4,827","10,723","20,203","13,909","12,562","16,080","6,683","10,959","24,972","18,233","20,458","26,790","20,475","14,975","41,927","13,745"
2020년12월_여_0~9세,"51,069","4,226",435,"5,145","1,999",145,100,110,214,84,143,165,43,196,"2,017","2,175","1,250","1,235","2,164",637,873,"3,195","2,119","2,835","4,548","3,001","2,208","7,293","2,514"
2020년12월_여_10~19세,"47,303","4,927",710,"4,913","1,711",222,158,185,357,140,222,277,70,364,"1,046","1,913","1,538","1,999","1,939",874,"1,043","3,366","3,289","2,564","4,383","2,032","1,412","4,459","1,190"
2020년12월_여_20~29세,"48,058","4,767",704,"4,584","2,328",353,230,261,419,200,335,396,126,519,"1,171","2,993","2,209","1,459","1,946",784,"1,347","3,624","1,875","2,798","2,105","2,532","2,235","4,283","1,475"
2020년12월_여_30~39세,"72,530","5,672",637,"6,972","2,990",285,193,242,343,210,324,319,115,384,"2,440","3,860","2,147","1,606","2,961",765,"1,346","4,872","2,344","4,005","5,290","4,940","3,555","9,950","3,763"
2020년12월_여_40~49세,"76,541","7,584","1,131","7,620","2,921",415,256,319,599,313,475,461,133,598,"1,953","3,450","2,510","2,808","2,911","1,307","1,759","5,166","4,528","4,141","6,406","3,778","2,691","8,011","2,297"
2020년12월_여_50~59세,"53,477","5,917","1,494","4,879","3,014",674,514,561,927,684,822,834,308,954,"1,352","2,784","2,023","1,562","2,334","1,070","1,991","2,840","2,183","1,973","2,416","1,999","1,581","4,471","1,316"
2020년12월_여_60~69세,"34,311","3,976","1,343","3,135","2,192",618,473,525,968,751,806,904,336,860,516,"1,715","1,224",963,"1,184",700,"1,463","1,154","1,049","1,162","1,017","1,336",808,"2,318",815
2020년12월_여_70~79세,"17,102","1,999",846,"1,627","1,059",410,331,340,659,423,419,589,205,521,122,861,677,609,371,360,706,483,595,687,403,557,298,714,231
2020년12월_여_80~89세,"9,284",972,543,924,604,231,238,213,439,313,334,394,173,357,91,389,278,274,226,155,368,233,217,250,183,254,153,361,117
2020년12월_여_90~99세,"1,652",177,88,136,132,36,59,37,105,62,58,45,22,68,14,62,52,47,43,30,58,38,32,42,39,44,34,65,27
2020년12월_여_100세 이상,80,13,3,4,4,1,1,4,11,6,6,2,1,6,1,1,1,0,1,1,5,1,2,1,0,2,0,2,0
