카테고리,전라북도 전주시,전라북도 전주시 완산구,전라북도 전주시 완산구 중앙동,전라북도 전주시 완산구 풍남동,전라북도 전주시 완산구 노송동,전라북도 전주시 완산구 완산동,전라북도 전주시 완산구 동서학동,전라북도 전주시 완산구 서서학동,전라북도 전주시 완산구 중화산1동,전라북도 전주시 완산구 중화산2동,전라북도 전주시 완산구 서신동,전라북도 전주시 완산구 평화1동,전라북도 전주시 완산구 평화2동,전라북도 전주시 완산구 삼천1동,전라북도 전주시 완산구 삼천2동,전라북도 전주시 완산구 삼천3동,전라북도 전주시 완산구 효자1동,전라북도 전주시 완산구 효자2동,전라북도 전주시 완산구 효자3동,전라북도 전주시 완산구 효자4동,전라북도 전주시 완산구 효자5동,전라북도 전주시 덕진구,전라북도 전주시 덕진구 진북동,전라북도 전주시 덕진구 인후1동,전라북도 전주시 덕진구 인후2동,전라북도 전주시 덕진구 인후3동,전라북도 전주시 덕진구 덕진동,전라북도 전주시 덕진구 금암1동,전라북도 전주시 덕진구 금암2동,전라북도 전주시 덕진구 팔복동,전라북도 전주시 덕진구 우아1동,전라북도 전주시 덕진구 우아2동,전라북도 전주시 덕진구 호성동,전라북도 전주시 덕진구 송천1동,전라북도 전주시 덕진구 송천2동,전라북도 전주시 덕진구 조촌동,전라북도 전주시 덕진구 여의동,전라북도 전주시 덕진구 혁신동,전라북도 전주시효자출장소
2020년08월_계_총인구수,"656,149","339,695","7,759","4,330","12,728","5,007","6,535","8,854","14,825","19,585","40,868","13,033","45,466","12,019","13,758","22,346","11,232","10,480","15,017","39,200","36,653","316,454","14,582","18,716","11,568","31,818","20,041","7,618","10,085","7,824","9,837","14,740","20,776","60,964","26,676","12,438","30,612","18,159",0
2020년08월_계_연령구간인구수,"656,149","339,695","7,759","4,330","12,728","5,007","6,535","8,854","14,825","19,585","40,868","13,033","45,466","12,019","13,758","22,346","11,232","10,480","15,017","39,200","36,653","316,454","14,582","18,716","11,568","31,818","20,041","7,618","10,085","7,824","9,837","14,740","20,776","60,964","26,676","12,438","30,612","18,159",0
2020년08월_계_0~9세,"54,837","25,221",334,109,641,191,314,354,"1,015","1,472","3,315",638,"4,036",734,685,"1,582",654,555,"1,025","4,440","3,127","29,616",662,"1,505",576,"2,697","2,035",208,467,342,663,916,"1,579","8,149","2,183",866,"3,795","2,973",0
2020년08월_계_10~19세,"72,356","36,637",473,193,846,367,469,684,"1,307","2,661","5,048",879,"5,411","1,158","1,309","2,594",949,938,"1,589","4,992","4,770","35,719","1,108","2,423",787,"4,155","1,593",361,681,541,788,"1,335","2,616","8,668","3,172","1,031","3,149","3,311",0
2020년08월_계_20~29세,"92,560","49,351",960,400,"1,438",528,717,"1,029","2,365","3,163","6,293","1,399","5,789","1,749","2,114","3,111","1,466","1,536","2,125","6,171","6,998","43,209","1,760","2,386","1,583","4,607","3,193","2,178","1,554",855,"1,335","2,031","2,819","7,840","4,004","1,570","3,871","1,623",0
2020년08월_계_30~39세,"82,226","40,236",789,404,"1,373",441,581,789,"1,707","2,353","5,072","1,360","5,244","1,250","1,332","2,199","1,169","1,106","1,705","5,349","6,013","41,990","1,352","1,952","1,338","3,987","3,384",929,"1,060",761,"1,275","2,014","2,100","9,429","3,016","1,709","5,254","2,430",0
2020년08월_계_40~49세,"107,597","54,020",945,545,"1,727",706,829,"1,211","1,968","3,539","7,090","1,765","7,504","1,716","1,819","3,584","1,562","1,445","2,169","6,905","6,991","53,577","1,869","3,174","1,528","6,100","3,033",869,"1,301","1,147","1,456","2,523","3,256","11,762","4,207","1,867","5,177","4,308",0
2020년08월_계_50~59세,"105,737","57,048","1,342",726,"2,040",812,"1,083","1,567","2,570","3,218","6,998","2,361","7,528","2,299","2,665","4,253","1,853","1,828","2,549","5,959","5,397","48,689","2,410","2,869","1,900","4,999","2,731","1,097","1,608","1,474","1,691","2,632","3,631","8,305","4,644","2,136","4,450","2,112",0
2020년08월_계_60~69세,"75,174","41,451","1,417",861,"2,194",860,"1,262","1,599","2,145","1,876","3,822","2,220","5,645","1,717","2,245","2,749","1,793","1,667","2,069","3,340","1,970","33,723","2,339","2,225","1,877","2,731","2,091",962,"1,637","1,374","1,472","1,796","2,717","4,075","3,035","1,693","2,821",878,0
2020년08월_계_70~79세,"43,518","23,578",969,706,"1,553",709,816,"1,105","1,156",868,"2,133","1,562","2,855",940,"1,124","1,416","1,225","1,000","1,166","1,346",929,"19,940","1,979","1,520","1,366","1,720","1,330",666,"1,248",927,767,966,"1,328","1,819","1,607",966,"1,392",339,0
