,전라남도 진도군,전라남도 진도군 진도읍,전라남도 진도군 군내면,전라남도 진도군 고군면,전라남도 진도군 의신면,전라남도 진도군 임회면,전라남도 진도군 지산면,전라남도 진도군 조도면,전라남도 진도군 조도면가사출장소,전라남도 진도군 조도면거차출장소
2020년09월_계_총인구수,"30,300","10,715","3,000","3,614","3,450","3,406","3,161","2,328",266,360
2020년09월_계_연령구간인구수,"30,300","10,715","3,000","3,614","3,450","3,406","3,161","2,328",266,360
2020년09월_계_0~9세,"1,715",901,120,195,117,122,108,105,16,31
2020년09월_계_10~19세,"2,224","1,166",173,240,163,186,124,126,10,36
2020년09월_계_20~29세,"2,393","1,151",184,256,210,217,202,138,18,17
2020년09월_계_30~39세,"2,229","1,118",177,265,194,169,148,119,17,22
2020년09월_계_40~49세,"3,542","1,577",309,381,353,323,241,285,28,45
2020년09월_계_50~59세,"4,991","1,736",512,578,615,574,510,366,41,59
2020년09월_계_60~69세,"5,197","1,428",590,716,676,656,628,405,44,54
2020년09월_계_70~79세,"4,763","1,054",543,554,652,670,711,461,52,66
2020년09월_계_80~89세,"2,864",518,347,375,411,415,438,297,38,25
2020년09월_계_90~99세,365,63,44,48,58,73,49,23,2,5
2020년09월_계_100세 이상,17,3,1,6,1,1,2,3,0,0
2020년09월_남_총인구수,"14,889","5,246","1,504","1,742","1,748","1,626","1,518","1,192",136,177
2020년09월_남_연령구간인구수,"14,889","5,246","1,504","1,742","1,748","1,626","1,518","1,192",136,177
2020년09월_남_0~9세,813,417,58,98,64,57,50,45,8,16
2020년09월_남_10~19세,"1,156",611,83,118,87,100,62,67,10,18
2020년09월_남_20~29세,"1,373",653,118,136,118,117,127,86,6,12
2020년09월_남_30~39세,"1,214",572,107,146,122,93,84,68,10,12
2020년09월_남_40~49세,"2,046",799,181,234,229,201,165,188,19,30
2020년09월_남_50~59세,"2,745",874,304,308,347,313,294,237,28,40
2020년09월_남_60~69세,"2,623",693,304,352,354,334,307,234,25,20
2020년09월_남_70~79세,"2,015",463,232,227,278,291,294,187,21,22
2020년09월_남_80~89세,837,153,108,113,137,109,125,78,8,6
2020년09월_남_90~99세,67,11,9,10,12,11,10,2,1,1
2020년09월_남_100세 이상,0,0,0,0,0,0,0,0,0,0
2020년09월_여_총인구수,"15,411","5,469","1,496","1,872","1,702","1,780","1,643","1,136",130,183
2020년09월_여_연령구간인구수,"15,411","5,469","1,496","1,872","1,702","1,780","1,643","1,136",130,183
2020년09월_여_0~9세,902,484,62,97,53,65,58,60,8,15
2020년09월_여_10~19세,"1,068",555,90,122,76,86,62,59,0,18
2020년09월_여_20~29세,"1,020",498,66,120,92,100,75,52,12,5
2020년09월_여_30~39세,"1,015",546,70,119,72,76,64,51,7,10
2020년09월_여_40~49세,"1,496",778,128,147,124,122,76,97,9,15
2020년09월_여_50~59세,"2,246",862,208,270,268,261,216,129,13,19
2020년09월_여_60~69세,"2,574",735,286,364,322,322,321,171,19,34
2020년09월_여_70~79세,"2,748",591,311,327,374,379,417,274,31,44
2020년09월_여_80~89세,"2,027",365,239,262,274,306,313,219,30,19
2020년09월_여_90~99세,298,52,35,38,46,62,39,21,1,4
2020년09월_여_100세 이상,17,3,1,6,1,1,2,3,0,0
