,전라북도 부안군,전라북도 부안군 부안읍,전라북도 부안군 주산면,전라북도 부안군 동진면,전라북도 부안군 행안면,전라북도 부안군 계화면,전라북도 부안군 보안면,전라북도 부안군 변산면,전라북도 부안군 진서면,전라북도 부안군 백산면,전라북도 부안군 상서면,전라북도 부안군 하서면,전라북도 부안군 줄포면,전라북도 부안군 위도면
2021년03월_계_총인구수,"51,800","20,974","1,919","2,862","2,203","3,444","2,450","4,485","2,295","2,570","2,222","2,670","2,570","1,136"
2021년03월_계_연령구간인구수,"51,800","20,974","1,919","2,862","2,203","3,444","2,450","4,485","2,295","2,570","2,222","2,670","2,570","1,136"
2021년03월_계_0~9세,"2,529","1,649",40,59,71,100,49,205,71,49,64,70,74,28
2021년03월_계_10~19세,"3,667","2,330",61,118,110,156,80,280,106,91,89,105,110,31
2021년03월_계_20~29세,"4,181","2,150",113,190,155,200,129,371,152,147,165,174,174,61
2021년03월_계_30~39세,"3,853","2,047",107,157,171,228,108,352,133,114,119,133,124,60
2021년03월_계_40~49세,"6,073","3,107",147,261,224,385,188,512,218,225,179,252,258,117
2021년03월_계_50~59세,"8,730","3,471",296,474,390,495,433,844,401,415,412,442,451,206
2021년03월_계_60~69세,"9,741","3,003",457,575,455,772,574,925,576,535,448,573,570,278
2021년03월_계_70~79세,"7,684","2,001",371,564,342,711,487,622,410,529,411,529,493,214
2021년03월_계_80~89세,"4,688","1,096",277,403,240,358,356,328,197,405,301,339,270,118
2021년03월_계_90~99세,631,115,47,61,43,37,44,45,28,58,33,51,46,23
2021년03월_계_100세 이상,23,5,3,0,2,2,2,1,3,2,1,2,0,0
2021년03월_남_총인구수,"25,742","10,276",937,"1,447","1,143","1,734","1,215","2,293","1,169","1,266","1,092","1,303","1,263",604
2021년03월_남_연령구간인구수,"25,742","10,276",937,"1,447","1,143","1,734","1,215","2,293","1,169","1,266","1,092","1,303","1,263",604
2021년03월_남_0~9세,"1,330",859,22,37,24,43,26,116,40,25,38,40,46,14
2021년03월_남_10~19세,"1,922","1,209",39,62,60,77,47,140,63,49,47,54,60,15
2021년03월_남_20~29세,"2,350","1,182",64,111,83,106,71,209,104,82,85,101,116,36
2021년03월_남_30~39세,"2,088","1,009",65,91,107,148,63,202,74,79,72,72,67,39
2021년03월_남_40~49세,"3,409","1,550",98,179,143,246,128,316,125,145,105,143,154,77
2021년03월_남_50~59세,"4,775","1,728",171,283,228,296,239,464,225,245,244,268,247,137
2021년03월_남_60~69세,"4,887","1,489",223,305,261,367,299,454,273,270,243,284,270,149
2021년03월_남_70~79세,"3,342",864,156,238,149,314,218,285,196,219,171,214,223,95
2021년03월_남_80~89세,"1,498",365,90,125,76,126,112,99,64,135,84,111,73,38
2021년03월_남_90~99세,139,21,9,16,11,11,11,8,5,17,3,16,7,4
2021년03월_남_100세 이상,2,0,0,0,1,0,1,0,0,0,0,0,0,0
2021년03월_여_총인구수,"26,058","10,698",982,"1,415","1,060","1,710","1,235","2,192","1,126","1,304","1,130","1,367","1,307",532
2021년03월_여_연령구간인구수,"26,058","10,698",982,"1,415","1,060","1,710","1,235","2,192","1,126","1,304","1,130","1,367","1,307",532
2021년03월_여_0~9세,"1,199",790,18,22,47,57,23,89,31,24,26,30,28,14
2021년03월_여_10~19세,"1,745","1,121",22,56,50,79,33,140,43,42,42,51,50,16
2021년03월_여_20~29세,"1,831",968,49,79,72,94,58,162,48,65,80,73,58,25
2021년03월_여_30~39세,"1,765","1,038",42,66,64,80,45,150,59,35,47,61,57,21
2021년03월_여_40~49세,"2,664","1,557",49,82,81,139,60,196,93,80,74,109,104,40
2021년03월_여_50~59세,"3,955","1,743",125,191,162,199,194,380,176,170,168,174,204,69
2021년03월_여_60~69세,"4,854","1,514",234,270,194,405,275,471,303,265,205,289,300,129
2021년03월_여_70~79세,"4,342","1,137",215,326,193,397,269,337,214,310,240,315,270,119
2021년03월_여_80~89세,"3,190",731,187,278,164,232,244,229,133,270,217,228,197,80
2021년03월_여_90~99세,492,94,38,45,32,26,33,37,23,41,30,35,39,19
2021년03월_여_100세 이상,21,5,3,0,1,2,1,1,3,2,1,2,0,0
