카테고리,경상남도 산청군,경상남도 산청군 산청읍,경상남도 산청군 차황면,경상남도 산청군 오부면,경상남도 산청군 생초면,경상남도 산청군 금서면,경상남도 산청군 삼장면,경상남도 산청군 시천면,경상남도 산청군 단성면,경상남도 산청군 신안면,경상남도 산청군 생비량면,경상남도 산청군 신등면
2020년05월_계_총인구수,"35,152","6,908","1,441","1,061","2,054","2,932","1,863","4,193","5,631","5,786","1,201","2,082"
2020년05월_계_연령구간인구수,"35,152","6,908","1,441","1,061","2,054","2,932","1,863","4,193","5,631","5,786","1,201","2,082"
2020년05월_계_0~9세,"1,464",433,48,38,54,94,42,145,177,343,44,46
2020년05월_계_10~19세,"2,152",519,46,49,98,163,88,294,220,522,41,112
2020년05월_계_20~29세,"2,528",641,83,41,101,173,109,323,373,531,59,94
2020년05월_계_30~39세,"2,276",661,61,47,98,197,75,232,323,448,59,75
2020년05월_계_40~49세,"3,604",835,112,90,137,283,161,480,536,682,102,186
2020년05월_계_50~59세,"6,658","1,201",237,171,333,559,417,891,"1,176","1,116",181,376
2020년05월_계_60~69세,"6,981","1,120",332,199,423,551,409,863,"1,289","1,044",299,452
2020년05월_계_70~79세,"5,323",855,260,210,450,511,348,581,899,580,234,395
2020년05월_계_80~89세,"3,618",540,230,190,313,341,186,334,566,460,147,311
2020년05월_계_90~99세,531,99,32,26,44,58,28,48,69,58,35,34
2020년05월_계_100세 이상,17,4,0,0,3,2,0,2,3,2,0,1
2020년05월_남_총인구수,"17,246","3,334",704,510,985,"1,446",925,"2,082","2,818","2,849",574,"1,019"
2020년05월_남_연령구간인구수,"17,246","3,334",704,510,985,"1,446",925,"2,082","2,818","2,849",574,"1,019"
2020년05월_남_0~9세,776,223,27,20,38,49,26,72,109,171,22,19
2020년05월_남_10~19세,"1,142",266,28,31,55,89,52,159,116,266,19,61
2020년05월_남_20~29세,"1,444",369,47,16,64,92,65,171,216,306,39,59
2020년05월_남_30~39세,"1,235",336,38,27,59,116,50,118,180,239,31,41
2020년05월_남_40~49세,"2,009",432,64,58,94,162,84,253,321,356,65,120
2020년05월_남_50~59세,"3,579",631,144,105,182,304,223,485,617,560,111,217
2020년05월_남_60~69세,"3,602",545,170,104,217,294,212,427,675,565,154,239
2020년05월_남_70~79세,"2,285",366,113,83,175,214,148,265,421,240,89,171
2020년05월_남_80~89세,"1,063",145,61,63,93,111,60,120,154,136,37,83
2020년05월_남_90~99세,109,21,12,3,7,15,5,11,9,10,7,9
2020년05월_남_100세 이상,2,0,0,0,1,0,0,1,0,0,0,0
2020년05월_여_총인구수,"17,906","3,574",737,551,"1,069","1,486",938,"2,111","2,813","2,937",627,"1,063"
2020년05월_여_연령구간인구수,"17,906","3,574",737,551,"1,069","1,486",938,"2,111","2,813","2,937",627,"1,063"
2020년05월_여_0~9세,688,210,21,18,16,45,16,73,68,172,22,27
2020년05월_여_10~19세,"1,010",253,18,18,43,74,36,135,104,256,22,51
2020년05월_여_20~29세,"1,084",272,36,25,37,81,44,152,157,225,20,35
2020년05월_여_30~39세,"1,041",325,23,20,39,81,25,114,143,209,28,34
2020년05월_여_40~49세,"1,595",403,48,32,43,121,77,227,215,326,37,66
2020년05월_여_50~59세,"3,079",570,93,66,151,255,194,406,559,556,70,159
2020년05월_여_60~69세,"3,379",575,162,95,206,257,197,436,614,479,145,213
2020년05월_여_70~79세,"3,038",489,147,127,275,297,200,316,478,340,145,224
2020년05월_여_80~89세,"2,555",395,169,127,220,230,126,214,412,324,110,228
2020년05월_여_90~99세,422,78,20,23,37,43,23,37,60,48,28,25
2020년05월_여_100세 이상,15,4,0,0,2,2,0,1,3,2,0,1
