카테고리,강원도 양구군,강원도 양구군 양구읍,강원도 양구군 국토정중앙면,강원도 양구군 동면,강원도 양구군 방산면,강원도 양구군 해안면
2021년10월_계_총인구수,"21,925","13,934","3,377","2,048","1,290","1,276"
2021년10월_계_연령구간인구수,"21,925","13,934","3,377","2,048","1,290","1,276"
2021년10월_계_0~9세,"1,680","1,410",107,94,43,26
2021년10월_계_10~19세,"1,999","1,586",183,90,57,83
2021년10월_계_20~29세,"2,858","1,662",438,393,261,104
2021년10월_계_30~39세,"2,521","1,919",255,171,94,82
2021년10월_계_40~49세,"2,439","1,810",273,143,83,130
2021년10월_계_50~59세,"3,423","2,012",606,342,196,267
2021년10월_계_60~69세,"3,637","1,915",758,377,289,298
2021년10월_계_70~79세,"1,961",936,439,264,145,177
2021년10월_계_80~89세,"1,211",598,269,143,105,96
2021년10월_계_90~99세,180,74,45,31,17,13
2021년10월_계_100세 이상,16,12,4,0,0,0
2021년10월_남_총인구수,"11,540","7,068","1,894","1,143",746,689
2021년10월_남_연령구간인구수,"11,540","7,068","1,894","1,143",746,689
2021년10월_남_0~9세,842,696,58,51,20,17
2021년10월_남_10~19세,997,774,100,47,31,45
2021년10월_남_20~29세,"1,891",984,351,276,218,62
2021년10월_남_30~39세,"1,399","1,012",162,115,62,48
2021년10월_남_40~49세,"1,312",941,167,81,44,79
2021년10월_남_50~59세,"1,820","1,045",343,183,104,145
2021년10월_남_60~69세,"1,948",991,409,216,162,170
2021년10월_남_70~79세,857,403,193,113,63,85
2021년10월_남_80~89세,424,196,101,54,37,36
2021년10월_남_90~99세,43,20,9,7,5,2
2021년10월_남_100세 이상,7,6,1,0,0,0
2021년10월_여_총인구수,"10,385","6,866","1,483",905,544,587
2021년10월_여_연령구간인구수,"10,385","6,866","1,483",905,544,587
2021년10월_여_0~9세,838,714,49,43,23,9
2021년10월_여_10~19세,"1,002",812,83,43,26,38
2021년10월_여_20~29세,967,678,87,117,43,42
2021년10월_여_30~39세,"1,122",907,93,56,32,34
2021년10월_여_40~49세,"1,127",869,106,62,39,51
2021년10월_여_50~59세,"1,603",967,263,159,92,122
2021년10월_여_60~69세,"1,689",924,349,161,127,128
2021년10월_여_70~79세,"1,104",533,246,151,82,92
2021년10월_여_80~89세,787,402,168,89,68,60
2021년10월_여_90~99세,137,54,36,24,12,11
2021년10월_여_100세 이상,9,6,3,0,0,0
