카테고리,전라남도,전라남도 목포시,전라남도 여수시,전라남도 순천시,전라남도 나주시,전라남도 광양시,전라남도 담양군,전라남도 곡성군,전라남도 구례군,전라남도 고흥군,전라남도 보성군,전라남도 화순군,전라남도 장흥군,전라남도 강진군,전라남도 해남군,전라남도 영암군,전라남도 무안군,전라남도 함평군,전라남도 영광군,전라남도 장성군,전라남도 완도군,전라남도 진도군,전라남도 신안군
2021년01월_계_총인구수,"1,850,575","223,362","280,497","282,618","115,855","151,045","46,475","27,982","25,573","63,869","40,430","62,455","37,689","34,568","68,736","53,687","86,940","31,992","53,048","44,330","49,811","30,845","38,768"
2021년01월_계_연령구간인구수,"1,850,575","223,362","280,497","282,618","115,855","151,045","46,475","27,982","25,573","63,869","40,430","62,455","37,689","34,568","68,736","53,687","86,940","31,992","53,048","44,330","49,811","30,845","38,768"
2021년01월_계_0~9세,"131,214","18,041","20,796","23,372","10,079","13,251","2,357","1,072","1,140","2,605","1,747","3,469","1,993","1,739","3,962","3,519","7,888","1,355","3,760","2,734","3,132","1,674","1,529"
2021년01월_계_10~19세,"166,967","24,413","26,391","30,234","9,496","15,965","3,011","1,935","1,828","3,822","2,588","5,622","2,784","2,512","5,263","4,428","9,295","2,046","4,163","3,269","3,633","2,231","2,038"
2021년01월_계_20~29세,"200,139","27,029","33,792","37,640","12,375","19,965","4,843","2,324","1,945","4,148","2,959","6,789","3,082","2,883","5,536","5,084","8,902","2,496","4,995","4,221","3,758","2,618","2,755"
2021년01월_계_30~39세,"185,184","25,452","30,945","33,165","14,532","18,377","3,682","1,722","1,657","3,674","2,504","4,707","2,752","2,431","5,007","4,729","10,414","2,097","4,836","3,614","3,974","2,255","2,658"
2021년01월_계_40~49세,"259,461","37,260","41,902","43,397","16,559","23,761","5,221","3,008","2,890","6,321","4,161","8,253","4,111","3,755","8,055","7,422","13,745","3,485","6,537","5,510","6,198","3,637","4,273"
2021년01월_계_50~59세,"313,564","36,288","48,531","49,242","17,283","28,994","8,190","4,895","4,577","10,167","6,681","11,250","6,309","5,634","11,569","9,435","12,940","5,499","8,516","7,461","8,047","5,046","7,010"
2021년01월_계_60~69세,"273,902","29,062","41,052","34,656","16,267","17,079","8,335","5,038","4,743","12,794","7,649","9,525","6,638","6,238","12,448","8,105","10,943","5,934","8,484","7,301","8,643","5,327","7,641"
2021년01월_계_70~79세,"192,845","17,625","24,634","19,064","11,542","8,195","6,348","4,262","3,895","11,504","6,636","7,463","5,451","5,222","10,001","6,333","7,916","5,139","7,169","5,917","7,415","4,742","6,372"
