,인천광역시 중구,인천광역시 중구 연안동,인천광역시 중구 신포동,인천광역시 중구 신흥동,인천광역시 중구 도원동,인천광역시 중구 율목동,인천광역시 중구 동인천동,인천광역시 중구 북성동,인천광역시 중구 송월동,인천광역시 중구 영종동,인천광역시 중구 영종1동,인천광역시 중구 운서동,인천광역시 중구 용유동
2020년10월_계_총인구수,"139,391","6,320","5,248","13,355","4,093","3,372","5,975","2,902","4,574","15,668","43,314","30,446","4,124"
2020년10월_계_연령구간인구수,"139,391","6,320","5,248","13,355","4,093","3,372","5,975","2,902","4,574","15,668","43,314","30,446","4,124"
2020년10월_계_0~9세,"12,017",250,244,863,146,112,203,93,201,948,"7,116","1,746",95
2020년10월_계_10~19세,"12,573",356,360,"1,127",289,208,296,151,335,"1,228","4,699","3,407",117
2020년10월_계_20~29세,"19,198",654,546,"1,627",449,366,629,295,518,"2,125","4,056","7,650",283
2020년10월_계_30~39세,"21,276",611,514,"1,628",394,305,653,239,477,"2,240","9,096","4,828",291
2020년10월_계_40~49세,"24,483",861,816,"2,062",574,494,799,409,610,"2,563","9,214","5,574",507
2020년10월_계_50~59세,"20,353","1,321",897,"2,299",745,640,"1,142",528,840,"2,786","4,473","3,760",922
2020년10월_계_60~69세,"15,803","1,275",834,"1,994",734,613,"1,100",564,797,"2,253","2,796","1,801","1,042"
2020년10월_계_70~79세,"9,298",641,650,"1,190",533,436,731,415,530,"1,013","1,357","1,190",612
2020년10월_계_80~89세,"3,710",290,323,484,190,162,342,173,219,423,445,448,211
2020년10월_계_90~99세,602,57,58,75,36,33,67,25,35,76,60,41,39
2020년10월_계_100세 이상,78,4,6,6,3,3,13,10,12,13,2,1,5
2020년10월_남_총인구수,"72,267","3,407","2,649","6,772","2,084","1,741","3,145","1,508","2,259","8,712","21,779","15,898","2,313"
2020년10월_남_연령구간인구수,"72,267","3,407","2,649","6,772","2,084","1,741","3,145","1,508","2,259","8,712","21,779","15,898","2,313"
2020년10월_남_0~9세,"6,192",133,143,430,65,67,91,62,100,495,"3,661",902,43
2020년10월_남_10~19세,"6,514",173,185,581,164,98,157,76,164,651,"2,401","1,808",56
2020년10월_남_20~29세,"9,751",385,297,862,249,200,342,169,280,"1,224","1,982","3,578",183
2020년10월_남_30~39세,"11,519",358,280,864,218,178,380,142,271,"1,356","4,419","2,866",187
2020년10월_남_40~49세,"13,394",518,442,"1,092",319,274,473,225,338,"1,515","4,890","2,969",339
2020년10월_남_50~59세,"11,170",751,479,"1,227",395,363,665,298,429,"1,561","2,306","2,155",541
2020년10월_남_60~69세,"7,897",664,397,991,350,304,562,282,367,"1,227","1,282",911,560
2020년10월_남_70~79세,"4,327",306,294,527,242,200,345,173,227,514,665,514,320
2020년10월_남_80~89세,"1,327",102,114,181,69,53,108,67,67,146,159,184,77
2020년10월_남_90~99세,150,16,17,14,13,4,18,11,9,18,13,10,7
2020년10월_남_100세 이상,26,1,1,3,0,0,4,3,7,5,1,1,0
2020년10월_여_총인구수,"67,124","2,913","2,599","6,583","2,009","1,631","2,830","1,394","2,315","6,956","21,535","14,548","1,811"
2020년10월_여_연령구간인구수,"67,124","2,913","2,599","6,583","2,009","1,631","2,830","1,394","2,315","6,956","21,535","14,548","1,811"
2020년10월_여_0~9세,"5,825",117,101,433,81,45,112,31,101,453,"3,455",844,52
2020년10월_여_10~19세,"6,059",183,175,546,125,110,139,75,171,577,"2,298","1,599",61
2020년10월_여_20~29세,"9,447",269,249,765,200,166,287,126,238,901,"2,074","4,072",100
2020년10월_여_30~39세,"9,757",253,234,764,176,127,273,97,206,884,"4,677","1,962",104
2020년10월_여_40~49세,"11,089",343,374,970,255,220,326,184,272,"1,048","4,324","2,605",168
2020년10월_여_50~59세,"9,183",570,418,"1,072",350,277,477,230,411,"1,225","2,167","1,605",381
2020년10월_여_60~69세,"7,906",611,437,"1,003",384,309,538,282,430,"1,026","1,514",890,482
2020년10월_여_70~79세,"4,971",335,356,663,291,236,386,242,303,499,692,676,292
2020년10월_여_80~89세,"2,383",188,209,303,121,109,234,106,152,277,286,264,134
2020년10월_여_90~99세,452,41,41,61,23,29,49,14,26,58,47,31,32
2020년10월_여_100세 이상,52,3,5,3,3,3,9,7,5,8,1,0,5
