카테고리,광주광역시,광주광역시 동구,광주광역시 서구,광주광역시 남구,광주광역시 북구,광주광역시 광산구
2020년12월_계_총인구수,"1,450,062","102,897","296,576","214,579","430,431","405,579"
2020년12월_계_연령구간인구수,"1,450,062","102,897","296,576","214,579","430,431","405,579"
2020년12월_계_0~9세,"119,692","7,173","21,775","17,283","33,549","39,912"
2020년12월_계_10~19세,"157,144","7,324","31,567","22,776","42,971","52,506"
2020년12월_계_20~29세,"209,375","14,836","45,348","27,981","62,504","58,706"
2020년12월_계_30~39세,"185,867","13,416","36,685","25,515","55,549","54,702"
2020년12월_계_40~49세,"240,867","14,000","48,764","34,067","67,402","76,634"
2020년12월_계_50~59세,"233,822","15,665","49,510","33,009","71,836","63,802"
2020년12월_계_60~69세,"163,784","14,773","34,356","28,072","53,337","33,246"
2020년12월_계_70~79세,"93,541","10,296","19,271","17,426","29,414","17,134"
2020년12월_계_80~89세,"39,671","4,695","8,011","7,234","12,032","7,699"
2020년12월_계_90~99세,"5,875",652,"1,213","1,120","1,718","1,172"
2020년12월_계_100세 이상,424,67,76,96,119,66
2020년12월_남_총인구수,"717,348","50,810","145,374","103,257","213,611","204,296"
2020년12월_남_연령구간인구수,"717,348","50,810","145,374","103,257","213,611","204,296"
2020년12월_남_0~9세,"61,487","3,711","11,322","8,856","17,135","20,463"
2020년12월_남_10~19세,"81,458","3,813","16,591","11,394","22,648","27,012"
2020년12월_남_20~29세,"109,335","7,585","23,258","14,406","32,936","31,150"
2020년12월_남_30~39세,"94,869","7,000","18,548","12,658","28,847","27,816"
2020년12월_남_40~49세,"119,545","7,305","23,493","16,788","33,788","38,171"
2020년12월_남_50~59세,"115,860","7,709","24,270","15,613","35,099","33,169"
2020년12월_남_60~69세,"78,051","6,981","16,150","12,859","25,398","16,663"
2020년12월_남_70~79세,"41,434","4,544","8,577","7,792","13,169","7,352"
2020년12월_남_80~89세,"13,995","1,961","2,885","2,632","4,238","2,279"
2020년12월_남_90~99세,"1,259",185,270,246,342,216
2020년12월_남_100세 이상,55,16,10,13,11,5
2020년12월_여_총인구수,"732,714","52,087","151,202","111,322","216,820","201,283"
2020년12월_여_연령구간인구수,"732,714","52,087","151,202","111,322","216,820","201,283"
2020년12월_여_0~9세,"58,205","3,462","10,453","8,427","16,414","19,449"
2020년12월_여_10~19세,"75,686","3,511","14,976","11,382","20,323","25,494"
2020년12월_여_20~29세,"100,040","7,251","22,090","13,575","29,568","27,556"
2020년12월_여_30~39세,"90,998","6,416","18,137","12,857","26,702","26,886"
2020년12월_여_40~49세,"121,322","6,695","25,271","17,279","33,614","38,463"
2020년12월_여_50~59세,"117,962","7,956","25,240","17,396","36,737","30,633"
2020년12월_여_60~69세,"85,733","7,792","18,206","15,213","27,939","16,583"
2020년12월_여_70~79세,"52,107","5,752","10,694","9,634","16,245","9,782"
2020년12월_여_80~89세,"25,676","2,734","5,126","4,602","7,794","5,420"
2020년12월_여_90~99세,"4,616",467,943,874,"1,376",956
2020년12월_여_100세 이상,369,51,66,83,108,61
