,경상남도 진주시,경상남도 진주시 문산읍,경상남도 진주시 내동면,경상남도 진주시 정촌면,경상남도 진주시 금곡면,경상남도 진주시 진성면,경상남도 진주시 일반성면,경상남도 진주시 이반성면,경상남도 진주시 사봉면,경상남도 진주시 지수면,경상남도 진주시 대곡면,경상남도 진주시 금산면,경상남도 진주시 집현면,경상남도 진주시 미천면,경상남도 진주시 명석면,경상남도 진주시 대평면,경상남도 진주시 수곡면,경상남도 진주시 천전동,경상남도 진주시 성북동,경상남도 진주시 중앙동,경상남도 진주시 상봉동,경상남도 진주시 상대동,경상남도 진주시 하대동,경상남도 진주시 상평동,경상남도 진주시 초장동,경상남도 진주시 평거동,경상남도 진주시 신안동,경상남도 진주시 이현동,경상남도 진주시 판문동,경상남도 진주시 가호동,경상남도 진주시 충무공동
2020년09월_계_총인구수,"347,598","8,314","4,161","7,830","2,258","1,936","2,646","1,614","1,523","1,487","3,281","21,235","4,781","1,635","4,059","1,090","2,231","27,853","10,910","11,432","14,391","20,034","25,166","12,002","26,941","28,000","11,965","12,276","21,545","26,669","28,333"
2020년09월_계_연령구간인구수,"347,598","8,314","4,161","7,830","2,258","1,936","2,646","1,614","1,523","1,487","3,281","21,235","4,781","1,635","4,059","1,090","2,231","27,853","10,910","11,432","14,391","20,034","25,166","12,002","26,941","28,000","11,965","12,276","21,545","26,669","28,333"
2020년09월_계_0~9세,"28,710",646,384,892,43,50,95,28,36,41,59,"2,240",248,19,147,29,62,"1,607",484,362,645,"1,083","1,460",810,"3,475","2,189",680,715,"2,576","2,431","5,174"
2020년09월_계_10~19세,"35,408",681,469,476,121,57,194,50,53,76,154,"2,806",426,62,199,47,111,"2,552",742,706,"1,105","1,645","2,587","1,099","4,033","3,587","1,135","1,308","3,008","2,689","3,230"
2020년09월_계_20~29세,"44,888",816,413,996,161,130,229,77,71,104,214,"2,285",441,83,357,106,139,"4,260","1,463","1,096","1,835","2,949","3,861","1,549","3,327","4,145","1,705","1,615","2,365","5,046","3,050"
2020년09월_계_30~39세,"41,970",932,430,"1,494",133,124,189,68,84,71,177,"2,511",401,57,229,57,104,"2,751","1,267",876,"1,389","2,202","2,656","1,446","3,796","3,077","1,183","1,107","2,709","4,106","6,344"
2020년09월_계_40~49세,"54,437","1,093",680,"1,067",189,155,303,115,154,162,287,"3,831",657,123,437,107,223,"4,010","1,604","1,456","1,962","2,871","3,793","1,794","5,274","4,838","1,653","1,832","4,104","4,152","5,511"
2020년09월_계_50~59세,"57,865","1,445",680,"1,208",390,360,495,284,233,255,590,"3,382",886,299,782,197,422,"4,631","1,840","2,039","2,682","3,686","5,125","2,144","4,016","5,188","2,133","2,389","3,253","3,903","2,928"
2020년09월_계_60~69세,"44,751","1,356",562,941,458,471,504,405,349,293,697,"2,355",795,376,938,233,482,"3,946","1,850","2,367","2,460","3,115","3,440","1,844","1,786","2,783","1,928","1,870","2,113","2,587","1,447"
2020년09월_계_70~79세,"25,536",813,328,454,420,293,359,319,308,255,590,"1,163",551,326,581,163,362,"2,739","1,096","1,748","1,567","1,768","1,537",945,832,"1,371","1,013","1,001",970,"1,215",449
2020년09월_계_80~89세,"12,234",453,183,249,288,257,249,237,210,190,437,587,327,258,337,129,299,"1,177",481,678,660,652,624,329,354,710,472,373,395,471,168
2020년09월_계_90~99세,"1,705",77,30,49,55,37,28,31,25,39,73,74,47,31,49,21,26,164,76,86,83,62,80,40,41,111,61,61,51,67,30
2020년09월_계_100세 이상,94,2,2,4,0,2,1,0,0,1,3,1,2,1,3,1,1,16,7,18,3,1,3,2,7,1,2,5,1,2,2
2020년09월_남_총인구수,"171,950","4,209","2,077","4,007","1,065",942,"1,291",809,757,746,"1,621","10,676","2,397",790,"2,010",525,"1,083","13,674","5,389","5,530","7,074","9,926","12,597","6,092","13,645","13,456","5,718","6,058","10,302","13,434","14,050"
2020년09월_남_연령구간인구수,"171,950","4,209","2,077","4,007","1,065",942,"1,291",809,757,746,"1,621","10,676","2,397",790,"2,010",525,"1,083","13,674","5,389","5,530","7,074","9,926","12,597","6,092","13,645","13,456","5,718","6,058","10,302","13,434","14,050"
2020년09월_남_0~9세,"14,905",351,211,451,20,25,45,20,15,19,34,"1,183",129,8,75,12,35,844,261,193,370,553,771,381,"1,870","1,127",357,381,"1,301","1,284","2,579"
2020년09월_남_10~19세,"18,683",357,232,255,67,27,102,31,34,35,82,"1,478",220,36,101,24,62,"1,417",390,395,590,839,"1,388",550,"2,273","1,861",600,731,"1,458","1,377","1,671"
2020년09월_남_20~29세,"24,695",456,212,553,96,74,144,53,43,68,145,"1,324",261,49,200,61,70,"2,323",777,621,959,"1,642","2,173",877,"1,833","2,205",888,932,"1,260","2,869","1,527"
2020년09월_남_30~39세,"21,426",488,215,802,77,71,90,46,48,43,94,"1,254",200,32,132,27,54,"1,470",684,500,747,"1,178","1,459",767,"1,775","1,517",609,556,"1,231","2,186","3,074"
2020년09월_남_40~49세,"27,130",597,330,593,120,100,175,75,111,110,186,"1,868",353,83,242,65,147,"1,980",853,814,"1,059","1,465","1,788",952,"2,445","2,131",790,853,"1,968","2,034","2,843"
2020년09월_남_50~59세,"28,505",758,365,562,210,197,261,171,135,149,339,"1,682",486,172,409,108,238,"2,242",885,"1,010","1,317","1,750","2,448","1,090","2,057","2,482",972,"1,146","1,578","1,871","1,415"
2020년09월_남_60~69세,"21,400",719,291,503,234,238,261,211,175,150,342,"1,152",412,207,480,131,257,"1,765",857,"1,047","1,123","1,413","1,665",900,918,"1,335",862,881,998,"1,191",682
2020년09월_남_70~79세,"11,147",348,165,216,151,124,148,131,137,120,263,533,229,134,258,66,139,"1,191",494,731,684,816,713,439,365,546,455,462,387,489,213
2020년09월_남_80~89세,"3,738",120,51,67,84,77,57,64,54,47,120,189,99,63,104,29,76,398,178,199,213,257,177,127,97,232,171,106,113,125,44
2020년09월_남_90~99세,299,15,4,5,6,9,7,7,5,5,15,13,8,6,8,2,5,38,9,17,12,13,13,9,9,20,13,9,8,7,2
2020년09월_남_100세 이상,22,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,6,1,3,0,0,2,0,3,0,1,1,0,1,0
2020년09월_여_총인구수,"175,648","4,105","2,084","3,823","1,193",994,"1,355",805,766,741,"1,660","10,559","2,384",845,"2,049",565,"1,148","14,179","5,521","5,902","7,317","10,108","12,569","5,910","13,296","14,544","6,247","6,218","11,243","13,235","14,283"
2020년09월_여_연령구간인구수,"175,648","4,105","2,084","3,823","1,193",994,"1,355",805,766,741,"1,660","10,559","2,384",845,"2,049",565,"1,148","14,179","5,521","5,902","7,317","10,108","12,569","5,910","13,296","14,544","6,247","6,218","11,243","13,235","14,283"
2020년09월_여_0~9세,"13,805",295,173,441,23,25,50,8,21,22,25,"1,057",119,11,72,17,27,763,223,169,275,530,689,429,"1,605","1,062",323,334,"1,275","1,147","2,595"
2020년09월_여_10~19세,"16,725",324,237,221,54,30,92,19,19,41,72,"1,328",206,26,98,23,49,"1,135",352,311,515,806,"1,199",549,"1,760","1,726",535,577,"1,550","1,312","1,559"
2020년09월_여_20~29세,"20,193",360,201,443,65,56,85,24,28,36,69,961,180,34,157,45,69,"1,937",686,475,876,"1,307","1,688",672,"1,494","1,940",817,683,"1,105","2,177","1,523"
2020년09월_여_30~39세,"20,544",444,215,692,56,53,99,22,36,28,83,"1,257",201,25,97,30,50,"1,281",583,376,642,"1,024","1,197",679,"2,021","1,560",574,551,"1,478","1,920","3,270"
2020년09월_여_40~49세,"27,307",496,350,474,69,55,128,40,43,52,101,"1,963",304,40,195,42,76,"2,030",751,642,903,"1,406","2,005",842,"2,829","2,707",863,979,"2,136","2,118","2,668"
2020년09월_여_50~59세,"29,360",687,315,646,180,163,234,113,98,106,251,"1,700",400,127,373,89,184,"2,389",955,"1,029","1,365","1,936","2,677","1,054","1,959","2,706","1,161","1,243","1,675","2,032","1,513"
2020년09월_여_60~69세,"23,351",637,271,438,224,233,243,194,174,143,355,"1,203",383,169,458,102,225,"2,181",993,"1,320","1,337","1,702","1,775",944,868,"1,448","1,066",989,"1,115","1,396",765
2020년09월_여_70~79세,"14,389",465,163,238,269,169,211,188,171,135,327,630,322,192,323,97,223,"1,548",602,"1,017",883,952,824,506,467,825,558,539,583,726,236
2020년09월_여_80~89세,"8,496",333,132,182,204,180,192,173,156,143,317,398,228,195,233,100,223,779,303,479,447,395,447,202,257,478,301,267,282,346,124
2020년09월_여_90~99세,"1,406",62,26,44,49,28,21,24,20,34,58,61,39,25,41,19,21,126,67,69,71,49,67,31,32,91,48,52,43,60,28
2020년09월_여_100세 이상,72,2,1,4,0,2,0,0,0,1,2,1,2,1,2,1,1,10,6,15,3,1,1,2,4,1,1,4,1,1,2
