카테고리,경기도 가평군,경기도 가평군 가평읍,경기도 가평군 설악면,경기도 가평군 청평면,경기도 가평군 상면,경기도 가평군 조종면,경기도 가평군 북면
2020년06월_계_총인구수,"62,662","19,597","9,559","14,148","5,598","9,769","3,991"
2020년06월_계_연령구간인구수,"62,662","19,597","9,559","14,148","5,598","9,769","3,991"
2020년06월_계_0~9세,"3,505","1,191",557,666,167,771,153
2020년06월_계_10~19세,"4,790","1,728",822,"1,017",342,660,221
2020년06월_계_20~29세,"6,195","2,223",846,"1,333",523,"1,014",256
2020년06월_계_30~39세,"5,895","1,960",810,"1,259",373,"1,199",294
2020년06월_계_40~49세,"8,010","2,674","1,140","1,985",569,"1,223",419
2020년06월_계_50~59세,"11,489","3,511","1,772","2,695","1,130","1,650",731
2020년06월_계_60~69세,"11,788","3,168","1,943","2,632","1,340","1,736",969
2020년06월_계_70~79세,"6,857","1,931","1,000","1,654",727,972,573
2020년06월_계_80~89세,"3,577","1,057",564,784,375,477,320
2020년06월_계_90~99세,510,138,101,113,48,58,52
2020년06월_계_100세 이상,46,16,4,10,4,9,3
2020년06월_남_총인구수,"32,242","9,966","4,911","7,213","2,907","5,196","2,049"
2020년06월_남_연령구간인구수,"32,242","9,966","4,911","7,213","2,907","5,196","2,049"
2020년06월_남_0~9세,"1,731",599,255,334,86,390,67
2020년06월_남_10~19세,"2,540",939,420,542,175,344,120
2020년06월_남_20~29세,"3,525","1,210",463,747,330,632,143
2020년06월_남_30~39세,"3,178","1,042",449,671,199,658,159
2020년06월_남_40~49세,"4,317","1,423",608,"1,064",316,655,251
2020년06월_남_50~59세,"6,103","1,863",944,"1,423",595,878,400
2020년06월_남_60~69세,"6,080","1,589","1,009","1,325",694,966,497
2020년06월_남_70~79세,"3,246",864,514,770,361,462,275
2020년06월_남_80~89세,"1,369",391,223,304,140,191,120
2020년06월_남_90~99세,135,43,24,28,8,16,16
2020년06월_남_100세 이상,18,3,2,5,3,4,1
2020년06월_여_총인구수,"30,420","9,631","4,648","6,935","2,691","4,573","1,942"
2020년06월_여_연령구간인구수,"30,420","9,631","4,648","6,935","2,691","4,573","1,942"
2020년06월_여_0~9세,"1,774",592,302,332,81,381,86
2020년06월_여_10~19세,"2,250",789,402,475,167,316,101
2020년06월_여_20~29세,"2,670","1,013",383,586,193,382,113
2020년06월_여_30~39세,"2,717",918,361,588,174,541,135
2020년06월_여_40~49세,"3,693","1,251",532,921,253,568,168
2020년06월_여_50~59세,"5,386","1,648",828,"1,272",535,772,331
2020년06월_여_60~69세,"5,708","1,579",934,"1,307",646,770,472
2020년06월_여_70~79세,"3,611","1,067",486,884,366,510,298
2020년06월_여_80~89세,"2,208",666,341,480,235,286,200
2020년06월_여_90~99세,375,95,77,85,40,42,36
2020년06월_여_100세 이상,28,13,2,5,1,5,2
