,전라남도 보성군,전라남도 보성군 보성읍,전라남도 보성군 벌교읍,전라남도 보성군 노동면,전라남도 보성군 미력면,전라남도 보성군 겸백면,전라남도 보성군 율어면,전라남도 보성군 복내면,전라남도 보성군 문덕면,전라남도 보성군 조성면,전라남도 보성군 득량면,전라남도 보성군 득량면예당출장소,전라남도 보성군 회천면,전라남도 보성군 웅치면
2020년10월_계_총인구수,"40,611","9,209","11,958","1,120","1,410","1,174","1,194","1,698",891,"3,766","2,802","1,253","3,047","1,089"
2020년10월_계_연령구간인구수,"40,611","9,209","11,958","1,120","1,410","1,174","1,194","1,698",891,"3,766","2,802","1,253","3,047","1,089"
2020년10월_계_0~9세,"1,785",672,531,29,38,30,44,66,23,117,67,53,86,29
2020년10월_계_10~19세,"2,614",855,840,44,61,50,68,75,47,171,129,76,165,33
2020년10월_계_20~29세,"2,985",975,834,63,91,63,62,111,44,241,139,88,192,82
2020년10월_계_30~39세,"2,570",832,757,53,78,58,51,76,32,206,159,88,128,52
2020년10월_계_40~49세,"4,207","1,254","1,280",89,111,92,109,140,83,339,238,128,271,73
2020년10월_계_50~59세,"6,702","1,520","1,939",171,232,185,194,259,165,582,484,205,585,181
2020년10월_계_60~69세,"7,605","1,356","2,280",228,291,220,204,346,177,779,587,259,664,214
2020년10월_계_70~79세,"6,655","1,002","2,001",205,260,227,231,316,183,738,524,204,545,219
2020년10월_계_80~89세,"4,730",654,"1,285",199,218,219,205,269,117,513,397,137,349,168
2020년10월_계_90~99세,718,82,195,39,29,30,25,39,18,79,73,15,58,36
2020년10월_계_100세 이상,40,7,16,0,1,0,1,1,2,1,5,0,4,2
2020년10월_남_총인구수,"19,766","4,512","5,843",539,703,563,577,803,458,"1,800","1,343",602,"1,499",524
2020년10월_남_연령구간인구수,"19,766","4,512","5,843",539,703,563,577,803,458,"1,800","1,343",602,"1,499",524
2020년10월_남_0~9세,945,358,290,15,21,12,26,26,11,64,31,31,45,15
2020년10월_남_10~19세,"1,335",410,442,29,36,28,37,43,23,95,65,34,77,16
2020년10월_남_20~29세,"1,687",537,467,35,46,35,37,63,25,143,83,55,119,42
2020년10월_남_30~39세,"1,378",414,423,31,50,25,31,39,23,108,80,49,71,34
2020년10월_남_40~49세,"2,405",630,733,57,70,56,71,83,55,211,151,75,164,49
2020년10월_남_50~59세,"3,747",827,"1,073",99,141,116,112,140,108,336,296,90,309,100
2020년10월_남_60~69세,"3,812",661,"1,115",127,163,111,109,191,91,378,281,135,341,109
2020년10월_남_70~79세,"2,813",430,846,91,102,105,88,133,81,298,218,88,241,92
2020년10월_남_80~89세,"1,491",228,410,47,71,64,62,74,39,154,120,45,120,57
2020년10월_남_90~99세,147,17,39,8,3,11,4,11,2,13,17,0,12,10
2020년10월_남_100세 이상,6,0,5,0,0,0,0,0,0,0,1,0,0,0
2020년10월_여_총인구수,"20,845","4,697","6,115",581,707,611,617,895,433,"1,966","1,459",651,"1,548",565
2020년10월_여_연령구간인구수,"20,845","4,697","6,115",581,707,611,617,895,433,"1,966","1,459",651,"1,548",565
2020년10월_여_0~9세,840,314,241,14,17,18,18,40,12,53,36,22,41,14
2020년10월_여_10~19세,"1,279",445,398,15,25,22,31,32,24,76,64,42,88,17
2020년10월_여_20~29세,"1,298",438,367,28,45,28,25,48,19,98,56,33,73,40
2020년10월_여_30~39세,"1,192",418,334,22,28,33,20,37,9,98,79,39,57,18
2020년10월_여_40~49세,"1,802",624,547,32,41,36,38,57,28,128,87,53,107,24
2020년10월_여_50~59세,"2,955",693,866,72,91,69,82,119,57,246,188,115,276,81
2020년10월_여_60~69세,"3,793",695,"1,165",101,128,109,95,155,86,401,306,124,323,105
2020년10월_여_70~79세,"3,842",572,"1,155",114,158,122,143,183,102,440,306,116,304,127
2020년10월_여_80~89세,"3,239",426,875,152,147,155,143,195,78,359,277,92,229,111
2020년10월_여_90~99세,571,65,156,31,26,19,21,28,16,66,56,15,46,26
2020년10월_여_100세 이상,34,7,11,0,1,0,1,1,2,1,4,0,4,2
