카테고리,전라남도 곡성군,전라남도 곡성군 곡성읍,전라남도 곡성군 오곡면,전라남도 곡성군 삼기면,전라남도 곡성군 석곡면,전라남도 곡성군 목사동면,전라남도 곡성군 죽곡면,전라남도 곡성군 고달면,전라남도 곡성군 옥과면,전라남도 곡성군 입면,전라남도 곡성군 겸면,전라남도 곡성군 오산면
2020년08월_계_총인구수,"28,226","7,885","1,904","1,661","2,361","1,354","1,941","1,187","4,284","2,503","1,723","1,423"
2020년08월_계_연령구간인구수,"28,226","7,885","1,904","1,661","2,361","1,354","1,941","1,187","4,284","2,503","1,723","1,423"
2020년08월_계_0~9세,"1,117",480,65,33,60,21,43,30,210,76,58,41
2020년08월_계_10~19세,"2,003",699,134,83,129,46,93,52,415,216,81,55
2020년08월_계_20~29세,"2,389",761,104,100,158,85,150,78,540,202,107,104
2020년08월_계_30~39세,"1,758",637,101,69,119,60,85,48,353,120,97,69
2020년08월_계_40~49세,"3,124","1,068",181,156,212,103,174,91,526,336,157,120
2020년08월_계_50~59세,"4,913","1,305",322,271,434,260,346,210,742,449,309,265
2020년08월_계_60~69세,"4,916","1,206",386,347,423,252,397,222,639,394,313,337
2020년08월_계_70~79세,"4,320","1,003",331,312,406,273,360,247,493,362,316,217
2020년08월_계_80~89세,"3,160",617,252,241,363,221,241,185,313,296,243,188
2020년08월_계_90~99세,511,105,26,48,55,31,52,24,52,52,40,26
2020년08월_계_100세 이상,15,4,2,1,2,2,0,0,1,0,2,1
2020년08월_남_총인구수,"13,779","3,803",933,818,"1,116",652,946,579,"2,109","1,253",850,720
2020년08월_남_연령구간인구수,"13,779","3,803",933,818,"1,116",652,946,579,"2,109","1,253",850,720
2020년08월_남_0~9세,569,251,30,14,34,10,28,18,96,40,26,22
2020년08월_남_10~19세,"1,047",358,74,49,65,22,51,19,216,120,45,28
2020년08월_남_20~29세,"1,300",401,59,63,85,54,83,49,282,110,60,54
2020년08월_남_30~39세,941,309,61,48,64,37,47,29,185,68,56,37
2020년08월_남_40~49세,"1,746",556,107,98,119,59,97,57,277,194,110,72
2020년08월_남_50~59세,"2,710",699,179,142,247,147,180,126,395,273,171,151
2020년08월_남_60~69세,"2,566",594,206,190,206,132,212,115,328,217,170,196
2020년08월_남_70~79세,"1,814",420,128,128,177,115,163,105,216,137,128,97
2020년08월_남_80~89세,982,196,83,75,108,68,78,58,100,84,74,58
2020년08월_남_90~99세,101,19,6,11,10,8,7,3,13,10,9,5
2020년08월_남_100세 이상,3,0,0,0,1,0,0,0,1,0,1,0
2020년08월_여_총인구수,"14,447","4,082",971,843,"1,245",702,995,608,"2,175","1,250",873,703
2020년08월_여_연령구간인구수,"14,447","4,082",971,843,"1,245",702,995,608,"2,175","1,250",873,703
2020년08월_여_0~9세,548,229,35,19,26,11,15,12,114,36,32,19
2020년08월_여_10~19세,956,341,60,34,64,24,42,33,199,96,36,27
2020년08월_여_20~29세,"1,089",360,45,37,73,31,67,29,258,92,47,50
2020년08월_여_30~39세,817,328,40,21,55,23,38,19,168,52,41,32
2020년08월_여_40~49세,"1,378",512,74,58,93,44,77,34,249,142,47,48
2020년08월_여_50~59세,"2,203",606,143,129,187,113,166,84,347,176,138,114
2020년08월_여_60~69세,"2,350",612,180,157,217,120,185,107,311,177,143,141
2020년08월_여_70~79세,"2,506",583,203,184,229,158,197,142,277,225,188,120
2020년08월_여_80~89세,"2,178",421,169,166,255,153,163,127,213,212,169,130
2020년08월_여_90~99세,410,86,20,37,45,23,45,21,39,42,31,21
2020년08월_여_100세 이상,12,4,2,1,1,2,0,0,0,0,1,1
