카테고리,경상남도 통영시,경상남도 통영시 산양읍,경상남도 통영시 용남면,경상남도 통영시 도산면,경상남도 통영시 광도면,경상남도 통영시 욕지면,경상남도 통영시 한산면,경상남도 통영시 사량면,경상남도 통영시 도천동,경상남도 통영시 명정동,경상남도 통영시 중앙동,경상남도 통영시 정량동,경상남도 통영시 북신동,경상남도 통영시 미수동,경상남도 통영시 봉평동,경상남도 통영시 무전동
2021년05월_계_총인구수,"126,587","4,614","12,510","2,865","30,969","1,986","1,985","1,471","8,767","2,882","3,930","8,884","10,506","11,161","10,253","13,804"
2021년05월_계_연령구간인구수,"126,587","4,614","12,510","2,865","30,969","1,986","1,985","1,471","8,767","2,882","3,930","8,884","10,506","11,161","10,253","13,804"
2021년05월_계_0~9세,"9,151",106,"1,176",68,"3,711",44,28,18,368,86,113,444,672,827,456,"1,034"
2021년05월_계_10~19세,"12,655",208,"1,424",113,"4,017",93,52,29,799,168,216,660,952,"1,368",941,"1,615"
2021년05월_계_20~29세,"10,892",287,"1,045",163,"2,699",106,83,64,871,211,268,642,945,"1,001",944,"1,563"
2021년05월_계_30~39세,"13,076",300,"1,371",143,"4,509",103,75,68,671,161,262,815,"1,054","1,072",935,"1,537"
2021년05월_계_40~49세,"21,015",529,"2,232",263,"6,574",261,165,107,"1,243",351,506,"1,304","1,544","1,908","1,476","2,552"
2021년05월_계_50~59세,"22,108",909,"2,126",502,"4,520",408,339,298,"1,624",533,793,"1,798","1,770","2,016","1,992","2,480"
2021년05월_계_60~69세,"20,928","1,077","1,688",755,"3,046",489,477,402,"1,686",671,930,"1,836","2,090","1,879","1,943","1,959"
2021년05월_계_70~79세,"11,205",711,925,520,"1,290",288,434,262,"1,043",483,574,990,"1,051",772,"1,068",794
2021년05월_계_80~89세,"4,894",428,454,299,525,176,302,194,408,187,248,353,370,285,432,233
2021년05월_계_90~99세,646,56,69,39,78,18,29,28,54,29,20,39,54,32,66,35
2021년05월_계_100세 이상,17,3,0,0,0,0,1,1,0,2,0,3,4,1,0,2
2021년05월_남_총인구수,"63,585","2,429","6,260","1,465","15,657","1,105","1,032",730,"4,364","1,405","1,938","4,515","5,038","5,482","5,272","6,893"
2021년05월_남_연령구간인구수,"63,585","2,429","6,260","1,465","15,657","1,105","1,032",730,"4,364","1,405","1,938","4,515","5,038","5,482","5,272","6,893"
2021년05월_남_0~9세,"4,588",42,558,39,"1,880",25,17,8,176,35,49,225,335,424,213,562
2021년05월_남_10~19세,"6,544",111,723,61,"2,097",55,25,14,382,79,105,335,498,719,494,846
2021년05월_남_20~29세,"6,075",174,575,101,"1,423",61,53,39,517,122,158,372,533,547,559,841
2021년05월_남_30~39세,"6,703",172,665,80,"2,192",69,44,51,364,87,146,451,560,508,516,798
2021년05월_남_40~49세,"11,294",347,"1,173",171,"3,460",175,110,62,687,210,309,777,779,966,824,"1,244"
2021년05월_남_50~59세,"11,430",532,"1,122",293,"2,356",240,220,176,831,290,415,918,788,984,"1,060","1,205"
2021년05월_남_60~69세,"10,190",587,864,371,"1,484",257,264,217,817,319,428,845,906,928,973,930
2021년05월_남_70~79세,"5,089",332,404,250,593,153,200,110,450,192,244,470,492,332,477,390
2021년05월_남_80~89세,"1,545",124,160,93,157,68,93,49,135,64,78,114,132,69,137,72
2021년05월_남_90~99세,124,8,16,6,15,2,6,4,5,7,6,8,12,5,19,5
2021년05월_남_100세 이상,3,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0
2021년05월_여_총인구수,"63,002","2,185","6,250","1,400","15,312",881,953,741,"4,403","1,477","1,992","4,369","5,468","5,679","4,981","6,911"
2021년05월_여_연령구간인구수,"63,002","2,185","6,250","1,400","15,312",881,953,741,"4,403","1,477","1,992","4,369","5,468","5,679","4,981","6,911"
2021년05월_여_0~9세,"4,563",64,618,29,"1,831",19,11,10,192,51,64,219,337,403,243,472
2021년05월_여_10~19세,"6,111",97,701,52,"1,920",38,27,15,417,89,111,325,454,649,447,769
2021년05월_여_20~29세,"4,817",113,470,62,"1,276",45,30,25,354,89,110,270,412,454,385,722
2021년05월_여_30~39세,"6,373",128,706,63,"2,317",34,31,17,307,74,116,364,494,564,419,739
2021년05월_여_40~49세,"9,721",182,"1,059",92,"3,114",86,55,45,556,141,197,527,765,942,652,"1,308"
2021년05월_여_50~59세,"10,678",377,"1,004",209,"2,164",168,119,122,793,243,378,880,982,"1,032",932,"1,275"
2021년05월_여_60~69세,"10,738",490,824,384,"1,562",232,213,185,869,352,502,991,"1,184",951,970,"1,029"
2021년05월_여_70~79세,"6,116",379,521,270,697,135,234,152,593,291,330,520,559,440,591,404
2021년05월_여_80~89세,"3,349",304,294,206,368,108,209,145,273,123,170,239,238,216,295,161
2021년05월_여_90~99세,522,48,53,33,63,16,23,24,49,22,14,31,42,27,47,30
2021년05월_여_100세 이상,14,3,0,0,0,0,1,1,0,2,0,3,1,1,0,2
