,광주광역시 북구,광주광역시 북구 중흥1동,광주광역시 북구 중흥2동,광주광역시 북구 중흥3동,광주광역시 북구 중앙동,광주광역시 북구 임동,광주광역시 북구 신안동,광주광역시 북구 용봉동,광주광역시 북구 운암1동,광주광역시 북구 운암2동,광주광역시 북구 운암3동,광주광역시 북구 동림동,광주광역시 북구 우산동,광주광역시 북구 풍향동,광주광역시 북구 문화동,광주광역시 북구 문흥1동,광주광역시 북구 문흥2동,광주광역시 북구 두암1동,광주광역시 북구 두암2동,광주광역시 북구 두암3동,광주광역시 북구 삼각동,광주광역시 북구 일곡동,광주광역시 북구 매곡동,광주광역시 북구 오치1동,광주광역시 북구 오치2동,광주광역시 북구 석곡동,광주광역시 북구 건국동,광주광역시 북구 양산동,광주광역시 북구 신용동
2020년08월_계_총인구수,"433,279","5,031","6,933","5,009","3,314","8,125","11,834","38,145","19,628","12,658","13,912","23,405","10,901","6,118","19,127","16,652","16,416","8,038","16,663","14,078","14,551","30,658","14,279","11,605","12,920","2,697","22,642","38,089","29,851"
2020년08월_계_연령구간인구수,"433,279","5,031","6,933","5,009","3,314","8,125","11,834","38,145","19,628","12,658","13,912","23,405","10,901","6,118","19,127","16,652","16,416","8,038","16,663","14,078","14,551","30,658","14,279","11,605","12,920","2,697","22,642","38,089","29,851"
2020년08월_계_0~9세,"34,380",227,283,269,89,591,454,"2,658","1,822",603,943,"2,242",429,561,"1,487","1,157","1,192",340,969,494,"1,047","2,490","1,255",680,535,74,"2,747","4,020","4,722"
2020년08월_계_10~19세,"43,616",190,481,322,127,574,726,"3,835","2,271",972,"1,507","2,349",701,541,"1,523","2,000","1,540",672,"1,433",881,"1,728","4,747","1,748","1,110",858,145,"2,584","4,238","3,813"
2020년08월_계_20~29세,"62,944",993,"1,364",902,513,942,"2,193","7,065","2,587","1,856","2,079","3,082","1,389",759,"2,376","2,499","2,621","1,129","2,377","1,701","2,410","4,829","2,039","1,923","1,996",254,"2,836","5,165","3,065"
2020년08월_계_30~39세,"56,557",965,777,727,403,"1,177","1,703","4,677","2,369","1,413","1,627","3,603","1,036",849,"2,682","1,715","2,076",827,"1,898","1,344","1,760","3,014","1,743","1,289","1,481",220,"3,638","6,069","5,475"
2020년08월_계_40~49세,"68,297",611,913,726,422,"1,190","1,618","5,635","3,146","1,740","2,007","3,823","1,353",972,"2,721","2,558","2,506","1,053","2,270","1,699","2,479","5,890","2,345","1,739","1,641",262,"4,060","6,661","6,257"
2020년08월_계_50~59세,"72,344",705,979,733,587,"1,268","1,918","6,651","3,146","2,221","2,538","3,799","1,878",927,"3,198","3,092","2,678","1,421","3,016","2,728","2,674","5,577","2,473","2,235","2,581",561,"3,324","5,818","3,618"
2020년08월_계_60~69세,"52,363",688,"1,028",649,583,"1,198","1,627","4,375","2,604","2,070","1,896","2,660","2,074",757,"2,739","2,130","2,032","1,292","2,610","2,716","1,444","2,242","1,527","1,516","2,095",557,"1,915","3,531","1,808"
2020년08월_계_70~79세,"29,104",448,734,478,387,871,"1,084","2,303","1,215","1,255",869,"1,321","1,380",517,"1,626","1,019","1,195",915,"1,476","1,637",703,"1,177",740,787,"1,105",379,979,"1,749",755
