카테고리,경상남도,경상남도 창원시,경상남도 창원시 의창구,경상남도 창원시 성산구,경상남도 창원시 마산합포구,경상남도 창원시 마산회원구,경상남도 창원시 진해구,경상남도 진주시,경상남도 통영시,경상남도 사천시,경상남도 김해시,경상남도 밀양시,경상남도 거제시,경상남도 양산시,경상남도 의령군,경상남도 함안군,경상남도 창녕군,경상남도 고성군,경상남도 남해군,경상남도 하동군,경상남도 산청군,경상남도 함양군,경상남도 거창군,경상남도 합천군
2021년01월_계_총인구수,"3,338,396","1,036,203","261,845","214,067","176,636","190,739","192,916","348,022","128,084","111,005","542,296","104,687","245,492","352,421","26,778","64,036","61,305","51,372","42,855","44,673","34,809","39,013","61,474","43,871"
2021년01월_계_연령구간인구수,"3,338,396","1,036,203","261,845","214,067","176,636","190,739","192,916","348,022","128,084","111,005","542,296","104,687","245,492","352,421","26,778","64,036","61,305","51,372","42,855","44,673","34,809","39,013","61,474","43,871"
2021년01월_계_0~9세,"266,782","82,996","21,319","16,412","12,761","13,278","19,226","28,156","9,560","8,067","48,925","5,581","26,466","34,397","1,060","4,018","3,192","2,547","1,586","1,803","1,316","1,785","3,747","1,580"
2021년01월_계_10~19세,"323,933","99,440","23,531","22,949","13,829","18,135","20,996","35,245","12,832","10,278","61,163","7,804","27,954","34,354","1,505","5,974","4,240","4,157","2,919","2,871","2,064","2,957","5,743","2,433"
2021년01월_계_20~29세,"377,156","129,657","35,688","32,206","18,989","22,228","20,546","45,047","11,171","10,758","68,971","9,141","24,270","40,685","2,037","5,475","4,870","3,903","3,266","3,425","2,459","3,085","5,906","3,030"
2021년01월_계_30~39세,"397,603","133,525","35,134","29,235","20,645","21,671","26,840","41,577","13,686","11,805","69,258","8,850","36,340","48,928","1,736","5,535","5,095","3,826","2,447","2,751","2,116","2,615","4,986","2,527"
2021년01월_계_40~49세,"535,531","167,596","40,969","35,561","25,801","30,049","35,216","54,211","21,305","17,716","98,308","12,891","47,650","60,913","2,869","9,354","7,061","6,333","4,577","4,939","3,486","4,356","7,715","4,251"
2021년01월_계_50~59세,"581,701","186,213","50,435","43,291","29,572","34,446","28,469","57,681","22,386","18,452","97,182","18,717","39,273","58,703","4,622","11,210","10,861","9,136","7,297","8,394","6,504","6,888","10,552","7,630"
2021년01월_계_60~69세,"466,435","142,901","34,819","24,047","30,175","30,074","23,786","46,133","20,630","16,649","58,938","21,164","26,853","43,273","5,460","11,121","12,220","9,798","8,360","8,960","7,342","7,334","10,196","9,103"
2021년01월_계_70~79세,"245,650","63,664","13,397","6,940","16,641","14,854","11,832","25,611","11,099","10,643","26,486","12,687","10,842","21,131","3,985","6,674","8,078","6,758","6,670","6,369","5,272","5,520","6,984","7,177"
2021년01월_계_80~89세,"125,370","26,535","5,724","2,966","7,134","5,374","5,337","12,499","4,762","5,786","11,547","6,887","4,992","8,867","3,051","4,110","4,999","4,259","4,874","4,394","3,683","3,853","4,870","5,402"
