카테고리,부산광역시 중구,부산광역시 중구 중앙동,부산광역시 중구 동광동,부산광역시 중구 대청동,부산광역시 중구 보수동,부산광역시 중구 부평동,부산광역시 중구 광복동,부산광역시 중구 남포동,부산광역시 중구 영주제1동,부산광역시 중구 영주제2동
2020년01월_계_총인구수,"41,830","2,063","2,967","6,665","10,750","4,713","1,111","1,055","4,919","7,587"
2020년01월_계_연령구간인구수,"41,830","2,063","2,967","6,665","10,750","4,713","1,111","1,055","4,919","7,587"
2020년01월_계_0~9세,"1,483",45,91,239,412,131,22,16,201,326
2020년01월_계_10~19세,"2,241",75,109,436,633,212,47,29,234,466
2020년01월_계_20~29세,"5,465",386,322,931,"1,456",531,119,75,826,819
2020년01월_계_30~39세,"4,595",295,269,722,"1,164",497,114,108,700,726
2020년01월_계_40~49세,"5,654",249,370,948,"1,515",577,126,114,720,"1,035"
2020년01월_계_50~59세,"7,250",337,571,"1,134","1,851",823,204,211,729,"1,390"
2020년01월_계_60~69세,"7,745",378,583,"1,138","1,915","1,012",263,285,765,"1,406"
2020년01월_계_70~79세,"4,976",184,448,743,"1,225",612,136,155,479,994
2020년01월_계_80~89세,"1,995",89,163,300,500,250,58,50,218,367
2020년01월_계_90~99세,346,23,36,66,67,44,18,11,38,43
2020년01월_계_100세 이상,80,2,5,8,12,24,4,1,9,15
2020년01월_남_총인구수,"20,508","1,060","1,485","3,156","5,262","2,228",560,584,"2,467","3,706"
2020년01월_남_연령구간인구수,"20,508","1,060","1,485","3,156","5,262","2,228",560,584,"2,467","3,706"
2020년01월_남_0~9세,779,23,44,129,217,73,12,10,100,171
2020년01월_남_10~19세,"1,133",37,56,197,324,113,25,14,117,250
2020년01월_남_20~29세,"2,751",194,162,463,736,251,68,42,396,439
2020년01월_남_30~39세,"2,501",149,153,379,621,266,63,64,403,403
2020년01월_남_40~49세,"3,058",143,209,491,814,318,65,71,411,536
2020년01월_남_50~59세,"3,627",184,294,535,940,384,100,136,372,682
2020년01월_남_60~69세,"3,650",190,272,540,871,460,137,158,377,645
2020년01월_남_70~79세,"2,168",98,219,303,518,267,61,71,203,428
2020년01월_남_80~89세,727,35,63,104,200,78,22,12,76,137
2020년01월_남_90~99세,97,7,12,12,18,13,5,6,10,14
2020년01월_남_100세 이상,17,0,1,3,3,5,2,0,2,1
2020년01월_여_총인구수,"21,322","1,003","1,482","3,509","5,488","2,485",551,471,"2,452","3,881"
2020년01월_여_연령구간인구수,"21,322","1,003","1,482","3,509","5,488","2,485",551,471,"2,452","3,881"
2020년01월_여_0~9세,704,22,47,110,195,58,10,6,101,155
2020년01월_여_10~19세,"1,108",38,53,239,309,99,22,15,117,216
2020년01월_여_20~29세,"2,714",192,160,468,720,280,51,33,430,380
2020년01월_여_30~39세,"2,094",146,116,343,543,231,51,44,297,323
2020년01월_여_40~49세,"2,596",106,161,457,701,259,61,43,309,499
2020년01월_여_50~59세,"3,623",153,277,599,911,439,104,75,357,708
2020년01월_여_60~69세,"4,095",188,311,598,"1,044",552,126,127,388,761
2020년01월_여_70~79세,"2,808",86,229,440,707,345,75,84,276,566
2020년01월_여_80~89세,"1,268",54,100,196,300,172,36,38,142,230
2020년01월_여_90~99세,249,16,24,54,49,31,13,5,28,29
2020년01월_여_100세 이상,63,2,4,5,9,19,2,1,7,14
