,경상남도 의령군,경상남도 의령군 의령읍,경상남도 의령군 가례면,경상남도 의령군 칠곡면,경상남도 의령군 대의면,경상남도 의령군 화정면,경상남도 의령군 용덕면,경상남도 의령군 정곡면,경상남도 의령군 지정면,경상남도 의령군 낙서면,경상남도 의령군 부림면,경상남도 의령군 봉수면,경상남도 의령군 궁류면,경상남도 의령군 유곡면
2021년06월_계_총인구수,"26,526","9,524","1,701","1,179","1,023","1,511","1,532","1,426","1,818",751,"2,795",980,"1,129","1,157"
2021년06월_계_연령구간인구수,"26,526","9,524","1,701","1,179","1,023","1,511","1,532","1,426","1,818",751,"2,795",980,"1,129","1,157"
2021년06월_계_0~9세,"1,037",670,30,19,30,28,35,42,37,16,77,25,12,16
2021년06월_계_10~19세,"1,461",901,49,28,25,53,55,35,49,29,151,32,29,25
2021년06월_계_20~29세,"1,949",973,100,78,67,109,84,81,111,28,200,39,38,41
2021년06월_계_30~39세,"1,692",932,89,58,45,65,90,52,73,29,132,53,33,41
2021년06월_계_40~49세,"2,759","1,470",122,79,64,128,124,109,145,52,266,67,53,80
2021년06월_계_50~59세,"4,494","1,617",307,210,175,273,274,238,298,103,506,129,183,181
2021년06월_계_60~69세,"5,655","1,484",442,313,245,357,378,356,485,217,578,230,275,295
2021년06월_계_70~79세,"3,915",873,278,206,188,249,245,259,332,140,501,206,224,214
2021년06월_계_80~89세,"3,090",534,243,158,158,218,211,221,259,120,330,171,243,224
2021년06월_계_90~99세,468,69,39,30,26,31,36,33,29,16,54,28,39,38
2021년06월_계_100세 이상,6,1,2,0,0,0,0,0,0,1,0,0,0,2
2021년06월_남_총인구수,"13,035","4,708",849,579,489,745,764,683,924,355,"1,342",514,527,556
2021년06월_남_연령구간인구수,"13,035","4,708",849,579,489,745,764,683,924,355,"1,342",514,527,556
2021년06월_남_0~9세,537,351,17,13,11,13,17,19,20,10,37,17,5,7
2021년06월_남_10~19세,773,475,25,16,15,27,25,15,27,19,78,20,18,13
2021년06월_남_20~29세,"1,104",516,55,50,43,74,47,42,64,17,121,25,27,23
2021년06월_남_30~39세,909,454,52,36,25,32,57,33,37,20,85,36,13,29
2021년06월_남_40~49세,"1,580",771,82,49,41,78,73,67,86,35,161,54,33,50
2021년06월_남_50~59세,"2,511",884,177,110,105,154,156,137,162,57,279,75,108,107
2021년06월_남_60~69세,"2,996",720,252,160,128,198,215,194,283,107,282,143,150,164
2021년06월_남_70~79세,"1,628",364,116,88,79,92,106,101,157,54,209,84,88,90
2021년06월_남_80~89세,902,155,63,51,38,71,62,64,83,35,86,54,79,61
2021년06월_남_90~99세,94,18,10,6,4,6,6,11,5,1,4,6,6,11
2021년06월_남_100세 이상,1,0,0,0,0,0,0,0,0,0,0,0,0,1
2021년06월_여_총인구수,"13,491","4,816",852,600,534,766,768,743,894,396,"1,453",466,602,601
2021년06월_여_연령구간인구수,"13,491","4,816",852,600,534,766,768,743,894,396,"1,453",466,602,601
2021년06월_여_0~9세,500,319,13,6,19,15,18,23,17,6,40,8,7,9
2021년06월_여_10~19세,688,426,24,12,10,26,30,20,22,10,73,12,11,12
2021년06월_여_20~29세,845,457,45,28,24,35,37,39,47,11,79,14,11,18
2021년06월_여_30~39세,783,478,37,22,20,33,33,19,36,9,47,17,20,12
2021년06월_여_40~49세,"1,179",699,40,30,23,50,51,42,59,17,105,13,20,30
2021년06월_여_50~59세,"1,983",733,130,100,70,119,118,101,136,46,227,54,75,74
2021년06월_여_60~69세,"2,659",764,190,153,117,159,163,162,202,110,296,87,125,131
2021년06월_여_70~79세,"2,287",509,162,118,109,157,139,158,175,86,292,122,136,124
2021년06월_여_80~89세,"2,188",379,180,107,120,147,149,157,176,85,244,117,164,163
2021년06월_여_90~99세,374,51,29,24,22,25,30,22,24,15,50,22,33,27
2021년06월_여_100세 이상,5,1,2,0,0,0,0,0,0,1,0,0,0,1
