카테고리,충청남도 보령시,충청남도 보령시 웅천읍,충청남도 보령시 주포면,충청남도 보령시 오천면,충청남도 보령시 오천면어항출장소,충청남도 보령시 원산도출장소,충청남도 보령시 천북면,충청남도 보령시 청소면,충청남도 보령시 청라면,충청남도 보령시 남포면,충청남도 보령시 주산면,충청남도 보령시 미산면,충청남도 보령시 성주면,충청남도 보령시 주교면,충청남도 보령시 대천1동,충청남도 보령시 대천2동,충청남도 보령시 대천3동,충청남도 보령시 대천4동,충청남도 보령시 대천5동
2021년08월_계_총인구수,"98,726","6,086","1,653","2,161","1,637","1,116","3,471","2,594","3,885","5,131","2,416","1,706","2,182","5,179","14,177","6,851","16,403","15,742","6,336"
2021년08월_계_연령구간인구수,"98,726","6,086","1,653","2,161","1,637","1,116","3,471","2,594","3,885","5,131","2,416","1,706","2,182","5,179","14,177","6,851","16,403","15,742","6,336"
2021년08월_계_0~9세,"5,770",126,33,41,64,27,105,55,111,136,37,40,70,174,"1,006",455,"1,546","1,508",236
2021년08월_계_10~19세,"8,094",291,95,111,102,63,169,103,204,242,86,59,108,314,"1,417",653,"1,925","1,789",363
2021년08월_계_20~29세,"9,241",373,189,134,124,64,211,150,251,367,107,84,152,446,"1,617",719,"1,983","1,782",488
2021년08월_계_30~39세,"9,034",335,82,121,111,58,209,131,201,260,97,69,140,372,"1,555",739,"2,139","1,881",534
2021년08월_계_40~49세,"13,444",554,154,237,214,100,322,196,371,458,183,131,256,644,"2,175","1,071","2,966","2,679",733
2021년08월_계_50~59세,"16,611","1,063",267,388,305,210,566,412,661,915,356,247,382,909,"2,384","1,156","2,559","2,617","1,214"
2021년08월_계_60~69세,"17,808","1,568",408,514,386,261,836,597,913,"1,237",583,445,525,"1,124","2,134","1,014","1,875","1,941","1,447"
2021년08월_계_70~79세,"11,291","1,042",274,354,184,184,581,514,675,856,508,358,361,701,"1,274",649,917,"1,014",845
2021년08월_계_80~89세,"6,450",618,129,223,127,130,418,376,434,549,385,232,171,432,546,361,443,461,415
2021년08월_계_90~99세,942,116,22,37,19,19,53,60,58,101,72,41,16,62,68,33,47,61,57
2021년08월_계_100세 이상,41,0,0,1,1,0,1,0,6,10,2,0,1,1,1,1,3,9,4
2021년08월_남_총인구수,"50,108","3,095",868,"1,141",882,603,"1,806","1,302","1,961","2,584","1,196",878,"1,077","2,736","7,152","3,456","8,220","7,851","3,300"
2021년08월_남_연령구간인구수,"50,108","3,095",868,"1,141",882,603,"1,806","1,302","1,961","2,584","1,196",878,"1,077","2,736","7,152","3,456","8,220","7,851","3,300"
2021년08월_남_0~9세,"2,921",70,13,14,32,13,52,34,59,76,27,20,40,90,516,228,780,751,106
2021년08월_남_10~19세,"4,171",144,50,59,56,36,94,60,108,119,45,37,61,162,721,322,979,931,187
2021년08월_남_20~29세,"5,473",250,140,76,81,42,128,91,149,220,65,53,83,293,940,409,"1,128","1,020",305
2021년08월_남_30~39세,"4,912",198,39,80,65,36,138,86,118,156,57,34,76,225,838,404,"1,074",955,333
2021년08월_남_40~49세,"7,382",328,95,156,131,68,202,117,224,263,118,97,159,392,"1,108",576,"1,533","1,344",471
2021년08월_남_50~59세,"8,879",586,154,235,181,133,317,244,359,501,198,140,216,508,"1,226",604,"1,287","1,331",659
2021년08월_남_60~69세,"8,762",793,219,247,198,141,423,298,475,634,291,245,235,559,"1,018",477,886,918,705
2021년08월_남_70~79세,"5,096",482,120,178,90,86,298,232,304,397,221,158,152,334,564,280,401,442,357
2021년08월_남_80~89세,"2,291",215,35,88,44,44,146,124,157,195,153,84,52,158,204,148,141,141,162
2021년08월_남_90~99세,214,29,3,8,4,4,8,16,8,21,20,10,3,15,17,8,10,15,15
2021년08월_남_100세 이상,7,0,0,0,0,0,0,0,0,2,1,0,0,0,0,0,1,3,0
2021년08월_여_총인구수,"48,618","2,991",785,"1,020",755,513,"1,665","1,292","1,924","2,547","1,220",828,"1,105","2,443","7,025","3,395","8,183","7,891","3,036"
2021년08월_여_연령구간인구수,"48,618","2,991",785,"1,020",755,513,"1,665","1,292","1,924","2,547","1,220",828,"1,105","2,443","7,025","3,395","8,183","7,891","3,036"
2021년08월_여_0~9세,"2,849",56,20,27,32,14,53,21,52,60,10,20,30,84,490,227,766,757,130
2021년08월_여_10~19세,"3,923",147,45,52,46,27,75,43,96,123,41,22,47,152,696,331,946,858,176
2021년08월_여_20~29세,"3,768",123,49,58,43,22,83,59,102,147,42,31,69,153,677,310,855,762,183
2021년08월_여_30~39세,"4,122",137,43,41,46,22,71,45,83,104,40,35,64,147,717,335,"1,065",926,201
2021년08월_여_40~49세,"6,062",226,59,81,83,32,120,79,147,195,65,34,97,252,"1,067",495,"1,433","1,335",262
2021년08월_여_50~59세,"7,732",477,113,153,124,77,249,168,302,414,158,107,166,401,"1,158",552,"1,272","1,286",555
2021년08월_여_60~69세,"9,046",775,189,267,188,120,413,299,438,603,292,200,290,565,"1,116",537,989,"1,023",742
2021년08월_여_70~79세,"6,195",560,154,176,94,98,283,282,371,459,287,200,209,367,710,369,516,572,488
2021년08월_여_80~89세,"4,159",403,94,135,83,86,272,252,277,354,232,148,119,274,342,213,302,320,253
2021년08월_여_90~99세,728,87,19,29,15,15,45,44,50,80,52,31,13,47,51,25,37,46,42
2021년08월_여_100세 이상,34,0,0,1,1,0,1,0,6,8,1,0,1,1,1,1,2,6,4
