카테고리,경상북도 성주군,경상북도 성주군 성주읍,경상북도 성주군 선남면,경상북도 성주군 용암면,경상북도 성주군 수륜면,경상북도 성주군 가천면,경상북도 성주군 금수면,경상북도 성주군 대가면,경상북도 성주군 벽진면,경상북도 성주군 초전면,경상북도 성주군 월항면
2020년03월_계_총인구수,"43,682","13,877","6,227","3,718","3,092","1,994","1,194","2,469","3,131","4,565","3,415"
2020년03월_계_연령구간인구수,"43,682","13,877","6,227","3,718","3,092","1,994","1,194","2,469","3,131","4,565","3,415"
2020년03월_계_0~9세,"1,989",996,206,112,83,51,36,79,104,190,132
2020년03월_계_10~19세,"2,432","1,331",216,125,110,45,40,102,87,239,137
2020년03월_계_20~29세,"3,703","1,535",511,243,174,142,65,183,213,356,281
2020년03월_계_30~39세,"3,440","1,447",488,263,180,116,55,143,192,321,235
2020년03월_계_40~49세,"4,896","2,059",628,341,258,168,109,249,272,486,326
2020년03월_계_50~59세,"8,738","2,502","1,439",828,605,421,230,462,651,906,694
2020년03월_계_60~69세,"8,884","2,025","1,396",907,722,486,278,558,777,986,749
2020년03월_계_70~79세,"5,728","1,215",845,532,508,317,210,413,508,656,524
2020년03월_계_80~89세,"3,400",671,432,326,383,225,153,244,276,390,300
2020년03월_계_90~99세,447,91,60,40,64,22,17,36,49,32,36
2020년03월_계_100세 이상,25,5,6,1,5,1,1,0,2,3,1
2020년03월_남_총인구수,"22,604","7,054","3,398","2,032","1,517","1,001",615,"1,252","1,604","2,335","1,796"
2020년03월_남_연령구간인구수,"22,604","7,054","3,398","2,032","1,517","1,001",615,"1,252","1,604","2,335","1,796"
2020년03월_남_0~9세,"1,007",493,113,54,44,25,21,36,49,100,72
2020년03월_남_10~19세,"1,375",759,125,82,54,21,22,56,48,134,74
2020년03월_남_20~29세,"2,169",868,320,149,101,89,45,99,128,206,164
2020년03월_남_30~39세,"1,884",742,284,168,104,74,35,83,97,169,128
2020년03월_남_40~49세,"2,948","1,099",438,227,150,113,67,163,192,295,204
2020년03월_남_50~59세,"4,779","1,321",801,481,316,220,136,261,346,503,394
2020년03월_남_60~69세,"4,611","1,002",751,519,383,244,136,273,411,501,391
2020년03월_남_70~79세,"2,617",533,410,244,236,132,101,178,238,294,251
2020년03월_남_80~89세,"1,104",217,138,99,112,81,49,92,82,125,109
2020년03월_남_90~99세,105,19,16,9,16,2,2,11,13,8,9
2020년03월_남_100세 이상,5,1,2,0,1,0,1,0,0,0,0
2020년03월_여_총인구수,"21,078","6,823","2,829","1,686","1,575",993,579,"1,217","1,527","2,230","1,619"
2020년03월_여_연령구간인구수,"21,078","6,823","2,829","1,686","1,575",993,579,"1,217","1,527","2,230","1,619"
2020년03월_여_0~9세,982,503,93,58,39,26,15,43,55,90,60
2020년03월_여_10~19세,"1,057",572,91,43,56,24,18,46,39,105,63
2020년03월_여_20~29세,"1,534",667,191,94,73,53,20,84,85,150,117
2020년03월_여_30~39세,"1,556",705,204,95,76,42,20,60,95,152,107
2020년03월_여_40~49세,"1,948",960,190,114,108,55,42,86,80,191,122
2020년03월_여_50~59세,"3,959","1,181",638,347,289,201,94,201,305,403,300
2020년03월_여_60~69세,"4,273","1,023",645,388,339,242,142,285,366,485,358
2020년03월_여_70~79세,"3,111",682,435,288,272,185,109,235,270,362,273
2020년03월_여_80~89세,"2,296",454,294,227,271,144,104,152,194,265,191
2020년03월_여_90~99세,342,72,44,31,48,20,15,25,36,24,27
2020년03월_여_100세 이상,20,4,4,1,4,1,0,0,2,3,1
