,전라남도 강진군,전라남도 강진군 강진읍,전라남도 강진군 군동면,전라남도 강진군 칠량면,전라남도 강진군 대구면,전라남도 강진군 도암면,전라남도 강진군 신전면,전라남도 강진군 성전면,전라남도 강진군 작천면,전라남도 강진군 병영면,전라남도 강진군 옴천면,전라남도 강진군 마량면
2021년04월_계_총인구수,"34,314","13,520","4,410","2,307","1,141","2,503","1,770","2,784","1,835","1,629",628,"1,787"
2021년04월_계_연령구간인구수,"34,314","13,520","4,410","2,307","1,141","2,503","1,770","2,784","1,835","1,629",628,"1,787"
2021년04월_계_0~9세,"1,687",950,252,64,26,51,66,101,41,47,15,74
2021년04월_계_10~19세,"2,471","1,330",343,119,45,141,95,124,63,81,45,85
2021년04월_계_20~29세,"2,842","1,529",368,142,62,120,70,185,110,94,36,126
2021년04월_계_30~39세,"2,351","1,233",336,102,55,106,81,158,85,67,20,108
2021년04월_계_40~49세,"3,699","1,846",473,189,96,195,158,240,126,145,49,182
2021년04월_계_50~59세,"5,593","2,215",717,390,182,377,293,430,312,261,98,318
2021년04월_계_60~69세,"6,321","2,057",757,477,261,568,402,612,377,333,112,365
2021년04월_계_70~79세,"5,151","1,416",604,450,241,499,315,503,370,303,127,323
2021년04월_계_80~89세,"3,602",817,486,320,140,375,258,364,305,249,104,184
2021년04월_계_90~99세,569,117,72,52,32,63,31,67,44,47,22,22
2021년04월_계_100세 이상,28,10,2,2,1,8,1,0,2,2,0,0
2021년04월_남_총인구수,"16,602","6,517","2,147","1,118",546,"1,211",841,"1,365",883,771,312,891
2021년04월_남_연령구간인구수,"16,602","6,517","2,147","1,118",546,"1,211",841,"1,365",883,771,312,891
2021년04월_남_0~9세,842,479,128,39,9,25,22,51,25,20,8,36
2021년04월_남_10~19세,"1,268",667,190,51,22,78,49,57,30,47,26,51
2021년04월_남_20~29세,"1,603",821,223,82,39,72,41,119,61,55,23,67
2021년04월_남_30~39세,"1,213",621,178,57,30,62,37,80,48,36,7,57
2021년04월_남_40~49세,"2,053",926,245,115,63,121,103,147,83,96,36,118
2021년04월_남_50~59세,"3,015","1,121",379,207,107,219,160,244,188,144,62,184
2021년04월_남_60~69세,"3,166","1,001",408,249,121,291,194,311,192,167,60,172
2021년04월_남_70~79세,"2,220",612,242,200,110,220,149,219,151,118,59,140
2021년04월_남_80~89세,"1,115",246,141,109,41,110,84,121,97,78,25,63
2021년04월_남_90~99세,102,22,13,8,4,12,2,16,7,9,6,3
2021년04월_남_100세 이상,5,1,0,1,0,1,0,0,1,1,0,0
2021년04월_여_총인구수,"17,712","7,003","2,263","1,189",595,"1,292",929,"1,419",952,858,316,896
2021년04월_여_연령구간인구수,"17,712","7,003","2,263","1,189",595,"1,292",929,"1,419",952,858,316,896
2021년04월_여_0~9세,845,471,124,25,17,26,44,50,16,27,7,38
2021년04월_여_10~19세,"1,203",663,153,68,23,63,46,67,33,34,19,34
2021년04월_여_20~29세,"1,239",708,145,60,23,48,29,66,49,39,13,59
2021년04월_여_30~39세,"1,138",612,158,45,25,44,44,78,37,31,13,51
2021년04월_여_40~49세,"1,646",920,228,74,33,74,55,93,43,49,13,64
2021년04월_여_50~59세,"2,578","1,094",338,183,75,158,133,186,124,117,36,134
2021년04월_여_60~69세,"3,155","1,056",349,228,140,277,208,301,185,166,52,193
2021년04월_여_70~79세,"2,931",804,362,250,131,279,166,284,219,185,68,183
2021년04월_여_80~89세,"2,487",571,345,211,99,265,174,243,208,171,79,121
2021년04월_여_90~99세,467,95,59,44,28,51,29,51,37,38,16,19
2021년04월_여_100세 이상,23,9,2,1,1,7,1,0,1,1,0,0
