카테고리,서울특별시 구로구,서울특별시 구로구 신도림동,서울특별시 구로구 구로제1동,서울특별시 구로구 구로제2동,서울특별시 구로구 구로제3동,서울특별시 구로구 구로제4동,서울특별시 구로구 구로제5동,서울특별시 구로구 가리봉동,서울특별시 구로구 고척제1동,서울특별시 구로구 고척제2동,서울특별시 구로구 개봉제1동,서울특별시 구로구 개봉제2동,서울특별시 구로구 개봉제3동,서울특별시 구로구 오류제1동,서울특별시 구로구 오류제2동,서울특별시 구로구 수궁동,서울특별시 구로구 항동
2020년12월_계_총인구수,"404,408","36,188","21,232","24,601","23,883","20,378","29,358","9,280","23,151","27,336","34,337","31,763","20,848","22,687","39,112","23,970","16,284"
2020년12월_계_연령구간인구수,"404,408","36,188","21,232","24,601","23,883","20,378","29,358","9,280","23,151","27,336","34,337","31,763","20,848","22,687","39,112","23,970","16,284"
2020년12월_계_0~9세,"28,199","3,624","1,891",892,"1,354",823,"1,846",237,"1,328","1,836","2,187","2,186","1,203","1,243","3,319","1,476","2,754"
2020년12월_계_10~19세,"30,189","3,526","1,961","1,447","1,434","1,138","1,604",291,"1,967","2,232","2,472","2,325","1,464","1,227","3,918","2,017","1,166"
2020년12월_계_20~29세,"55,415","4,337","2,828","3,257","4,141","2,825","5,067","1,488","3,292","3,615","4,627","3,867","2,611","3,993","4,656","3,089","1,722"
2020년12월_계_30~39세,"63,147","6,244","3,889","2,928","5,020","2,932","5,439","1,261","2,906","3,316","5,080","4,570","2,790","4,366","5,183","3,314","3,909"
2020년12월_계_40~49세,"63,203","6,540","3,633","3,505","4,021","2,972","4,128","1,182","3,516","4,282","4,970","4,850","3,223","3,185","6,701","3,833","2,662"
2020년12월_계_50~59세,"63,330","5,095","3,011","4,719","3,058","3,536","4,557","1,865","3,938","4,787","5,864","4,981","3,494","3,056","5,696","3,924","1,749"
2020년12월_계_60~69세,"55,983","4,028","2,618","4,039","2,582","3,113","3,762","1,635","3,524","3,949","5,123","5,049","3,454","3,005","5,046","3,591","1,465"
2020년12월_계_70~79세,"31,804","1,977",973,"2,673","1,579","2,118","2,094",872,"1,943","2,340","2,849","2,895","1,825","1,841","3,253","1,970",602
2020년12월_계_80~89세,"11,443",716,356,987,601,814,776,366,642,870,"1,020",907,693,671,"1,163",650,211
2020년12월_계_90~99세,"1,516",91,67,124,72,90,83,60,89,101,136,122,80,95,168,95,43
2020년12월_계_100세 이상,179,10,5,30,21,17,2,23,6,8,9,11,11,5,9,11,1
2020년12월_남_총인구수,"199,673","17,684","10,412","12,414","12,176","9,887","14,261","5,031","11,543","13,532","17,172","15,497","10,204","11,110","18,867","11,847","8,036"
2020년12월_남_연령구간인구수,"199,673","17,684","10,412","12,414","12,176","9,887","14,261","5,031","11,543","13,532","17,172","15,497","10,204","11,110","18,867","11,847","8,036"
2020년12월_남_0~9세,"14,406","1,807",981,464,710,426,945,132,688,911,"1,085","1,128",595,614,"1,701",763,"1,456"
2020년12월_남_10~19세,"15,594","1,816","1,035",767,732,569,817,158,"1,020","1,158","1,264","1,171",779,633,"1,991","1,105",579
2020년12월_남_20~29세,"27,221","2,101","1,345","1,702","2,023","1,342","2,219",779,"1,724","1,860","2,366","1,947","1,340","1,784","2,270","1,609",810
2020년12월_남_30~39세,"32,215","2,990","1,949","1,613","2,718","1,520","2,717",733,"1,513","1,674","2,654","2,290","1,444","2,262","2,548","1,698","1,892"
2020년12월_남_40~49세,"32,410","3,214","1,828","1,856","2,218","1,510","2,113",670,"1,779","2,163","2,568","2,484","1,652","1,660","3,373","1,903","1,419"
2020년12월_남_50~59세,"31,327","2,511","1,433","2,466","1,609","1,779","2,304","1,107","1,925","2,367","2,917","2,344","1,643","1,540","2,717","1,861",804
2020년12월_남_60~69세,"26,394","1,922","1,207","1,923","1,180","1,414","1,821",891,"1,691","1,919","2,476","2,313","1,579","1,444","2,251","1,701",662
2020년12월_남_70~79세,"15,102","1,020",477,"1,186",729,962,989,406,940,"1,092","1,379","1,406",871,887,"1,496",937,325
2020년12월_남_80~89세,"4,585",282,137,406,229,333,314,133,239,362,431,375,275,269,477,244,79
2020년12월_남_90~99세,379,19,19,25,26,27,22,17,23,24,30,36,22,16,40,23,10
2020년12월_남_100세 이상,40,2,1,6,2,5,0,5,1,2,2,3,4,1,3,3,0
2020년12월_여_총인구수,"204,735","18,504","10,820","12,187","11,707","10,491","15,097","4,249","11,608","13,804","17,165","16,266","10,644","11,577","20,245","12,123","8,248"
2020년12월_여_연령구간인구수,"204,735","18,504","10,820","12,187","11,707","10,491","15,097","4,249","11,608","13,804","17,165","16,266","10,644","11,577","20,245","12,123","8,248"
2020년12월_여_0~9세,"13,793","1,817",910,428,644,397,901,105,640,925,"1,102","1,058",608,629,"1,618",713,"1,298"
2020년12월_여_10~19세,"14,595","1,710",926,680,702,569,787,133,947,"1,074","1,208","1,154",685,594,"1,927",912,587
2020년12월_여_20~29세,"28,194","2,236","1,483","1,555","2,118","1,483","2,848",709,"1,568","1,755","2,261","1,920","1,271","2,209","2,386","1,480",912
2020년12월_여_30~39세,"30,932","3,254","1,940","1,315","2,302","1,412","2,722",528,"1,393","1,642","2,426","2,280","1,346","2,104","2,635","1,616","2,017"
2020년12월_여_40~49세,"30,793","3,326","1,805","1,649","1,803","1,462","2,015",512,"1,737","2,119","2,402","2,366","1,571","1,525","3,328","1,930","1,243"
2020년12월_여_50~59세,"32,003","2,584","1,578","2,253","1,449","1,757","2,253",758,"2,013","2,420","2,947","2,637","1,851","1,516","2,979","2,063",945
2020년12월_여_60~69세,"29,589","2,106","1,411","2,116","1,402","1,699","1,941",744,"1,833","2,030","2,647","2,736","1,875","1,561","2,795","1,890",803
2020년12월_여_70~79세,"16,702",957,496,"1,487",850,"1,156","1,105",466,"1,003","1,248","1,470","1,489",954,954,"1,757","1,033",277
2020년12월_여_80~89세,"6,858",434,219,581,372,481,462,233,403,508,589,532,418,402,686,406,132
2020년12월_여_90~99세,"1,137",72,48,99,46,63,61,43,66,77,106,86,58,79,128,72,33
2020년12월_여_100세 이상,139,8,4,24,19,12,2,18,5,6,7,8,7,4,6,8,1
