카테고리,서울특별시 강북구,서울특별시 강북구 삼양동,서울특별시 강북구 미아동,서울특별시 강북구 송중동,서울특별시 강북구 송천동,서울특별시 강북구 삼각산동,서울특별시 강북구 번1동,서울특별시 강북구 번2동,서울특별시 강북구 번3동,서울특별시 강북구 수유1동,서울특별시 강북구 수유2동,서울특별시 강북구 수유3동,서울특별시 강북구 우이동,서울특별시 강북구 인수동
2020년12월_계_총인구수,"308,055","24,555","22,213","30,353","27,439","31,993","19,059","16,435","17,540","21,219","21,460","23,531","20,939","31,319"
2020년12월_계_연령구간인구수,"308,055","24,555","22,213","30,353","27,439","31,993","19,059","16,435","17,540","21,219","21,460","23,531","20,939","31,319"
2020년12월_계_0~9세,"15,714","1,307",797,"1,559","1,079","3,004",693,689,962,"1,057","1,064",848,"1,090","1,565"
2020년12월_계_10~19세,"22,027","1,981","1,333","2,061","1,640","4,013","1,097","1,091","1,359","1,357","1,434","1,115","1,403","2,143"
2020년12월_계_20~29세,"42,944","3,153","3,865","4,269","3,695","3,380","3,290","2,210","1,940","3,067","2,988","4,308","2,675","4,104"
2020년12월_계_30~39세,"38,757","3,029","2,899","4,122","3,287","3,851","2,811","1,809","1,748","2,783","2,587","3,390","2,594","3,847"
2020년12월_계_40~49세,"46,718","3,673","3,091","4,602","3,926","6,492","2,944","2,430","2,670","3,018","3,056","3,312","2,997","4,507"
2020년12월_계_50~59세,"52,642","4,368","3,847","5,200","5,053","4,973","3,133","2,773","2,831","3,625","3,778","4,046","3,588","5,427"
2020년12월_계_60~69세,"45,892","3,797","3,329","4,569","4,584","3,346","2,620","2,660","2,664","3,332","3,320","3,401","3,303","4,967"
2020년12월_계_70~79세,"30,087","2,246","2,116","2,829","2,899","2,014","1,767","2,012","2,515","1,996","2,141","2,162","2,175","3,215"
2020년12월_계_80~89세,"11,516",842,827,990,"1,106",798,618,677,753,832,961,837,940,"1,335"
2020년12월_계_90~99세,"1,509",129,99,122,143,97,78,80,88,114,127,98,144,190
2020년12월_계_100세 이상,249,30,10,30,27,25,8,4,10,38,4,14,30,19
2020년12월_남_총인구수,"150,143","12,239","10,698","14,596","13,633","15,393","9,574","7,976","8,256","10,511","10,277","11,654","10,198","15,138"
2020년12월_남_연령구간인구수,"150,143","12,239","10,698","14,596","13,633","15,393","9,574","7,976","8,256","10,511","10,277","11,654","10,198","15,138"
2020년12월_남_0~9세,"8,162",690,421,807,546,"1,571",366,369,490,539,546,420,589,808
2020년12월_남_10~19세,"11,319","1,033",709,"1,004",830,"2,038",581,571,692,696,769,600,740,"1,056"
2020년12월_남_20~29세,"21,044","1,626","1,673","2,088","1,883","1,676","1,591","1,153",992,"1,558","1,431","2,066","1,251","2,056"
2020년12월_남_30~39세,"20,357","1,608","1,532","2,075","1,761","1,803","1,521","1,005",904,"1,501","1,376","1,847","1,399","2,025"
2020년12월_남_40~49세,"23,936","1,871","1,614","2,346","2,069","3,138","1,559","1,237","1,363","1,623","1,521","1,750","1,539","2,306"
2020년12월_남_50~59세,"25,793","2,207","1,864","2,453","2,547","2,474","1,627","1,353","1,361","1,756","1,786","2,047","1,729","2,589"
2020년12월_남_60~69세,"21,431","1,788","1,619","2,114","2,244","1,537","1,248","1,214","1,185","1,558","1,532","1,570","1,529","2,293"
2020년12월_남_70~79세,"13,005","1,031",905,"1,244","1,260",853,796,807,958,903,903,973,953,"1,419"
2020년12월_남_80~89세,"4,611",336,333,417,442,275,260,247,287,341,375,345,415,538
2020년12월_남_90~99세,423,38,27,36,46,21,24,18,23,31,37,34,46,42
2020년12월_남_100세 이상,62,11,1,12,5,7,1,2,1,5,1,2,8,6
2020년12월_여_총인구수,"157,912","12,316","11,515","15,757","13,806","16,600","9,485","8,459","9,284","10,708","11,183","11,877","10,741","16,181"
2020년12월_여_연령구간인구수,"157,912","12,316","11,515","15,757","13,806","16,600","9,485","8,459","9,284","10,708","11,183","11,877","10,741","16,181"
2020년12월_여_0~9세,"7,552",617,376,752,533,"1,433",327,320,472,518,518,428,501,757
2020년12월_여_10~19세,"10,708",948,624,"1,057",810,"1,975",516,520,667,661,665,515,663,"1,087"
2020년12월_여_20~29세,"21,900","1,527","2,192","2,181","1,812","1,704","1,699","1,057",948,"1,509","1,557","2,242","1,424","2,048"
2020년12월_여_30~39세,"18,400","1,421","1,367","2,047","1,526","2,048","1,290",804,844,"1,282","1,211","1,543","1,195","1,822"
2020년12월_여_40~49세,"22,782","1,802","1,477","2,256","1,857","3,354","1,385","1,193","1,307","1,395","1,535","1,562","1,458","2,201"
2020년12월_여_50~59세,"26,849","2,161","1,983","2,747","2,506","2,499","1,506","1,420","1,470","1,869","1,992","1,999","1,859","2,838"
2020년12월_여_60~69세,"24,461","2,009","1,710","2,455","2,340","1,809","1,372","1,446","1,479","1,774","1,788","1,831","1,774","2,674"
2020년12월_여_70~79세,"17,082","1,215","1,211","1,585","1,639","1,161",971,"1,205","1,557","1,093","1,238","1,189","1,222","1,796"
2020년12월_여_80~89세,"6,905",506,494,573,664,523,358,430,466,491,586,492,525,797
2020년12월_여_90~99세,"1,086",91,72,86,97,76,54,62,65,83,90,64,98,148
2020년12월_여_100세 이상,187,19,9,18,22,18,7,2,9,33,3,12,22,13
