카테고리,경상북도 경산시,경상북도 경산시 하양읍,경상북도 경산시 진량읍,경상북도 경산시 압량읍,경상북도 경산시 와촌면,경상북도 경산시 자인면,경상북도 경산시 용성면,경상북도 경산시 남산면,경상북도 경산시 남천면,경상북도 경산시 중방동,경상북도 경산시 중앙동,경상북도 경산시 남부동,경상북도 경산시 서부1동,경상북도 경산시 서부2동,경상북도 경산시 북부동,경상북도 경산시 동부동
2021년05월_계_총인구수,"265,888","25,673","36,133","20,820","5,874","5,518","3,322","3,730","2,969","9,818","6,486","19,924","35,914","34,689","16,130","38,888"
2021년05월_계_연령구간인구수,"265,888","25,673","36,133","20,820","5,874","5,518","3,322","3,730","2,969","9,818","6,486","19,924","35,914","34,689","16,130","38,888"
2021년05월_계_0~9세,"20,035","1,616","2,336","2,275",155,137,77,121,84,533,212,"1,937","2,657","3,747",963,"3,185"
2021년05월_계_10~19세,"22,809","2,703","3,432","1,193",266,242,104,151,104,579,399,"1,976","3,875","2,800",782,"4,203"
2021년05월_계_20~29세,"36,357","3,905","5,384","3,132",484,455,204,261,236,"1,521",971,"2,044","4,372","4,317","3,750","5,321"
2021년05월_계_30~39세,"33,018","2,545","3,892","4,047",468,392,202,220,184,"1,148",668,"2,583","3,814","5,284","2,758","4,813"
2021년05월_계_40~49세,"41,539","4,018","6,237","3,030",607,600,273,361,273,"1,253",792,"3,526","6,153","5,453","2,176","6,787"
2021년05월_계_50~59세,"45,304","4,242","6,987","2,794","1,170","1,003",575,695,581,"1,880","1,259","3,007","6,185","5,865","2,455","6,606"
2021년05월_계_60~69세,"36,305","3,319","4,257","2,392","1,394","1,334",859,901,707,"1,765","1,151","2,623","4,950","4,154","1,872","4,627"
2021년05월_계_70~79세,"19,738","2,139","2,305","1,217",809,839,607,571,500,783,645,"1,513","2,586","2,118",916,"2,190"
2021년05월_계_80~89세,"9,579","1,071","1,177",658,459,456,369,379,254,319,355,631,"1,172",858,405,"1,016"
2021년05월_계_90~99세,"1,172",111,123,79,61,57,51,67,44,37,33,83,147,90,53,136
2021년05월_계_100세 이상,32,4,3,3,1,3,1,3,2,0,1,1,3,3,0,4
2021년05월_남_총인구수,"133,807","12,917","18,873","11,063","3,165","2,804","1,749","1,928","1,529","4,771","3,222","9,794","17,113","16,666","8,788","19,425"
2021년05월_남_연령구간인구수,"133,807","12,917","18,873","11,063","3,165","2,804","1,749","1,928","1,529","4,771","3,222","9,794","17,113","16,666","8,788","19,425"
2021년05월_남_0~9세,"10,199",849,"1,209","1,198",87,70,37,58,49,263,115,973,"1,278","1,840",519,"1,654"
2021년05월_남_10~19세,"11,788","1,419","1,731",636,143,125,53,76,55,298,218,"1,080","1,893","1,386",410,"2,265"
2021년05월_남_20~29세,"19,905","2,208","3,109","1,736",301,261,134,162,146,788,525,"1,085","2,249","2,276","2,054","2,871"
2021년05월_남_30~39세,"17,778","1,405","2,211","2,283",270,239,127,130,112,606,397,"1,333","1,854","2,630","1,672","2,509"
2021년05월_남_40~49세,"21,285","1,964","3,244","1,770",378,372,175,213,159,611,410,"1,766","2,983","2,615","1,276","3,349"
2021년05월_남_50~59세,"22,722","2,164","3,738","1,423",671,511,327,386,323,888,627,"1,447","2,956","2,704","1,319","3,238"
2021년05월_남_60~69세,"17,776","1,609","2,212","1,215",743,693,480,495,349,841,553,"1,196","2,340","1,906",924,"2,220"
2021년05월_남_70~79세,"8,809",903,990,564,401,387,288,278,242,366,258,661,"1,094",956,460,961
2021년05월_남_80~89세,"3,283",371,393,220,158,138,118,117,80,104,112,234,433,325,146,334
2021년05월_남_90~99세,256,24,36,18,12,8,10,13,12,6,7,19,33,27,8,23
2021년05월_남_100세 이상,6,1,0,0,1,0,0,0,2,0,0,0,0,1,0,1
2021년05월_여_총인구수,"132,081","12,756","17,260","9,757","2,709","2,714","1,573","1,802","1,440","5,047","3,264","10,130","18,801","18,023","7,342","19,463"
2021년05월_여_연령구간인구수,"132,081","12,756","17,260","9,757","2,709","2,714","1,573","1,802","1,440","5,047","3,264","10,130","18,801","18,023","7,342","19,463"
2021년05월_여_0~9세,"9,836",767,"1,127","1,077",68,67,40,63,35,270,97,964,"1,379","1,907",444,"1,531"
2021년05월_여_10~19세,"11,021","1,284","1,701",557,123,117,51,75,49,281,181,896,"1,982","1,414",372,"1,938"
2021년05월_여_20~29세,"16,452","1,697","2,275","1,396",183,194,70,99,90,733,446,959,"2,123","2,041","1,696","2,450"
2021년05월_여_30~39세,"15,240","1,140","1,681","1,764",198,153,75,90,72,542,271,"1,250","1,960","2,654","1,086","2,304"
2021년05월_여_40~49세,"20,254","2,054","2,993","1,260",229,228,98,148,114,642,382,"1,760","3,170","2,838",900,"3,438"
2021년05월_여_50~59세,"22,582","2,078","3,249","1,371",499,492,248,309,258,992,632,"1,560","3,229","3,161","1,136","3,368"
2021년05월_여_60~69세,"18,529","1,710","2,045","1,177",651,641,379,406,358,924,598,"1,427","2,610","2,248",948,"2,407"
2021년05월_여_70~79세,"10,929","1,236","1,315",653,408,452,319,293,258,417,387,852,"1,492","1,162",456,"1,229"
2021년05월_여_80~89세,"6,296",700,784,438,301,318,251,262,174,215,243,397,739,533,259,682
2021년05월_여_90~99세,916,87,87,61,49,49,41,54,32,31,26,64,114,63,45,113
2021년05월_여_100세 이상,26,3,3,3,0,3,1,3,0,0,1,1,3,2,0,3
