카테고리,전라북도 임실군,전라북도 임실군 임실읍,전라북도 임실군 청웅면,전라북도 임실군 운암면,전라북도 임실군 신평면,전라북도 임실군 성수면,전라북도 임실군 오수면,전라북도 임실군 신덕면,전라북도 임실군 삼계면,전라북도 임실군 관촌면,전라북도 임실군 강진면,전라북도 임실군 덕치면,전라북도 임실군 지사면
2021년08월_계_총인구수,"26,873","7,325","1,265","1,619","1,420","1,645","3,616","1,316","1,525","3,268","1,514","1,169","1,191"
2021년08월_계_연령구간인구수,"26,873","7,325","1,265","1,619","1,420","1,645","3,616","1,316","1,525","3,268","1,514","1,169","1,191"
2021년08월_계_0~9세,"1,292",644,30,56,49,46,106,37,40,158,39,31,56
2021년08월_계_10~19세,"1,618",730,54,58,62,71,207,51,60,160,70,47,48
2021년08월_계_20~29세,"1,956",693,67,107,88,95,259,84,73,238,128,67,57
2021년08월_계_30~39세,"1,811",754,53,87,89,77,223,62,62,215,60,62,67
2021년08월_계_40~49세,"2,694","1,049",111,134,109,133,333,111,111,291,143,78,91
2021년08월_계_50~59세,"4,554","1,069",203,327,231,282,596,229,244,624,307,231,211
2021년08월_계_60~69세,"5,188","1,038",252,408,310,349,770,292,322,668,294,250,235
2021년08월_계_70~79세,"4,240",765,256,249,272,314,600,239,305,525,265,233,217
2021년08월_계_80~89세,"3,042",501,205,165,186,243,450,183,254,347,180,151,177
2021년08월_계_90~99세,462,81,33,28,22,34,72,27,54,39,26,14,32
2021년08월_계_100세 이상,16,1,1,0,2,1,0,1,0,3,2,5,0
2021년08월_남_총인구수,"13,748","3,740",637,844,727,854,"1,826",691,771,"1,675",794,589,600
2021년08월_남_연령구간인구수,"13,748","3,740",637,844,727,854,"1,826",691,771,"1,675",794,589,600
2021년08월_남_0~9세,683,345,13,27,20,24,66,20,20,85,20,10,33
2021년08월_남_10~19세,857,382,25,37,40,42,122,20,28,78,39,20,24
2021년08월_남_20~29세,"1,147",394,44,58,55,61,149,55,44,137,80,35,35
2021년08월_남_30~39세,"1,004",400,32,46,53,49,130,33,35,117,39,37,33
2021년08월_남_40~49세,"1,622",580,78,79,68,88,190,72,73,177,105,50,62
2021년08월_남_50~59세,"2,583",585,118,186,131,152,337,143,147,362,173,138,111
2021년08월_남_60~69세,"2,846",540,146,227,170,203,406,179,173,349,166,146,141
2021년08월_남_70~79세,"1,873",339,107,119,122,138,256,96,147,248,113,94,94
2021년08월_남_80~89세,"1,022",162,66,55,61,90,150,66,94,108,55,57,58
2021년08월_남_90~99세,107,13,7,10,7,6,20,6,10,14,4,1,9
2021년08월_남_100세 이상,4,0,1,0,0,1,0,1,0,0,0,1,0
2021년08월_여_총인구수,"13,125","3,585",628,775,693,791,"1,790",625,754,"1,593",720,580,591
2021년08월_여_연령구간인구수,"13,125","3,585",628,775,693,791,"1,790",625,754,"1,593",720,580,591
2021년08월_여_0~9세,609,299,17,29,29,22,40,17,20,73,19,21,23
2021년08월_여_10~19세,761,348,29,21,22,29,85,31,32,82,31,27,24
2021년08월_여_20~29세,809,299,23,49,33,34,110,29,29,101,48,32,22
2021년08월_여_30~39세,807,354,21,41,36,28,93,29,27,98,21,25,34
2021년08월_여_40~49세,"1,072",469,33,55,41,45,143,39,38,114,38,28,29
2021년08월_여_50~59세,"1,971",484,85,141,100,130,259,86,97,262,134,93,100
2021년08월_여_60~69세,"2,342",498,106,181,140,146,364,113,149,319,128,104,94
2021년08월_여_70~79세,"2,367",426,149,130,150,176,344,143,158,277,152,139,123
2021년08월_여_80~89세,"2,020",339,139,110,125,153,300,117,160,239,125,94,119
2021년08월_여_90~99세,355,68,26,18,15,28,52,21,44,25,22,13,23
2021년08월_여_100세 이상,12,1,0,0,2,0,0,0,0,3,2,4,0
