카테고리,전라남도 무안군,전라남도 무안군 무안읍,전라남도 무안군 일로읍,전라남도 무안군 삼향읍,전라남도 무안군 삼향읍남악출장소,전라남도 무안군 몽탄면,전라남도 무안군 청계면,전라남도 무안군 현경면,전라남도 무안군 망운면,전라남도 무안군 해제면,전라남도 무안군 운남면
2021년01월_계_총인구수,"86,940","10,622","13,690","5,532","32,932","3,144","6,335","4,698","2,012","4,987","2,988"
2021년01월_계_연령구간인구수,"86,940","10,622","13,690","5,532","32,932","3,144","6,335","4,698","2,012","4,987","2,988"
2021년01월_계_0~9세,"7,888",703,"2,015",167,"4,371",49,198,117,63,124,81
2021년01월_계_10~19세,"9,295","1,104","1,290",306,"5,288",149,428,211,86,257,176
2021년01월_계_20~29세,"8,902","1,283","1,012",500,"4,097",236,699,320,149,363,243
2021년01월_계_30~39세,"10,414",933,"2,240",335,"5,507",145,450,267,135,236,166
2021년01월_계_40~49세,"13,745","1,522","2,111",591,"7,166",272,693,415,208,490,277
2021년01월_계_50~59세,"12,940","1,872","1,647","1,144","3,871",595,"1,136",888,340,853,594
2021년01월_계_60~69세,"10,943","1,579","1,501","1,183","1,654",606,"1,223","1,008",480,"1,059",650
2021년01월_계_70~79세,"7,916","1,070","1,148",795,677,594,885,909,356,973,509
2021년01월_계_80~89세,"4,233",494,631,432,261,439,521,482,155,556,262
2021년01월_계_90~99세,629,62,93,74,39,58,86,79,37,74,27
2021년01월_계_100세 이상,35,0,2,5,1,1,16,2,3,2,3
2021년01월_남_총인구수,"43,659","5,316","6,860","2,905","16,282","1,563","3,268","2,361","1,036","2,525","1,543"
2021년01월_남_연령구간인구수,"43,659","5,316","6,860","2,905","16,282","1,563","3,268","2,361","1,036","2,525","1,543"
2021년01월_남_0~9세,"4,061",360,"1,065",81,"2,223",22,109,64,37,66,34
2021년01월_남_10~19세,"4,724",584,635,150,"2,706",84,206,93,43,137,86
2021년01월_남_20~29세,"4,809",732,542,285,"2,036",136,430,183,82,242,141
2021년01월_남_30~39세,"5,307",492,"1,099",190,"2,665",101,260,169,84,140,107
2021년01월_남_40~49세,"7,254",777,"1,170",359,"3,484",169,403,280,135,304,173
2021년01월_남_50~59세,"7,088",994,910,663,"2,014",347,643,512,182,477,346
2021년01월_남_60~69세,"5,485",758,714,650,788,310,641,498,250,530,346
2021년01월_남_70~79세,"3,549",451,529,386,293,265,396,398,160,446,225
2021년01월_남_80~89세,"1,278",159,179,131,68,117,168,149,57,173,77
2021년01월_남_90~99세,98,9,17,9,4,11,12,14,6,10,6
2021년01월_남_100세 이상,6,0,0,1,1,1,0,1,0,0,2
2021년01월_여_총인구수,"43,281","5,306","6,830","2,627","16,650","1,581","3,067","2,337",976,"2,462","1,445"
2021년01월_여_연령구간인구수,"43,281","5,306","6,830","2,627","16,650","1,581","3,067","2,337",976,"2,462","1,445"
2021년01월_여_0~9세,"3,827",343,950,86,"2,148",27,89,53,26,58,47
2021년01월_여_10~19세,"4,571",520,655,156,"2,582",65,222,118,43,120,90
2021년01월_여_20~29세,"4,093",551,470,215,"2,061",100,269,137,67,121,102
2021년01월_여_30~39세,"5,107",441,"1,141",145,"2,842",44,190,98,51,96,59
2021년01월_여_40~49세,"6,491",745,941,232,"3,682",103,290,135,73,186,104
2021년01월_여_50~59세,"5,852",878,737,481,"1,857",248,493,376,158,376,248
2021년01월_여_60~69세,"5,458",821,787,533,866,296,582,510,230,529,304
2021년01월_여_70~79세,"4,367",619,619,409,384,329,489,511,196,527,284
2021년01월_여_80~89세,"2,955",335,452,301,193,322,353,333,98,383,185
2021년01월_여_90~99세,531,53,76,65,35,47,74,65,31,64,21
2021년01월_여_100세 이상,29,0,2,4,0,0,16,1,3,2,1
