,경기도 연천군,경기도 연천군 연천읍,경기도 연천군 전곡읍,경기도 연천군 군남면,경기도 연천군 청산면,경기도 연천군 백학면,경기도 연천군 미산면,경기도 연천군 왕징면,경기도 연천군 신서면,경기도 연천군 중면,경기도 연천군 장남면
2020년10월_계_총인구수,"43,574","7,910","19,346","3,223","3,943","2,647","1,784","1,028","2,776",194,723
2020년10월_계_연령구간인구수,"43,574","7,910","19,346","3,223","3,943","2,647","1,784","1,028","2,776",194,723
2020년10월_계_0~9세,"2,774",706,"1,604",93,122,81,50,22,62,9,25
2020년10월_계_10~19세,"3,195",455,"1,942",177,194,149,69,50,116,9,34
2020년10월_계_20~29세,"5,386","1,253","2,451",332,461,235,144,81,329,42,58
2020년10월_계_30~39세,"4,240","1,025","2,177",195,274,184,123,65,145,10,42
2020년10월_계_40~49세,"5,006",811,"2,703",293,408,251,144,85,235,17,59
2020년10월_계_50~59세,"7,179","1,062","3,190",592,707,517,343,156,439,32,141
2020년10월_계_60~69세,"7,471","1,117","2,708",694,854,547,468,235,655,34,159
2020년10월_계_70~79세,"5,067",881,"1,536",500,573,430,269,227,503,26,122
2020년10월_계_80~89세,"2,807",516,864,313,296,235,149,96,254,13,71
2020년10월_계_90~99세,403,79,150,30,46,16,23,10,36,1,12
2020년10월_계_100세 이상,46,5,21,4,8,2,2,1,2,1,0
2020년10월_남_총인구수,"22,820","4,300","9,821","1,707","2,098","1,431",950,550,"1,488",112,363
2020년10월_남_연령구간인구수,"22,820","4,300","9,821","1,707","2,098","1,431",950,550,"1,488",112,363
2020년10월_남_0~9세,"1,413",355,825,46,55,40,27,14,30,4,17
2020년10월_남_10~19세,"1,701",256,"1,005",96,116,86,38,31,53,3,17
2020년10월_남_20~29세,"3,417",872,"1,372",228,322,150,88,51,261,37,36
2020년10월_남_30~39세,"2,413",617,"1,163",115,168,117,73,40,90,6,24
2020년10월_남_40~49세,"2,739",455,"1,384",174,248,145,86,56,145,8,38
2020년10월_남_50~59세,"3,850",599,"1,666",319,377,286,181,90,245,19,68
2020년10월_남_60~69세,"3,846",558,"1,368",378,438,294,269,118,326,17,80
2020년10월_남_70~79세,"2,303",377,707,226,252,205,120,109,237,14,56
2020년10월_남_80~89세,"1,012",188,283,113,107,102,60,39,89,4,27
2020년10월_남_90~99세,110,23,39,10,14,5,7,1,11,0,0
2020년10월_남_100세 이상,16,0,9,2,1,1,1,1,1,0,0
2020년10월_여_총인구수,"20,754","3,610","9,525","1,516","1,845","1,216",834,478,"1,288",82,360
2020년10월_여_연령구간인구수,"20,754","3,610","9,525","1,516","1,845","1,216",834,478,"1,288",82,360
2020년10월_여_0~9세,"1,361",351,779,47,67,41,23,8,32,5,8
2020년10월_여_10~19세,"1,494",199,937,81,78,63,31,19,63,6,17
2020년10월_여_20~29세,"1,969",381,"1,079",104,139,85,56,30,68,5,22
2020년10월_여_30~39세,"1,827",408,"1,014",80,106,67,50,25,55,4,18
2020년10월_여_40~49세,"2,267",356,"1,319",119,160,106,58,29,90,9,21
2020년10월_여_50~59세,"3,329",463,"1,524",273,330,231,162,66,194,13,73
2020년10월_여_60~69세,"3,625",559,"1,340",316,416,253,199,117,329,17,79
2020년10월_여_70~79세,"2,764",504,829,274,321,225,149,118,266,12,66
2020년10월_여_80~89세,"1,795",328,581,200,189,133,89,57,165,9,44
2020년10월_여_90~99세,293,56,111,20,32,11,16,9,25,1,12
2020년10월_여_100세 이상,30,5,12,2,7,1,1,0,1,1,0
