카테고리,전라북도 익산시,전라북도 익산시 함열읍,전라북도 익산시 오산면,전라북도 익산시 황등면,전라북도 익산시 함라면,전라북도 익산시 웅포면,전라북도 익산시 성당면,전라북도 익산시 용안면,전라북도 익산시 낭산면,전라북도 익산시 망성면,전라북도 익산시 여산면,전라북도 익산시 금마면,전라북도 익산시 왕궁면,전라북도 익산시 춘포면,전라북도 익산시 삼기면,전라북도 익산시 용동면,전라북도 익산시 중앙동,전라북도 익산시 평화동,전라북도 익산시 인화동,전라북도 익산시 동산동,전라북도 익산시 마동,전라북도 익산시 남중동,전라북도 익산시 모현동,전라북도 익산시 송학동,전라북도 익산시 영등1동,전라북도 익산시 영등2동,전라북도 익산시 어양동,전라북도 익산시 신동,전라북도 익산시 팔봉동,전라북도 익산시 삼성동
2020년02월_계_총인구수,"286,096","7,134","8,084","7,428","2,330","1,611","1,956","2,697","3,183","3,038","3,409","5,446","4,515","4,598","2,653","1,603","3,525","4,981","7,277","22,587","9,405","12,037","39,055","8,815","24,029","14,701","25,126","15,543","6,842","32,488"
2020년02월_계_연령구간인구수,"286,096","7,134","8,084","7,428","2,330","1,611","1,956","2,697","3,183","3,038","3,409","5,446","4,515","4,598","2,653","1,603","3,525","4,981","7,277","22,587","9,405","12,037","39,055","8,815","24,029","14,701","25,126","15,543","6,842","32,488"
2020년02월_계_0~9세,"20,575",406,585,306,64,34,34,81,118,93,196,336,99,190,71,23,108,331,346,"1,764",448,524,"3,940",959,"1,695","1,405","2,406",653,595,"2,765"
2020년02월_계_10~19세,"29,054",598,631,556,142,72,101,158,167,138,172,391,218,299,122,87,167,353,443,"2,287",714,912,"4,369",948,"2,881","2,237","3,538","1,172",707,"4,474"
2020년02월_계_20~29세,"36,781",670,726,708,197,106,139,179,237,154,353,724,279,411,268,110,361,498,927,"2,573","1,390","1,426","4,939",928,"3,551","2,230","3,413","3,929",776,"4,579"
2020년02월_계_30~39세,"30,163",586,875,563,126,69,105,159,219,171,288,492,254,368,163,73,341,603,824,"2,508",914,"1,076","4,714","1,252","2,529","1,754","3,179","1,451",898,"3,609"
2020년02월_계_40~49세,"43,212",874,"1,083",880,221,146,189,249,341,262,341,599,435,545,266,153,437,763,902,"3,503","1,222","1,577","6,337","1,448","3,715","2,941","4,970","1,764","1,085","5,964"
2020년02월_계_50~59세,"49,941","1,260","1,462","1,377",456,284,386,390,565,541,573,973,792,873,554,246,587,961,"1,177","4,029","1,930","2,015","6,502","1,309","4,703","2,400","4,304","2,356","1,094","5,842"
2020년02월_계_60~69세,"38,642","1,346","1,351","1,364",441,362,418,606,650,702,620,974,985,875,504,369,713,814,"1,299","3,272","1,575","2,142","4,522","1,050","3,035",917,"1,976","1,998",832,"2,930"
2020년02월_계_70~79세,"23,539",838,804,960,397,277,328,511,525,559,511,605,809,560,377,309,554,436,892,"1,723",824,"1,661","2,419",637,"1,234",549,882,"1,403",491,"1,464"
