,경기도 양주시,경기도 양주시 백석읍,경기도 양주시 은현면,경기도 양주시 남면,경기도 양주시 광적면,경기도 양주시 장흥면,경기도 양주시 양주1동,경기도 양주시 양주2동,경기도 양주시 회천1동,경기도 양주시 회천2동,경기도 양주시 회천3동,경기도 양주시 회천4동
2020년03월_계_총인구수,"223,704","26,672","6,177","7,189","12,218","10,339","5,478","50,720","9,981","27,337","28,071","39,522"
2020년03월_계_연령구간인구수,"223,704","26,672","6,177","7,189","12,218","10,339","5,478","50,720","9,981","27,337","28,071","39,522"
2020년03월_계_0~9세,"19,805","1,538",166,405,687,517,217,"5,365",664,"2,040","2,511","5,695"
2020년03월_계_10~19세,"23,810","2,648",355,427,939,579,303,"7,265",794,"2,799","3,816","3,885"
2020년03월_계_20~29세,"26,535","3,370",713,851,"1,356","1,071",595,"5,106","1,639","3,603","3,768","4,463"
2020년03월_계_30~39세,"27,461","2,437",520,830,"1,214","1,122",481,"5,794","1,195","2,933","3,083","7,852"
2020년03월_계_40~49세,"38,792","4,047",732,830,"1,823","1,183",662,"10,711","1,451","4,514","5,464","7,375"
2020년03월_계_50~59세,"36,942","5,221","1,315","1,349","2,542","1,795","1,116","7,153","1,851","5,449","4,588","4,563"
2020년03월_계_60~69세,"26,901","4,035","1,324","1,337","1,996","2,117","1,055","4,805","1,296","3,375","2,294","3,267"
2020년03월_계_70~79세,"15,774","2,222",663,703,"1,071","1,239",685,"3,243",718,"1,827","1,643","1,760"
2020년03월_계_80~89세,"6,684","1,017",328,375,522,581,317,"1,124",323,712,812,573
2020년03월_계_90~99세,933,133,58,75,64,127,41,146,38,80,89,82
2020년03월_계_100세 이상,67,4,3,7,4,8,6,8,12,5,3,7
2020년03월_남_총인구수,"113,515","13,445","3,490","4,033","6,590","5,280","2,849","24,825","5,258","13,846","13,923","19,976"
2020년03월_남_연령구간인구수,"113,515","13,445","3,490","4,033","6,590","5,280","2,849","24,825","5,258","13,846","13,923","19,976"
2020년03월_남_0~9세,"10,095",742,93,208,352,280,116,"2,746",329,"1,057","1,264","2,908"
2020년03월_남_10~19세,"12,193","1,383",189,231,501,317,166,"3,665",409,"1,452","1,964","1,916"
2020년03월_남_20~29세,"14,252","1,830",420,543,785,617,312,"2,602",957,"1,894","1,989","2,303"
2020년03월_남_30~39세,"14,150","1,299",332,505,695,618,266,"2,738",656,"1,534","1,514","3,993"
2020년03월_남_40~49세,"19,966","2,056",457,502,"1,030",634,383,"5,307",768,"2,337","2,693","3,799"
2020년03월_남_50~59세,"19,377","2,675",787,800,"1,429",896,579,"3,722",997,"2,777","2,359","2,356"
2020년03월_남_60~69세,"13,468","2,051",737,748,"1,077","1,047",573,"2,116",665,"1,706","1,133","1,615"
2020년03월_남_70~79세,"7,289","1,004",337,343,501,619,322,"1,465",340,815,665,878
2020년03월_남_80~89세,"2,498",377,123,136,203,223,124,428,122,256,310,196
2020년03월_남_90~99세,216,28,15,15,17,26,6,36,13,18,30,12
2020년03월_남_100세 이상,11,0,0,2,0,3,2,0,2,0,2,0
2020년03월_여_총인구수,"110,189","13,227","2,687","3,156","5,628","5,059","2,629","25,895","4,723","13,491","14,148","19,546"
2020년03월_여_연령구간인구수,"110,189","13,227","2,687","3,156","5,628","5,059","2,629","25,895","4,723","13,491","14,148","19,546"
2020년03월_여_0~9세,"9,710",796,73,197,335,237,101,"2,619",335,983,"1,247","2,787"
2020년03월_여_10~19세,"11,617","1,265",166,196,438,262,137,"3,600",385,"1,347","1,852","1,969"
2020년03월_여_20~29세,"12,283","1,540",293,308,571,454,283,"2,504",682,"1,709","1,779","2,160"
2020년03월_여_30~39세,"13,311","1,138",188,325,519,504,215,"3,056",539,"1,399","1,569","3,859"
2020년03월_여_40~49세,"18,826","1,991",275,328,793,549,279,"5,404",683,"2,177","2,771","3,576"
2020년03월_여_50~59세,"17,565","2,546",528,549,"1,113",899,537,"3,431",854,"2,672","2,229","2,207"
2020년03월_여_60~69세,"13,433","1,984",587,589,919,"1,070",482,"2,689",631,"1,669","1,161","1,652"
2020년03월_여_70~79세,"8,485","1,218",326,360,570,620,363,"1,778",378,"1,012",978,882
2020년03월_여_80~89세,"4,186",640,205,239,319,358,193,696,201,456,502,377
2020년03월_여_90~99세,717,105,43,60,47,101,35,110,25,62,59,70
2020년03월_여_100세 이상,56,4,3,5,4,5,4,8,10,5,1,7
