카테고리,강원도 평창군,강원도 평창군 평창읍,강원도 평창군 미탄면,강원도 평창군 방림면,강원도 평창군 방림면계촌출장소,강원도 평창군 대화면,강원도 평창군 봉평면,강원도 평창군 용평면,강원도 평창군 진부면,강원도 평창군 대관령면
2020년08월_계_총인구수,"41,742","8,609","1,662",871,"1,641","5,332","5,700","3,129","8,798","6,000"
2020년08월_계_연령구간인구수,"41,742","8,609","1,662",871,"1,641","5,332","5,700","3,129","8,798","6,000"
2020년08월_계_0~9세,"1,930",438,42,25,48,228,284,129,432,304
2020년08월_계_10~19세,"2,970",728,78,45,70,343,446,218,675,367
2020년08월_계_20~29세,"3,377",780,103,50,92,403,417,204,751,577
2020년08월_계_30~39세,"3,189",707,68,40,89,341,484,178,637,645
2020년08월_계_40~49세,"5,392","1,108",194,75,149,648,772,400,"1,144",902
2020년08월_계_50~59세,"8,156","1,612",358,180,364,996,"1,163",678,"1,666","1,139"
2020년08월_계_60~69세,"8,673","1,672",417,236,459,"1,195","1,187",682,"1,763","1,062"
2020년08월_계_70~79세,"5,038",921,258,139,238,703,618,369,"1,125",667
2020년08월_계_80~89세,"2,626",560,118,72,112,413,302,240,510,299
2020년08월_계_90~99세,350,76,26,8,19,57,26,30,77,31
2020년08월_계_100세 이상,41,7,0,1,1,5,1,1,18,7
2020년08월_남_총인구수,"21,350","4,355",877,455,863,"2,701","2,989","1,562","4,424","3,124"
2020년08월_남_연령구간인구수,"21,350","4,355",877,455,863,"2,701","2,989","1,562","4,424","3,124"
2020년08월_남_0~9세,959,221,19,17,22,110,130,60,232,148
2020년08월_남_10~19세,"1,567",367,43,26,30,177,251,115,347,211
2020년08월_남_20~29세,"1,956",440,62,34,56,231,245,116,427,345
2020년08월_남_30~39세,"1,724",368,41,17,51,187,264,86,336,374
2020년08월_남_40~49세,"2,944",586,120,39,81,368,421,218,606,505
2020년08월_남_50~59세,"4,355",865,196,94,198,521,615,362,883,621
2020년08월_남_60~69세,"4,493",864,239,134,259,623,631,347,890,506
2020년08월_남_70~79세,"2,324",438,116,59,123,316,313,164,513,282
2020년08월_남_80~89세,943,192,38,34,41,152,113,85,168,120
2020년08월_남_90~99세,74,13,3,0,2,15,6,8,17,10
2020년08월_남_100세 이상,11,1,0,1,0,1,0,1,5,2
2020년08월_여_총인구수,"20,392","4,254",785,416,778,"2,631","2,711","1,567","4,374","2,876"
2020년08월_여_연령구간인구수,"20,392","4,254",785,416,778,"2,631","2,711","1,567","4,374","2,876"
2020년08월_여_0~9세,971,217,23,8,26,118,154,69,200,156
2020년08월_여_10~19세,"1,403",361,35,19,40,166,195,103,328,156
2020년08월_여_20~29세,"1,421",340,41,16,36,172,172,88,324,232
2020년08월_여_30~39세,"1,465",339,27,23,38,154,220,92,301,271
2020년08월_여_40~49세,"2,448",522,74,36,68,280,351,182,538,397
2020년08월_여_50~59세,"3,801",747,162,86,166,475,548,316,783,518
2020년08월_여_60~69세,"4,180",808,178,102,200,572,556,335,873,556
2020년08월_여_70~79세,"2,714",483,142,80,115,387,305,205,612,385
2020년08월_여_80~89세,"1,683",368,80,38,71,261,189,155,342,179
2020년08월_여_90~99세,276,63,23,8,17,42,20,22,60,21
2020년08월_여_100세 이상,30,6,0,0,1,4,1,0,13,5
