,충청남도 홍성군,충청남도 홍성군 홍성읍,충청남도 홍성군 광천읍,충청남도 홍성군 홍북읍,충청남도 홍성군 금마면,충청남도 홍성군 홍동면,충청남도 홍성군 장곡면,충청남도 홍성군 은하면,충청남도 홍성군 결성면,충청남도 홍성군 서부면,충청남도 홍성군 갈산면,충청남도 홍성군 구항면
2021년06월_계_총인구수,"99,440","37,846","8,342","28,868","3,509","3,429","2,883","2,270","2,082","3,228","3,506","3,477"
2021년06월_계_연령구간인구수,"99,440","37,846","8,342","28,868","3,509","3,429","2,883","2,270","2,082","3,228","3,506","3,477"
2021년06월_계_0~9세,"7,570","2,396",278,"4,319",97,118,71,39,23,73,74,82
2021년06월_계_10~19세,"9,543","4,238",525,"3,739",121,230,111,58,59,140,151,171
2021년06월_계_20~29세,"9,404","4,771",546,"2,697",224,219,142,122,105,195,193,190
2021년06월_계_30~39세,"10,215","3,502",453,"5,022",202,183,136,91,91,140,194,201
2021년06월_계_40~49세,"14,290","5,938",756,"5,531",322,355,219,171,122,276,273,327
2021년06월_계_50~59세,"15,656","6,704","1,413","3,526",625,568,443,350,348,514,542,623
2021년06월_계_60~69세,"15,313","5,367","1,856","2,239",827,736,654,554,526,835,863,856
2021년06월_계_70~79세,"10,050","3,108","1,525","1,070",585,524,556,463,420,599,632,568
2021년06월_계_80~89세,"6,469","1,596",860,634,437,443,502,351,342,390,509,405
2021년06월_계_90~99세,905,217,124,90,69,51,49,71,45,62,74,53
2021년06월_계_100세 이상,25,9,6,1,0,2,0,0,1,4,1,1
2021년06월_남_총인구수,"49,522","18,772","4,119","14,451","1,795","1,721","1,381","1,151","1,029","1,586","1,758","1,759"
2021년06월_남_연령구간인구수,"49,522","18,772","4,119","14,451","1,795","1,721","1,381","1,151","1,029","1,586","1,758","1,759"
2021년06월_남_0~9세,"3,932","1,223",148,"2,246",52,70,38,21,9,35,45,45
2021년06월_남_10~19세,"4,894","2,178",295,"1,900",67,112,52,28,27,66,82,87
2021년06월_남_20~29세,"5,199","2,630",327,"1,377",140,145,85,77,70,118,117,113
2021년06월_남_30~39세,"5,272","1,830",255,"2,450",130,100,78,60,64,79,121,105
2021년06월_남_40~49세,"7,460","2,907",439,"2,822",200,195,136,112,83,182,182,202
2021년06월_남_50~59세,"8,227","3,452",725,"1,850",347,311,245,204,182,272,292,347
2021년06월_남_60~69세,"7,558","2,556",920,"1,081",433,388,324,286,265,415,434,456
2021년06월_남_70~79세,"4,498","1,390",669,497,253,246,232,217,191,266,276,261
2021년06월_남_80~89세,"2,257",550,305,213,155,141,177,129,130,137,187,133
2021년06월_남_90~99세,221,53,36,15,18,13,14,17,8,15,22,10
2021년06월_남_100세 이상,4,3,0,0,0,0,0,0,0,1,0,0
2021년06월_여_총인구수,"49,918","19,074","4,223","14,417","1,714","1,708","1,502","1,119","1,053","1,642","1,748","1,718"
2021년06월_여_연령구간인구수,"49,918","19,074","4,223","14,417","1,714","1,708","1,502","1,119","1,053","1,642","1,748","1,718"
2021년06월_여_0~9세,"3,638","1,173",130,"2,073",45,48,33,18,14,38,29,37
2021년06월_여_10~19세,"4,649","2,060",230,"1,839",54,118,59,30,32,74,69,84
2021년06월_여_20~29세,"4,205","2,141",219,"1,320",84,74,57,45,35,77,76,77
2021년06월_여_30~39세,"4,943","1,672",198,"2,572",72,83,58,31,27,61,73,96
2021년06월_여_40~49세,"6,830","3,031",317,"2,709",122,160,83,59,39,94,91,125
2021년06월_여_50~59세,"7,429","3,252",688,"1,676",278,257,198,146,166,242,250,276
2021년06월_여_60~69세,"7,755","2,811",936,"1,158",394,348,330,268,261,420,429,400
2021년06월_여_70~79세,"5,552","1,718",856,573,332,278,324,246,229,333,356,307
2021년06월_여_80~89세,"4,212","1,046",555,421,282,302,325,222,212,253,322,272
2021년06월_여_90~99세,684,164,88,75,51,38,35,54,37,47,52,43
2021년06월_여_100세 이상,21,6,6,1,0,2,0,0,1,3,1,1
