카테고리,경상남도 의령군,경상남도 의령군 의령읍,경상남도 의령군 가례면,경상남도 의령군 칠곡면,경상남도 의령군 대의면,경상남도 의령군 화정면,경상남도 의령군 용덕면,경상남도 의령군 정곡면,경상남도 의령군 지정면,경상남도 의령군 낙서면,경상남도 의령군 부림면,경상남도 의령군 봉수면,경상남도 의령군 궁류면,경상남도 의령군 유곡면
2020년02월_계_총인구수,"27,082","9,502","1,729","1,182","1,042","1,585","1,618","1,447","1,852",762,"2,936","1,034","1,191","1,202"
2020년02월_계_연령구간인구수,"27,082","9,502","1,729","1,182","1,042","1,585","1,618","1,447","1,852",762,"2,936","1,034","1,191","1,202"
2020년02월_계_0~9세,"1,148",731,35,28,33,35,40,34,33,16,102,26,15,20
2020년02월_계_10~19세,"1,592",897,66,41,32,73,64,51,60,28,177,42,33,28
2020년02월_계_20~29세,"2,108",974,104,81,70,141,114,88,123,32,220,48,49,64
2020년02월_계_30~39세,"1,901",999,105,65,56,78,101,50,102,26,155,64,47,53
2020년02월_계_40~49세,"2,980","1,521",145,81,79,139,145,124,149,54,315,76,68,84
2020년02월_계_50~59세,"4,776","1,584",338,228,180,289,305,275,338,120,527,151,221,220
2020년02월_계_60~69세,"5,132","1,348",387,274,219,326,358,312,438,199,547,232,241,251
2020년02월_계_70~79세,"4,062",875,273,201,195,275,243,278,363,147,536,201,245,230
2020년02월_계_80~89세,"2,956",503,239,159,155,201,217,208,217,121,308,169,243,216
2020년02월_계_90~99세,419,67,36,24,22,28,31,27,28,19,49,25,29,34
2020년02월_계_100세 이상,8,3,1,0,1,0,0,0,1,0,0,0,0,2
2020년02월_남_총인구수,"13,214","4,674",858,572,505,767,790,696,939,356,"1,406",534,555,562
2020년02월_남_연령구간인구수,"13,214","4,674",858,572,505,767,790,696,939,356,"1,406",534,555,562
2020년02월_남_0~9세,590,381,16,15,15,16,18,16,16,10,52,17,9,9
2020년02월_남_10~19세,863,473,41,24,21,42,30,24,30,19,96,28,20,15
2020년02월_남_20~29세,"1,174",522,54,47,42,83,63,43,77,20,133,25,35,30
2020년02월_남_30~39세,"1,012",475,63,38,33,38,63,33,53,13,92,48,26,37
2020년02월_남_40~49세,"1,737",818,93,53,49,81,89,74,100,38,192,57,41,52
2020년02월_남_50~59세,"2,612",846,189,113,100,165,172,159,181,61,281,88,124,133
2020년02월_남_60~69세,"2,643",636,220,147,121,170,197,167,239,104,259,134,123,126
2020년02월_남_70~79세,"1,647",374,106,80,78,103,92,113,167,48,220,79,99,88
2020년02월_남_80~89세,846,133,66,49,41,64,59,58,70,39,76,54,74,63
2020년02월_남_90~99세,88,16,10,6,5,5,7,9,5,4,5,4,4,8
2020년02월_남_100세 이상,2,0,0,0,0,0,0,0,1,0,0,0,0,1
2020년02월_여_총인구수,"13,868","4,828",871,610,537,818,828,751,913,406,"1,530",500,636,640
2020년02월_여_연령구간인구수,"13,868","4,828",871,610,537,818,828,751,913,406,"1,530",500,636,640
2020년02월_여_0~9세,558,350,19,13,18,19,22,18,17,6,50,9,6,11
2020년02월_여_10~19세,729,424,25,17,11,31,34,27,30,9,81,14,13,13
2020년02월_여_20~29세,934,452,50,34,28,58,51,45,46,12,87,23,14,34
2020년02월_여_30~39세,889,524,42,27,23,40,38,17,49,13,63,16,21,16
2020년02월_여_40~49세,"1,243",703,52,28,30,58,56,50,49,16,123,19,27,32
2020년02월_여_50~59세,"2,164",738,149,115,80,124,133,116,157,59,246,63,97,87
2020년02월_여_60~69세,"2,489",712,167,127,98,156,161,145,199,95,288,98,118,125
2020년02월_여_70~79세,"2,415",501,167,121,117,172,151,165,196,99,316,122,146,142
2020년02월_여_80~89세,"2,110",370,173,110,114,137,158,150,147,82,232,115,169,153
2020년02월_여_90~99세,331,51,26,18,17,23,24,18,23,15,44,21,25,26
2020년02월_여_100세 이상,6,3,1,0,1,0,0,0,0,0,0,0,0,1
