카테고리,경기도 의정부시,경기도 의정부시 의정부1동,경기도 의정부시 의정부2동,경기도 의정부시 호원1동,경기도 의정부시 호원2동,경기도 의정부시 장암동,경기도 의정부시 신곡1동,경기도 의정부시 신곡2동,경기도 의정부시 송산1동,경기도 의정부시 송산2동,경기도 의정부시 송산3동,경기도 의정부시 자금동,경기도 의정부시 가능동,경기도 의정부시 흥선동,경기도 의정부시 녹양동
2020년02월_계_총인구수,"452,865","30,798","31,972","36,440","35,828","20,128","45,124","44,468","31,005","34,596","45,789","28,013","26,491","19,604","22,609"
2020년02월_계_연령구간인구수,"452,865","30,798","31,972","36,440","35,828","20,128","45,124","44,468","31,005","34,596","45,789","28,013","26,491","19,604","22,609"
2020년02월_계_0~9세,"35,074","1,185","1,923","2,550","2,692","1,513","3,076","3,182","2,328","3,061","6,929","2,120","1,564","1,231","1,720"
2020년02월_계_10~19세,"43,514","1,695","2,320","2,861","3,653","2,076","4,391","5,130","3,068","4,556","4,958","2,716","2,149","1,687","2,254"
2020년02월_계_20~29세,"62,519","5,627","5,245","4,706","4,584","2,319","6,407","6,472","4,221","4,620","5,083","3,874","3,670","2,559","3,132"
2020년02월_계_30~39세,"59,662","4,583","4,767","4,928","4,280","2,311","5,507","4,755","3,915","4,034","8,669","3,323","3,393","2,339","2,858"
2020년02월_계_40~49세,"74,735","4,445","5,072","5,815","5,864","3,401","7,266","7,350","5,058","6,741","8,598","4,487","3,997","2,984","3,657"
2020년02월_계_50~59세,"79,027","5,574","5,705","5,800","6,029","3,335","8,633","8,429","5,641","5,851","5,828","5,262","5,224","3,682","4,034"
2020년02월_계_60~69세,"52,942","4,252","3,813","5,052","4,309","2,667","5,550","5,078","3,695","2,859","3,414","3,321","3,519","2,751","2,662"
2020년02월_계_70~79세,"30,340","2,217","2,146","3,394","3,022","1,658","2,896","2,646","1,921","1,864","1,597","1,892","2,059","1,544","1,484"
2020년02월_계_80~89세,"13,101","1,015",866,"1,192","1,241",739,"1,245","1,240",989,891,619,875,791,702,696
2020년02월_계_90~99세,"1,745",146,104,124,146,99,142,178,158,115,93,125,115,90,110
2020년02월_계_100세 이상,206,59,11,18,8,10,11,8,11,4,1,18,10,35,2
2020년02월_남_총인구수,"223,110","15,687","15,860","17,835","17,389","9,601","22,264","21,554","15,382","17,097","22,269","13,745","13,237","9,925","11,265"
2020년02월_남_연령구간인구수,"223,110","15,687","15,860","17,835","17,389","9,601","22,264","21,554","15,382","17,097","22,269","13,745","13,237","9,925","11,265"
2020년02월_남_0~9세,"18,127",630,"1,010","1,346","1,374",763,"1,658","1,629","1,174","1,588","3,526","1,065",809,640,915
2020년02월_남_10~19세,"22,417",848,"1,244","1,463","1,829","1,057","2,212","2,685","1,596","2,312","2,507","1,423","1,120",907,"1,214"
