카테고리,전라남도 담양군,전라남도 담양군 담양읍,전라남도 담양군 봉산면,전라남도 담양군 고서면,전라남도 담양군 가사문학면,전라남도 담양군 창평면,전라남도 담양군 대덕면,전라남도 담양군 무정면,전라남도 담양군 금성면,전라남도 담양군 용면,전라남도 담양군 월산면,전라남도 담양군 수북면,전라남도 담양군 대전면
2020년09월_계_총인구수,"45,938","14,262","2,835","3,211","1,280","3,656","1,938","2,843","2,653","1,873","2,450","4,534","4,403"
2020년09월_계_연령구간인구수,"45,938","14,262","2,835","3,211","1,280","3,656","1,938","2,843","2,653","1,873","2,450","4,534","4,403"
2020년09월_계_0~9세,"2,331","1,062",129,124,37,150,71,72,90,73,108,217,198
2020년09월_계_10~19세,"3,004","1,213",112,173,51,204,104,135,128,83,123,320,358
2020년09월_계_20~29세,"4,746","1,673",232,272,104,317,177,587,210,157,186,430,401
2020년09월_계_30~39세,"3,644","1,466",222,231,81,249,130,160,196,132,188,293,296
2020년09월_계_40~49세,"5,211","1,876",310,337,113,372,176,229,256,178,244,577,543
2020년09월_계_50~59세,"8,095","2,265",510,619,251,699,394,433,457,347,460,849,811
2020년09월_계_60~69세,"8,129","2,096",578,653,275,691,383,488,537,389,491,809,739
2020년09월_계_70~79세,"6,329","1,597",451,498,203,568,291,408,432,320,399,579,583
2020년09월_계_80~89세,"3,815",856,248,256,136,363,180,287,296,167,225,387,414
2020년09월_계_90~99세,601,149,42,44,28,38,30,43,47,25,25,70,60
2020년09월_계_100세 이상,33,9,1,4,1,5,2,1,4,2,1,3,0
2020년09월_남_총인구수,"23,350","7,232","1,433","1,627",642,"1,866",994,"1,612","1,350",932,"1,212","2,273","2,177"
2020년09월_남_연령구간인구수,"23,350","7,232","1,433","1,627",642,"1,866",994,"1,612","1,350",932,"1,212","2,273","2,177"
2020년09월_남_0~9세,"1,170",520,61,60,14,83,42,35,49,42,49,114,101
2020년09월_남_10~19세,"1,567",642,58,86,25,103,58,85,65,42,60,176,167
2020년09월_남_20~29세,"2,834",954,125,146,59,182,97,500,122,82,96,235,236
2020년09월_남_30~39세,"1,914",761,117,134,42,137,72,89,113,59,88,153,149
2020년09월_남_40~49세,"3,025","1,040",201,195,65,226,97,136,175,112,155,315,308
2020년09월_남_50~59세,"4,491","1,214",285,339,145,393,215,244,257,186,260,483,470
2020년09월_남_60~69세,"4,183","1,049",294,358,147,369,220,242,267,196,241,416,384
2020년09월_남_70~79세,"2,810",720,197,217,90,241,127,183,197,148,195,258,237
2020년09월_남_80~89세,"1,222",299,85,81,47,121,61,90,96,56,65,104,117
2020년09월_남_90~99세,131,32,10,11,8,10,5,8,9,9,3,18,8
2020년09월_남_100세 이상,3,1,0,0,0,1,0,0,0,0,0,1,0
2020년09월_여_총인구수,"22,588","7,030","1,402","1,584",638,"1,790",944,"1,231","1,303",941,"1,238","2,261","2,226"
2020년09월_여_연령구간인구수,"22,588","7,030","1,402","1,584",638,"1,790",944,"1,231","1,303",941,"1,238","2,261","2,226"
2020년09월_여_0~9세,"1,161",542,68,64,23,67,29,37,41,31,59,103,97
2020년09월_여_10~19세,"1,437",571,54,87,26,101,46,50,63,41,63,144,191
2020년09월_여_20~29세,"1,912",719,107,126,45,135,80,87,88,75,90,195,165
2020년09월_여_30~39세,"1,730",705,105,97,39,112,58,71,83,73,100,140,147
2020년09월_여_40~49세,"2,186",836,109,142,48,146,79,93,81,66,89,262,235
2020년09월_여_50~59세,"3,604","1,051",225,280,106,306,179,189,200,161,200,366,341
2020년09월_여_60~69세,"3,946","1,047",284,295,128,322,163,246,270,193,250,393,355
2020년09월_여_70~79세,"3,519",877,254,281,113,327,164,225,235,172,204,321,346
2020년09월_여_80~89세,"2,593",557,163,175,89,242,119,197,200,111,160,283,297
2020년09월_여_90~99세,470,117,32,33,20,28,25,35,38,16,22,52,52
2020년09월_여_100세 이상,30,8,1,4,1,4,2,1,4,2,1,2,0
