,충청북도 청주시,충청북도 청주시 상당구,충청북도 청주시 상당구 낭성면,충청북도 청주시 상당구 미원면,충청북도 청주시 상당구 가덕면,충청북도 청주시 상당구 남일면,충청북도 청주시 상당구 문의면,충청북도 청주시 상당구 중앙동,충청북도 청주시 상당구 성안동,충청북도 청주시 상당구 탑대성동,충청북도 청주시 상당구 영운동,충청북도 청주시 상당구 금천동,충청북도 청주시 상당구 용담.명암.산성동,충청북도 청주시 상당구 용암1동,충청북도 청주시 상당구 용암2동,충청북도 청주시 서원구,충청북도 청주시 서원구 남이면,충청북도 청주시 서원구 현도면,충청북도 청주시 서원구 사직1동,충청북도 청주시 서원구 사직2동,충청북도 청주시 서원구 사창동,충청북도 청주시 서원구 모충동,충청북도 청주시 서원구 산남동,충청북도 청주시 서원구 분평동,충청북도 청주시 서원구 수곡1동,충청북도 청주시 서원구 수곡2동,충청북도 청주시 서원구 성화.개신.죽림동,충청북도 청주시 흥덕구,충청북도 청주시 흥덕구 오송읍,충청북도 청주시 흥덕구 강내면,충청북도 청주시 흥덕구 옥산면,충청북도 청주시 흥덕구 운천.신봉동,충청북도 청주시 흥덕구 복대1동,충청북도 청주시 흥덕구 복대2동,충청북도 청주시 흥덕구 가경동,충청북도 청주시 흥덕구 봉명1동,충청북도 청주시 흥덕구 봉명2.송정동,충청북도 청주시 흥덕구 강서제1동,충청북도 청주시 흥덕구 강서제2동,충청북도 청주시 청원구,충청북도 청주시 청원구 내수읍,충청북도 청주시 청원구 오창읍,충청북도 청주시 청원구 북이면,충청북도 청주시 청원구 우암동,충청북도 청주시 청원구 내덕1동,충청북도 청주시 청원구 내덕2동,충청북도 청주시 청원구 율량.사천동,충청북도 청주시 청원구 오근장동
2021년06월_계_총인구수,"847,392","193,737","2,230","4,932","3,897","6,769","3,973","6,967","6,806","8,706","10,548","31,045","13,472","54,334","40,058","193,472","10,116","3,250","7,445","14,126","14,693","14,450","26,388","30,369","13,260","15,755","43,620","266,518","23,978","10,750","18,032","16,825","50,904","15,866","54,553","9,669","24,101","28,401","13,439","193,665","19,206","69,896","4,584","12,160","8,500","13,419","47,539","18,361"
2021년06월_계_연령구간인구수,"847,392","193,737","2,230","4,932","3,897","6,769","3,973","6,967","6,806","8,706","10,548","31,045","13,472","54,334","40,058","193,472","10,116","3,250","7,445","14,126","14,693","14,450","26,388","30,369","13,260","15,755","43,620","266,518","23,978","10,750","18,032","16,825","50,904","15,866","54,553","9,669","24,101","28,401","13,439","193,665","19,206","69,896","4,584","12,160","8,500","13,419","47,539","18,361"
2021년06월_계_0~9세,"72,740","16,228",51,106,96,400,89,361,229,403,595,"2,561","1,500","5,396","4,441","13,232",620,80,285,"1,361",639,643,"2,289","2,451",504,868,"3,492","23,818","2,222",661,"2,286",850,"5,695",619,"4,811",458,"1,673","1,994","2,549","19,462","1,412","9,810",92,497,325,851,"4,119","2,356"
2021년06월_계_10~19세,"85,073","19,724",54,188,119,436,184,535,372,644,882,"3,764","1,957","6,295","4,294","19,792",634,114,495,"1,390",944,987,"3,891","4,003",920,"1,357","5,057","26,267","2,358","1,035","1,274","1,423","6,443","1,038","6,640",566,"2,276","2,255",959,"19,290","1,847","7,496",155,725,541,"1,088","5,072","2,366"
2021년06월_계_20~29세,"119,824","24,894",163,307,320,685,299,"1,072",971,"1,026","1,267","4,104","1,509","7,549","5,622","28,189","1,117",177,901,"1,628","3,428","2,277","3,655","4,416","1,972","1,979","6,639","40,831","3,285","1,402","1,894","2,471","7,315","3,262","7,725","2,049","4,202","5,352","1,874","25,910","2,263","8,905",357,"2,037","1,095","2,024","7,319","1,910"
2021년06월_계_30~39세,"118,110","23,516",118,285,213,669,224,837,662,794,"1,122","3,435","1,554","7,548","6,055","22,212","1,086",204,723,"1,869","1,933","1,520","3,079","3,316","1,280","1,673","5,529","41,291","3,975","1,087","3,481","1,886","8,330","1,851","6,946","1,602","3,906","4,699","3,528","31,091","1,961","15,283",289,"1,461",784,"1,614","6,817","2,882"
2021년06월_계_40~49세,"136,168","30,671",165,398,355,786,380,947,820,"1,185","1,530","5,432","2,528","9,399","6,746","30,168","1,216",318,980,"2,070","1,855","1,854","5,049","5,441","1,701","2,069","7,615","43,178","4,147","1,569","2,622","2,381","9,974","1,989","9,140","1,296","3,862","4,280","1,918","32,151","3,041","12,708",411,"1,482","1,129","2,032","7,794","3,554"
2021년06월_계_50~59세,"136,904","33,148",434,861,823,"1,294",753,"1,101","1,147","1,563","1,846","5,206","2,133","9,170","6,817","33,664","2,117",582,"1,470","2,281","2,095","2,529","4,505","5,531","2,410","3,082","7,062","42,647","3,303","2,013","2,687","3,358","7,291","2,803","9,992","1,531","3,959","4,469","1,241","27,445","3,492","7,368",859,"1,983","1,516","2,239","7,700","2,288"
2021년06월_계_60~69세,"103,162","25,683",631,"1,346",994,"1,350",891,"1,028","1,306","1,557","1,808","3,738","1,324","5,747","3,963","26,528","1,889",798,"1,403","2,093","2,066","2,663","2,333","2,959","2,442","2,718","5,164","29,405","2,573","1,629","2,174","2,699","3,699","2,527","6,135","1,287","2,696","3,211",775,"21,546","2,784","4,893","1,163","2,008","1,619","1,893","5,474","1,712"
2021년06월_계_70~79세,"47,497","12,380",331,794,566,618,609,667,793,985,"1,005","1,892",633,"2,088","1,399","12,506",837,533,730,892,"1,203","1,282","1,014","1,375","1,327","1,281","2,032","12,206","1,322",814,972,"1,103","1,413","1,232","2,093",617,993,"1,326",321,"10,405","1,426","2,139",684,"1,231",957,"1,103","2,075",790
