,경기도 평택시,경기도 평택시 팽성읍,경기도 평택시 안중읍,경기도 평택시 포승읍,경기도 평택시 청북읍,경기도 평택시 진위면,경기도 평택시 서탄면,경기도 평택시 고덕면,경기도 평택시 오성면,경기도 평택시 현덕면,경기도 평택시 중앙동,경기도 평택시 서정동,경기도 평택시 송탄동,경기도 평택시 지산동,경기도 평택시 송북동,경기도 평택시 신장1동,경기도 평택시 신장2동,경기도 평택시 신평동,경기도 평택시 원평동,경기도 평택시 통복동,경기도 평택시 비전1동,경기도 평택시 비전2동,경기도 평택시 용이동,경기도 평택시 세교동
2020년11월_계_총인구수,"534,343","27,553","43,703","24,026","26,467","11,382","3,681","22,502","6,704","5,322","43,885","25,516","19,754","12,537","22,061","7,479","5,767","22,745","10,665","4,098","83,579","53,677","24,962","26,278"
2020년11월_계_연령구간인구수,"534,343","27,553","43,703","24,026","26,467","11,382","3,681","22,502","6,704","5,322","43,885","25,516","19,754","12,537","22,061","7,479","5,767","22,745","10,665","4,098","83,579","53,677","24,962","26,278"
2020년11월_계_0~9세,"48,882","1,546","4,065","1,942","4,057",502,115,"2,622",312,151,"2,958","1,329","2,316",719,"1,635",595,166,"1,074",539,124,"10,737","5,742","3,409","2,227"
2020년11월_계_10~19세,"53,148","1,704","5,868","1,986","3,126",836,215,"1,819",491,298,"4,949","2,349","1,838",918,"2,226",501,303,"1,753",663,208,"9,148","6,203","3,075","2,671"
2020년11월_계_20~29세,"72,932","2,930","5,730","3,011","2,280","1,494",360,"3,383",705,453,"7,077","3,673","2,622","2,399","2,944","1,052",725,"3,926","1,596",616,"11,215","7,377","3,351","4,013"
2020년11월_계_30~39세,"79,942","2,944","5,687","3,916","4,860","1,326",343,"4,311",608,358,"5,360","3,082","3,349","2,204","2,608","1,277",638,"2,871","1,506",417,"16,054","8,062","4,616","3,545"
2020년11월_계_40~49세,"93,403","3,949","8,671","4,648","5,323","1,722",480,"3,597",894,625,"7,640","4,164","3,615","2,096","3,714","1,216",783,"3,487","1,592",519,"15,953","9,429","5,069","4,217"
2020년11월_계_50~59세,"86,674","5,133","6,895","3,887","2,934","2,140",682,"3,275","1,320",984,"8,090","4,868","3,199","1,944","4,101","1,142","1,005","4,283","1,902",812,"11,315","8,616","3,189","4,958"
2020년11월_계_60~69세,"54,648","4,684","3,715","2,583","2,128","1,793",736,"1,933","1,138","1,138","4,431","3,226","1,686","1,215","2,680",877,"1,000","2,931","1,503",733,"5,612","4,830","1,442","2,634"
2020년11월_계_70~79세,"28,518","2,860","1,944","1,314","1,098","1,025",457,978,723,784,"2,207","1,831",718,697,"1,396",519,709,"1,578",873,450,"2,349","2,191",534,"1,283"
