,부산광역시 금정구,부산광역시 금정구 서제1동,부산광역시 금정구 서제2동,부산광역시 금정구 서제3동,부산광역시 금정구 금사회동동,부산광역시 금정구 부곡제1동,부산광역시 금정구 부곡제2동,부산광역시 금정구 부곡제3동,부산광역시 금정구 부곡제4동,부산광역시 금정구 장전제1동,부산광역시 금정구 장전제2동,부산광역시 금정구 선두구동,부산광역시 금정구 청룡노포동,부산광역시 금정구 남산동,부산광역시 금정구 구서제1동,부산광역시 금정구 구서제2동,부산광역시 금정구 금성동
2021년07월_계_총인구수,"229,228","5,490","9,348","11,335","7,986","8,428","16,982","15,962","12,993","17,900","27,059","2,343","9,801","29,149","19,833","33,566","1,053"
2021년07월_계_연령구간인구수,"229,228","5,490","9,348","11,335","7,986","8,428","16,982","15,962","12,993","17,900","27,059","2,343","9,801","29,149","19,833","33,566","1,053"
2021년07월_계_0~9세,"12,529",96,298,323,252,297,886,"1,115",513,842,"2,636",69,488,"1,151","1,325","2,172",66
2021년07월_계_10~19세,"17,239",251,463,532,342,427,"1,414","1,321",782,"1,212","2,464",97,680,"1,972","1,921","3,246",115
2021년07월_계_20~29세,"32,483",509,"1,093","1,240",797,866,"2,511","2,235","1,554","5,736","3,319",209,"1,025","4,425","2,532","4,353",79
2021년07월_계_30~39세,"24,473",432,922,"1,095",749,805,"1,824","1,920","1,387","1,974","3,661",205,920,"2,930","2,193","3,379",77
2021년07월_계_40~49세,"31,549",709,"1,106","1,318",946,"1,074","2,439","2,252","1,755","2,181","4,700",239,"1,187","3,582","3,024","4,877",160
2021년07월_계_50~59세,"39,270","1,044","1,825","2,205","1,520","1,400","2,929","2,742","2,221","2,205","3,731",464,"1,742","5,451","3,607","6,027",157
2021년07월_계_60~69세,"39,631","1,294","2,183","2,528","1,958","1,793","2,778","2,521","2,650","2,005","3,445",553,"1,943","5,246","3,039","5,469",226
2021년07월_계_70~79세,"21,702",771,"1,047","1,470","1,028","1,223","1,455","1,178","1,542","1,165","2,041",324,"1,223","2,976","1,475","2,673",111
2021년07월_계_80~89세,"9,109",340,375,563,354,487,654,591,528,513,895,161,527,"1,258",641,"1,172",50
2021년07월_계_90~99세,"1,178",32,35,52,36,55,90,84,57,66,158,21,64,155,74,188,11
2021년07월_계_100세 이상,65,12,1,9,4,1,2,3,4,1,9,1,2,3,2,10,1
2021년07월_남_총인구수,"112,049","2,823","4,661","5,672","4,221","4,046","8,135","7,663","6,245","9,279","13,031","1,254","4,816","14,227","9,435","16,035",506
2021년07월_남_연령구간인구수,"112,049","2,823","4,661","5,672","4,221","4,046","8,135","7,663","6,245","9,279","13,031","1,254","4,816","14,227","9,435","16,035",506
2021년07월_남_0~9세,"6,424",51,150,171,145,159,467,576,263,397,"1,384",39,256,591,677,"1,068",30
2021년07월_남_10~19세,"8,887",137,233,262,176,214,737,662,430,599,"1,361",56,361,996,938,"1,663",62
2021년07월_남_20~29세,"17,550",290,598,693,449,467,"1,291","1,154",827,"3,347","1,710",115,599,"2,384","1,309","2,271",46
2021년07월_남_30~39세,"12,780",274,493,623,437,440,932,999,736,"1,103","1,744",128,470,"1,604","1,094","1,668",35
