카테고리,강원도 평창군,강원도 평창군 평창읍,강원도 평창군 미탄면,강원도 평창군 방림면,강원도 평창군 방림면계촌출장소,강원도 평창군 대화면,강원도 평창군 봉평면,강원도 평창군 용평면,강원도 평창군 진부면,강원도 평창군 대관령면
2020년07월_계_총인구수,"41,709","8,583","1,662",872,"1,631","5,331","5,700","3,129","8,803","5,998"
2020년07월_계_연령구간인구수,"41,709","8,583","1,662",872,"1,631","5,331","5,700","3,129","8,803","5,998"
2020년07월_계_0~9세,"1,945",437,42,26,48,233,287,131,437,304
2020년07월_계_10~19세,"2,956",720,79,44,69,341,441,217,678,367
2020년07월_계_20~29세,"3,385",777,106,50,92,404,418,210,743,585
2020년07월_계_30~39세,"3,217",711,70,40,88,345,497,178,647,641
2020년07월_계_40~49세,"5,396","1,108",191,76,147,652,775,399,"1,141",907
2020년07월_계_50~59세,"8,150","1,602",360,182,366,990,"1,166",675,"1,681","1,128"
2020년07월_계_60~69세,"8,622","1,666",412,234,454,"1,190","1,172",683,"1,751","1,060"
2020년07월_계_70~79세,"5,046",923,260,138,236,707,619,370,"1,122",671
2020년07월_계_80~89세,"2,601",556,116,72,112,407,298,238,506,296
2020년07월_계_90~99세,349,75,26,9,18,57,27,27,78,32
2020년07월_계_100세 이상,42,8,0,1,1,5,0,1,19,7
2020년07월_남_총인구수,"21,331","4,349",879,454,860,"2,696","2,991","1,564","4,420","3,118"
2020년07월_남_연령구간인구수,"21,331","4,349",879,454,860,"2,696","2,991","1,564","4,420","3,118"
2020년07월_남_0~9세,963,220,19,18,22,112,131,62,231,148
2020년07월_남_10~19세,"1,564",365,44,25,30,176,249,115,351,209
2020년07월_남_20~29세,"1,957",438,64,34,56,233,245,117,420,350
2020년07월_남_30~39세,"1,744",376,43,17,49,186,268,88,340,377
2020년07월_남_40~49세,"2,952",585,120,39,81,372,425,216,606,508
2020년07월_남_50~59세,"4,343",859,196,95,200,519,616,361,886,611
2020년07월_남_60~69세,"4,463",862,236,132,260,616,622,349,884,502
2020년07월_남_70~79세,"2,335",441,118,59,120,320,318,163,512,284
2020년07월_남_80~89세,923,188,36,34,40,145,111,84,169,116
2020년07월_남_90~99세,75,13,3,0,2,16,6,8,16,11
2020년07월_남_100세 이상,12,2,0,1,0,1,0,1,5,2
2020년07월_여_총인구수,"20,378","4,234",783,418,771,"2,635","2,709","1,565","4,383","2,880"
2020년07월_여_연령구간인구수,"20,378","4,234",783,418,771,"2,635","2,709","1,565","4,383","2,880"
2020년07월_여_0~9세,982,217,23,8,26,121,156,69,206,156
2020년07월_여_10~19세,"1,392",355,35,19,39,165,192,102,327,158
2020년07월_여_20~29세,"1,428",339,42,16,36,171,173,93,323,235
2020년07월_여_30~39세,"1,473",335,27,23,39,159,229,90,307,264
2020년07월_여_40~49세,"2,444",523,71,37,66,280,350,183,535,399
2020년07월_여_50~59세,"3,807",743,164,87,166,471,550,314,795,517
2020년07월_여_60~69세,"4,159",804,176,102,194,574,550,334,867,558
2020년07월_여_70~79세,"2,711",482,142,79,116,387,301,207,610,387
2020년07월_여_80~89세,"1,678",368,80,38,72,262,187,154,337,180
2020년07월_여_90~99세,274,62,23,9,16,41,21,19,62,21
2020년07월_여_100세 이상,30,6,0,0,1,4,0,0,14,5
