카테고리,전라북도 완주군,전라북도 완주군 삼례읍,전라북도 완주군 봉동읍,전라북도 완주군 용진읍,전라북도 완주군 상관면,전라북도 완주군 이서면,전라북도 완주군 소양면,전라북도 완주군 구이면,전라북도 완주군 고산면,전라북도 완주군 비봉면,전라북도 완주군 운주면,전라북도 완주군 화산면,전라북도 완주군 동상면,전라북도 완주군 경천면
2021년08월_계_총인구수,"91,223","14,276","26,326","7,030","4,354","14,262","6,044","5,762","4,613","1,874","1,940","2,682","1,089",971
2021년08월_계_연령구간인구수,"91,223","14,276","26,326","7,030","4,354","14,262","6,044","5,762","4,613","1,874","1,940","2,682","1,089",971
2021년08월_계_0~9세,"6,492",679,"2,763",351,268,"1,601",207,178,217,54,52,71,32,19
2021년08월_계_10~19세,"8,173","1,132","3,402",484,368,"1,355",337,367,270,101,63,211,43,40
2021년08월_계_20~29세,"8,843","1,766","2,766",674,386,"1,343",508,530,352,121,84,195,74,44
2021년08월_계_30~39세,"8,977","1,181","3,303",536,314,"2,154",400,353,337,94,87,119,58,41
2021년08월_계_40~49세,"13,305","1,988","4,816",886,620,"2,504",572,575,524,188,181,288,83,80
2021년08월_계_50~59세,"15,180","2,447","3,749","1,312",795,"2,159","1,175","1,184",819,323,365,439,245,168
2021년08월_계_60~69세,"14,633","2,425","2,803","1,350",785,"1,639","1,400","1,283",901,416,494,576,309,252
2021년08월_계_70~79세,"9,311","1,550","1,672",865,517,976,850,766,683,316,363,434,136,183
2021년08월_계_80~89세,"5,437",962,897,493,257,463,517,460,436,213,223,291,95,130
2021년08월_계_90~99세,843,143,151,75,42,65,74,64,73,47,27,55,14,13
2021년08월_계_100세 이상,29,3,4,4,2,3,4,2,1,1,1,3,0,1
2021년08월_남_총인구수,"46,887","7,367","13,724","3,640","2,232","7,164","3,129","2,888","2,353",962,975,"1,407",552,494
2021년08월_남_연령구간인구수,"46,887","7,367","13,724","3,640","2,232","7,164","3,129","2,888","2,353",962,975,"1,407",552,494
2021년08월_남_0~9세,"3,219",335,"1,410",165,137,784,99,79,99,28,24,34,17,8
2021년08월_남_10~19세,"4,285",561,"1,792",263,187,687,184,187,165,55,40,122,21,21
2021년08월_남_20~29세,"4,968",975,"1,599",396,224,683,292,286,217,66,43,114,42,31
2021년08월_남_30~39세,"4,654",691,"1,665",278,161,"1,058",229,177,179,50,56,63,23,24
2021년08월_남_40~49세,"7,301","1,096","2,593",495,332,"1,342",338,304,311,112,108,165,55,50
2021년08월_남_50~59세,"8,472","1,423","2,108",761,443,"1,143",639,628,447,186,202,274,127,91
2021년08월_남_60~69세,"7,624","1,231","1,436",699,402,844,725,704,474,227,259,316,175,132
2021년08월_남_70~79세,"4,341",697,785,391,243,452,427,370,305,155,158,213,66,79
2021년08월_남_80~89세,"1,830",327,300,170,97,152,178,143,138,75,81,94,21,54
2021년08월_남_90~99세,187,29,34,22,6,19,17,10,17,8,4,12,5,4
2021년08월_남_100세 이상,6,2,2,0,0,0,1,0,1,0,0,0,0,0
2021년08월_여_총인구수,"44,336","6,909","12,602","3,390","2,122","7,098","2,915","2,874","2,260",912,965,"1,275",537,477
2021년08월_여_연령구간인구수,"44,336","6,909","12,602","3,390","2,122","7,098","2,915","2,874","2,260",912,965,"1,275",537,477
2021년08월_여_0~9세,"3,273",344,"1,353",186,131,817,108,99,118,26,28,37,15,11
2021년08월_여_10~19세,"3,888",571,"1,610",221,181,668,153,180,105,46,23,89,22,19
2021년08월_여_20~29세,"3,875",791,"1,167",278,162,660,216,244,135,55,41,81,32,13
2021년08월_여_30~39세,"4,323",490,"1,638",258,153,"1,096",171,176,158,44,31,56,35,17
2021년08월_여_40~49세,"6,004",892,"2,223",391,288,"1,162",234,271,213,76,73,123,28,30
2021년08월_여_50~59세,"6,708","1,024","1,641",551,352,"1,016",536,556,372,137,163,165,118,77
2021년08월_여_60~69세,"7,009","1,194","1,367",651,383,795,675,579,427,189,235,260,134,120
2021년08월_여_70~79세,"4,970",853,887,474,274,524,423,396,378,161,205,221,70,104
2021년08월_여_80~89세,"3,607",635,597,323,160,311,339,317,298,138,142,197,74,76
2021년08월_여_90~99세,656,114,117,53,36,46,57,54,56,39,23,43,9,9
2021년08월_여_100세 이상,23,1,2,4,2,3,3,2,0,1,1,3,0,1
