,강원도 정선군,강원도 정선군 정선읍,강원도 정선군 고한읍,강원도 정선군 사북읍,강원도 정선군 신동읍,강원도 정선군 신동읍함백출장소,강원도 정선군 남면,강원도 정선군 북평면,강원도 정선군 임계면,강원도 정선군 화암면,강원도 정선군 여량면
2021년02월_계_총인구수,"36,704","10,678","4,725","4,775","1,847","1,669","3,260","2,534","3,515","1,680","2,021"
2021년02월_계_연령구간인구수,"36,704","10,678","4,725","4,775","1,847","1,669","3,260","2,534","3,515","1,680","2,021"
2021년02월_계_0~9세,"1,714",629,264,292,69,39,141,95,99,40,46
2021년02월_계_10~19세,"2,526","1,013",228,367,124,105,180,165,153,92,99
2021년02월_계_20~29세,"2,765",991,336,404,115,114,209,177,191,111,117
2021년02월_계_30~39세,"3,028",913,713,450,95,98,290,139,168,66,96
2021년02월_계_40~49세,"4,907","1,656",726,743,214,165,435,286,312,175,195
2021년02월_계_50~59세,"6,944","1,914",773,914,363,338,641,489,743,383,386
2021년02월_계_60~69세,"7,630","1,808",872,932,428,372,795,562,882,429,550
2021년02월_계_70~79세,"4,530","1,095",555,475,278,273,369,354,558,244,329
2021년02월_계_80~89세,"2,258",540,217,177,146,131,176,222,356,117,176
2021년02월_계_90~99세,352,104,31,15,15,23,22,43,51,22,26
2021년02월_계_100세 이상,50,15,10,6,0,11,2,2,2,1,1
2021년02월_남_총인구수,"19,071","5,453","2,480","2,510",949,831,"1,737","1,280","1,867",902,"1,062"
2021년02월_남_연령구간인구수,"19,071","5,453","2,480","2,510",949,831,"1,737","1,280","1,867",902,"1,062"
2021년02월_남_0~9세,879,330,131,150,35,15,72,49,47,22,28
2021년02월_남_10~19세,"1,310",533,104,187,63,56,93,82,85,52,55
2021년02월_남_20~29세,"1,582",575,181,234,65,65,121,109,103,68,61
2021년02월_남_30~39세,"1,696",472,419,235,54,61,179,78,106,36,56
2021년02월_남_40~49세,"2,851",874,448,417,131,103,268,163,204,108,135
2021년02월_남_50~59세,"3,820","1,031",425,520,197,188,340,272,417,230,200
2021년02월_남_60~69세,"4,004",953,412,476,239,185,431,280,491,234,303
2021년02월_남_70~79세,"2,034",485,252,215,108,106,170,159,268,112,159
2021년02월_남_80~89세,796,178,92,70,53,39,57,77,133,38,59
2021년02월_남_90~99세,78,18,12,2,4,6,5,10,13,2,6
2021년02월_남_100세 이상,21,4,4,4,0,7,1,1,0,0,0
2021년02월_여_총인구수,"17,633","5,225","2,245","2,265",898,838,"1,523","1,254","1,648",778,959
2021년02월_여_연령구간인구수,"17,633","5,225","2,245","2,265",898,838,"1,523","1,254","1,648",778,959
2021년02월_여_0~9세,835,299,133,142,34,24,69,46,52,18,18
2021년02월_여_10~19세,"1,216",480,124,180,61,49,87,83,68,40,44
2021년02월_여_20~29세,"1,183",416,155,170,50,49,88,68,88,43,56
2021년02월_여_30~39세,"1,332",441,294,215,41,37,111,61,62,30,40
2021년02월_여_40~49세,"2,056",782,278,326,83,62,167,123,108,67,60
2021년02월_여_50~59세,"3,124",883,348,394,166,150,301,217,326,153,186
2021년02월_여_60~69세,"3,626",855,460,456,189,187,364,282,391,195,247
2021년02월_여_70~79세,"2,496",610,303,260,170,167,199,195,290,132,170
2021년02월_여_80~89세,"1,462",362,125,107,93,92,119,145,223,79,117
2021년02월_여_90~99세,274,86,19,13,11,17,17,33,38,20,20
2021년02월_여_100세 이상,29,11,6,2,0,4,1,1,2,1,1
