,전라남도 함평군,전라남도 함평군 함평읍,전라남도 함평군 손불면,전라남도 함평군 신광면,전라남도 함평군 학교면,전라남도 함평군 엄다면,전라남도 함평군 대동면,전라남도 함평군 나산면,전라남도 함평군 해보면,전라남도 함평군 월야면
2021년01월_계_총인구수,"31,992","8,389","3,399","1,853","3,870","1,919","3,115","2,868","2,861","3,718"
2021년01월_계_연령구간인구수,"31,992","8,389","3,399","1,853","3,870","1,919","3,115","2,868","2,861","3,718"
2021년01월_계_0~9세,"1,355",532,132,62,134,49,95,101,98,152
2021년01월_계_10~19세,"2,046",764,184,68,227,84,225,137,128,229
2021년01월_계_20~29세,"2,496",778,189,128,265,134,257,199,255,291
2021년01월_계_30~39세,"2,097",698,175,111,228,105,193,177,188,222
2021년01월_계_40~49세,"3,485","1,137",354,178,376,170,289,257,312,412
2021년01월_계_50~59세,"5,499","1,361",581,290,659,362,579,498,526,643
2021년01월_계_60~69세,"5,934","1,283",654,420,782,370,552,640,570,663
2021년01월_계_70~79세,"5,139","1,053",661,320,661,344,518,472,444,666
2021년01월_계_80~89세,"3,421",676,424,235,467,260,356,334,286,383
2021년01월_계_90~99세,493,101,45,39,68,39,49,51,47,54
2021년01월_계_100세 이상,27,6,0,2,3,2,2,2,7,3
2021년01월_남_총인구수,"16,056","4,140","1,690",923,"1,925",930,"1,602","1,421","1,468","1,957"
2021년01월_남_연령구간인구수,"16,056","4,140","1,690",923,"1,925",930,"1,602","1,421","1,468","1,957"
2021년01월_남_0~9세,706,269,55,35,76,19,51,56,54,91
2021년01월_남_10~19세,"1,085",419,94,36,113,45,124,66,63,125
2021년01월_남_20~29세,"1,490",434,115,66,166,88,166,118,156,181
2021년01월_남_30~39세,"1,121",345,90,66,124,59,116,99,97,125
2021년01월_남_40~49세,"2,067",612,237,118,230,98,162,148,182,280
2021년01월_남_50~59세,"3,209",753,342,158,375,211,358,296,315,401
2021년01월_남_60~69세,"3,090",638,340,213,420,198,275,349,304,353
2021년01월_남_70~79세,"2,152",442,268,147,272,130,232,192,193,276
2021년01월_남_80~89세,"1,020",204,139,74,134,72,110,91,88,108
2021년01월_남_90~99세,114,22,10,10,15,10,8,6,16,17
2021년01월_남_100세 이상,2,2,0,0,0,0,0,0,0,0
2021년01월_여_총인구수,"15,936","4,249","1,709",930,"1,945",989,"1,513","1,447","1,393","1,761"
2021년01월_여_연령구간인구수,"15,936","4,249","1,709",930,"1,945",989,"1,513","1,447","1,393","1,761"
2021년01월_여_0~9세,649,263,77,27,58,30,44,45,44,61
2021년01월_여_10~19세,961,345,90,32,114,39,101,71,65,104
2021년01월_여_20~29세,"1,006",344,74,62,99,46,91,81,99,110
2021년01월_여_30~39세,976,353,85,45,104,46,77,78,91,97
2021년01월_여_40~49세,"1,418",525,117,60,146,72,127,109,130,132
2021년01월_여_50~59세,"2,290",608,239,132,284,151,221,202,211,242
2021년01월_여_60~69세,"2,844",645,314,207,362,172,277,291,266,310
2021년01월_여_70~79세,"2,987",611,393,173,389,214,286,280,251,390
2021년01월_여_80~89세,"2,401",472,285,161,333,188,246,243,198,275
2021년01월_여_90~99세,379,79,35,29,53,29,41,45,31,37
2021년01월_여_100세 이상,25,4,0,2,3,2,2,2,7,3
