카테고리,강원도 평창군,강원도 평창군 평창읍,강원도 평창군 미탄면,강원도 평창군 방림면,강원도 평창군 방림면계촌출장소,강원도 평창군 대화면,강원도 평창군 봉평면,강원도 평창군 용평면,강원도 평창군 진부면,강원도 평창군 대관령면
2020년12월_계_총인구수,"41,681","8,572","1,661",866,"1,662","5,316","5,731","3,098","8,772","6,003"
2020년12월_계_연령구간인구수,"41,681","8,572","1,661",866,"1,662","5,316","5,731","3,098","8,772","6,003"
2020년12월_계_0~9세,"1,868",419,35,22,52,221,282,120,418,299
2020년12월_계_10~19세,"2,907",729,78,40,68,327,431,204,665,365
2020년12월_계_20~29세,"3,415",782,112,50,96,401,424,211,748,591
2020년12월_계_30~39세,"3,098",674,65,40,90,323,469,159,636,642
2020년12월_계_40~49세,"5,341","1,090",191,74,145,642,776,393,"1,132",898
2020년12월_계_50~59세,"8,080","1,605",348,178,358,"1,006","1,149",670,"1,642","1,124"
2020년12월_계_60~69세,"8,876","1,705",428,239,472,"1,218","1,243",699,"1,784","1,088"
2020년12월_계_70~79세,"4,988",918,252,141,246,684,618,363,"1,116",650
2020년12월_계_80~89세,"2,701",558,127,71,112,431,310,248,535,309
2020년12월_계_90~99세,365,85,25,10,22,57,27,30,79,30
2020년12월_계_100세 이상,42,7,0,1,1,6,2,1,17,7
2020년12월_남_총인구수,"21,321","4,342",882,452,871,"2,694","2,995","1,554","4,409","3,122"
2020년12월_남_연령구간인구수,"21,321","4,342",882,452,871,"2,694","2,995","1,554","4,409","3,122"
2020년12월_남_0~9세,920,210,18,15,24,104,130,53,222,144
2020년12월_남_10~19세,"1,537",367,44,22,33,166,240,110,340,215
2020년12월_남_20~29세,"1,992",447,68,37,53,236,251,119,432,349
2020년12월_남_30~39세,"1,664",354,40,18,52,173,253,80,328,366
2020년12월_남_40~49세,"2,910",571,119,41,80,363,419,216,595,506
2020년12월_남_50~59세,"4,323",864,190,87,194,531,614,359,872,612
2020년12월_남_60~69세,"4,603",876,244,137,264,641,651,360,908,522
2020년12월_남_70~79세,"2,327",446,117,60,128,303,318,163,518,274
2020년12월_남_80~89세,959,193,39,34,41,161,113,85,171,122
2020년12월_남_90~99세,75,13,3,0,2,15,6,8,18,10
2020년12월_남_100세 이상,11,1,0,1,0,1,0,1,5,2
2020년12월_여_총인구수,"20,360","4,230",779,414,791,"2,622","2,736","1,544","4,363","2,881"
2020년12월_여_연령구간인구수,"20,360","4,230",779,414,791,"2,622","2,736","1,544","4,363","2,881"
2020년12월_여_0~9세,948,209,17,7,28,117,152,67,196,155
2020년12월_여_10~19세,"1,370",362,34,18,35,161,191,94,325,150
2020년12월_여_20~29세,"1,423",335,44,13,43,165,173,92,316,242
2020년12월_여_30~39세,"1,434",320,25,22,38,150,216,79,308,276
2020년12월_여_40~49세,"2,431",519,72,33,65,279,357,177,537,392
2020년12월_여_50~59세,"3,757",741,158,91,164,475,535,311,770,512
2020년12월_여_60~69세,"4,273",829,184,102,208,577,592,339,876,566
2020년12월_여_70~79세,"2,661",472,135,81,118,381,300,200,598,376
2020년12월_여_80~89세,"1,742",365,88,37,71,270,197,163,364,187
2020년12월_여_90~99세,290,72,22,10,20,42,21,22,61,20
2020년12월_여_100세 이상,31,6,0,0,1,5,2,0,12,5
