카테고리,경상북도 영천시,경상북도 영천시 금호읍,경상북도 영천시 청통면,경상북도 영천시 신녕면,경상북도 영천시 화산면,경상북도 영천시 화북면,경상북도 영천시 화남면,경상북도 영천시 자양면,경상북도 영천시 임고면,경상북도 영천시 고경면,경상북도 영천시 북안면,경상북도 영천시 대창면,경상북도 영천시 동부동,경상북도 영천시 중앙동,경상북도 영천시 서부동,경상북도 영천시 완산동,경상북도 영천시 남부동
2021년03월_계_총인구수,"102,383","11,020","4,135","3,871","3,240","2,215","3,207","1,215","4,246","5,957","4,477","3,104","29,067","9,923","4,827","7,692","4,187"
2021년03월_계_연령구간인구수,"102,383","11,020","4,135","3,871","3,240","2,215","3,207","1,215","4,246","5,957","4,477","3,104","29,067","9,923","4,827","7,692","4,187"
2021년03월_계_0~9세,"5,669",399,112,103,65,64,72,11,118,253,78,84,"2,476",756,161,671,246
2021년03월_계_10~19세,"6,760",489,135,208,92,92,137,36,148,225,130,83,"2,921",955,281,635,193
2021년03월_계_20~29세,"10,162",956,291,225,182,110,174,78,264,982,272,211,"3,435","1,276",501,804,401
2021년03월_계_30~39세,"9,380",771,289,207,181,95,160,44,221,453,241,200,"3,551","1,141",390,995,441
2021년03월_계_40~49세,"12,597","1,262",357,337,270,166,239,70,371,508,402,251,"4,668","1,494",542,"1,171",489
2021년03월_계_50~59세,"18,234","2,262",745,653,576,394,598,265,716,862,772,568,"5,194","1,712",878,"1,239",800
2021년03월_계_60~69세,"19,039","2,341","1,044",954,786,579,837,308,"1,000","1,151","1,129",859,"3,883","1,330",987,"1,090",761
2021년03월_계_70~79세,"12,662","1,614",728,708,626,381,604,225,861,918,853,506,"1,868",825,702,722,521
2021년03월_계_80~89세,"7,043",836,387,420,415,291,340,157,486,547,532,302,966,389,348,337,290
2021년03월_계_90~99세,813,87,46,54,47,42,43,20,61,57,65,39,100,44,36,27,45
2021년03월_계_100세 이상,24,3,1,2,0,1,3,1,0,1,3,1,5,1,1,1,0
2021년03월_남_총인구수,"52,119","5,777","2,141","1,892","1,685","1,097","1,676",601,"2,150","3,310","2,301","1,642","14,351","4,989","2,405","3,831","2,271"
2021년03월_남_연령구간인구수,"52,119","5,777","2,141","1,892","1,685","1,097","1,676",601,"2,150","3,310","2,301","1,642","14,351","4,989","2,405","3,831","2,271"
2021년03월_남_0~9세,"2,876",203,60,60,37,40,36,5,62,130,35,42,"1,239",397,79,318,133
2021년03월_남_10~19세,"3,650",297,75,102,54,50,101,18,78,122,66,39,"1,568",477,143,357,103
2021년03월_남_20~29세,"6,096",552,175,142,132,63,110,44,159,793,162,122,"1,950",715,277,445,255
2021년03월_남_30~39세,"5,092",434,181,120,103,56,99,27,120,260,146,126,"1,848",591,220,501,260
2021년03월_남_40~49세,"6,915",737,226,187,163,100,155,44,229,317,239,169,"2,324",799,311,610,305
2021년03월_남_50~59세,"9,734","1,309",402,368,344,208,334,133,403,459,439,344,"2,561",840,482,631,477
2021년03월_남_60~69세,"9,585","1,191",532,465,430,308,439,175,497,612,602,454,"1,799",679,476,531,395
2021년03월_남_70~79세,"5,676",744,357,302,283,173,281,96,392,428,420,232,781,351,298,302,236
2021년03월_남_80~89세,"2,297",287,124,138,126,93,109,54,188,174,180,103,258,133,109,126,95
2021년03월_남_90~99세,194,22,9,7,13,6,12,5,22,15,11,10,23,7,10,10,12
2021년03월_남_100세 이상,4,1,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0
2021년03월_여_총인구수,"50,264","5,243","1,994","1,979","1,555","1,118","1,531",614,"2,096","2,647","2,176","1,462","14,716","4,934","2,422","3,861","1,916"
2021년03월_여_연령구간인구수,"50,264","5,243","1,994","1,979","1,555","1,118","1,531",614,"2,096","2,647","2,176","1,462","14,716","4,934","2,422","3,861","1,916"
2021년03월_여_0~9세,"2,793",196,52,43,28,24,36,6,56,123,43,42,"1,237",359,82,353,113
2021년03월_여_10~19세,"3,110",192,60,106,38,42,36,18,70,103,64,44,"1,353",478,138,278,90
2021년03월_여_20~29세,"4,066",404,116,83,50,47,64,34,105,189,110,89,"1,485",561,224,359,146
2021년03월_여_30~39세,"4,288",337,108,87,78,39,61,17,101,193,95,74,"1,703",550,170,494,181
2021년03월_여_40~49세,"5,682",525,131,150,107,66,84,26,142,191,163,82,"2,344",695,231,561,184
2021년03월_여_50~59세,"8,500",953,343,285,232,186,264,132,313,403,333,224,"2,633",872,396,608,323
2021년03월_여_60~69세,"9,454","1,150",512,489,356,271,398,133,503,539,527,405,"2,084",651,511,559,366
2021년03월_여_70~79세,"6,986",870,371,406,343,208,323,129,469,490,433,274,"1,087",474,404,420,285
2021년03월_여_80~89세,"4,746",549,263,282,289,198,231,103,298,373,352,199,708,256,239,211,195
2021년03월_여_90~99세,619,65,37,47,34,36,31,15,39,42,54,29,77,37,26,17,33
2021년03월_여_100세 이상,20,2,1,1,0,1,3,1,0,1,2,0,5,1,1,1,0
