카테고리,강원도 정선군,강원도 정선군 정선읍,강원도 정선군 고한읍,강원도 정선군 사북읍,강원도 정선군 신동읍,강원도 정선군 신동읍함백출장소,강원도 정선군 남면,강원도 정선군 북평면,강원도 정선군 임계면,강원도 정선군 화암면,강원도 정선군 여량면
2020년01월_계_총인구수,"37,194","10,835","4,715","4,904","1,873","1,716","3,267","2,585","3,567","1,675","2,057"
2020년01월_계_연령구간인구수,"37,194","10,835","4,715","4,904","1,873","1,716","3,267","2,585","3,567","1,675","2,057"
2020년01월_계_0~9세,"1,870",690,255,320,77,50,160,104,116,40,58
2020년01월_계_10~19세,"2,690","1,058",244,414,125,119,191,174,167,97,101
2020년01월_계_20~29세,"2,921","1,023",357,424,132,121,230,173,208,116,137
2020년01월_계_30~39세,"3,365","1,002",739,547,111,109,328,156,192,74,107
2020년01월_계_40~49세,"5,069","1,696",720,766,228,194,422,314,340,173,216
2020년01월_계_50~59세,"7,265","1,969",790,936,398,343,683,531,791,401,423
2020년01월_계_60~69세,"7,001","1,681",848,842,379,343,703,528,801,384,492
2020년01월_계_70~79세,"4,555","1,110",539,472,280,278,375,353,571,243,334
2020년01월_계_80~89세,"2,077",499,186,164,128,123,147,207,332,128,163
2020년01월_계_90~99세,336,94,28,14,15,26,27,43,46,18,25
2020년01월_계_100세 이상,45,13,9,5,0,10,1,2,3,1,1
2020년01월_남_총인구수,"19,320","5,502","2,477","2,593",958,852,"1,747","1,303","1,897",905,"1,086"
2020년01월_남_연령구간인구수,"19,320","5,502","2,477","2,593",958,852,"1,747","1,303","1,897",905,"1,086"
2020년01월_남_0~9세,972,361,118,172,33,23,90,51,58,27,39
2020년01월_남_10~19세,"1,394",553,120,229,59,62,94,83,94,48,52
2020년01월_남_20~29세,"1,661",580,188,236,78,67,140,108,118,73,73
2020년01월_남_30~39세,"1,897",521,423,296,64,64,209,88,119,45,68
2020년01월_남_40~49세,"2,950",899,453,426,145,120,257,177,223,112,138
2020년01월_남_50~59세,"3,933","1,046",438,514,215,192,344,284,436,239,225
2020년01월_남_60~69세,"3,657",868,398,433,207,166,380,279,445,208,273
2020년01월_남_70~79세,"2,057",487,256,219,107,114,181,155,267,112,159
2020년01월_남_80~89세,701,166,69,63,46,30,46,64,126,39,52
2020년01월_남_90~99세,78,17,11,1,4,8,5,12,11,2,7
2020년01월_남_100세 이상,20,4,3,4,0,6,1,2,0,0,0
2020년01월_여_총인구수,"17,874","5,333","2,238","2,311",915,864,"1,520","1,282","1,670",770,971
2020년01월_여_연령구간인구수,"17,874","5,333","2,238","2,311",915,864,"1,520","1,282","1,670",770,971
2020년01월_여_0~9세,898,329,137,148,44,27,70,53,58,13,19
2020년01월_여_10~19세,"1,296",505,124,185,66,57,97,91,73,49,49
2020년01월_여_20~29세,"1,260",443,169,188,54,54,90,65,90,43,64
2020년01월_여_30~39세,"1,468",481,316,251,47,45,119,68,73,29,39
2020년01월_여_40~49세,"2,119",797,267,340,83,74,165,137,117,61,78
2020년01월_여_50~59세,"3,332",923,352,422,183,151,339,247,355,162,198
2020년01월_여_60~69세,"3,344",813,450,409,172,177,323,249,356,176,219
2020년01월_여_70~79세,"2,498",623,283,253,173,164,194,198,304,131,175
2020년01월_여_80~89세,"1,376",333,117,101,82,93,101,143,206,89,111
2020년01월_여_90~99세,258,77,17,13,11,18,22,31,35,16,18
2020년01월_여_100세 이상,25,9,6,1,0,4,0,0,3,1,1
