카테고리,대구광역시 달서구,대구광역시 달서구 성당동,대구광역시 달서구 두류1.2동,대구광역시 달서구 두류3동,대구광역시 달서구 감삼동,대구광역시 달서구 죽전동,대구광역시 달서구 장기동,대구광역시 달서구 용산1동,대구광역시 달서구 용산2동,대구광역시 달서구 이곡1동,대구광역시 달서구 이곡2동,대구광역시 달서구 신당동,대구광역시 달서구 본리동,대구광역시 달서구 월성1동,대구광역시 달서구 월성2동,대구광역시 달서구 진천동,대구광역시 달서구 상인1동,대구광역시 달서구 상인2동,대구광역시 달서구 상인3동,대구광역시 달서구 도원동,대구광역시 달서구 송현1동,대구광역시 달서구 송현2동,대구광역시 달서구 본동
2021년05월_계_총인구수,"552,192","23,672","14,511","8,393","27,143","13,745","17,461","31,321","29,168","23,390","16,661","32,051","21,857","43,548","16,269","76,428","38,411","20,080","11,310","36,034","19,511","18,337","12,891"
2021년05월_계_연령구간인구수,"552,192","23,672","14,511","8,393","27,143","13,745","17,461","31,321","29,168","23,390","16,661","32,051","21,857","43,548","16,269","76,428","38,411","20,080","11,310","36,034","19,511","18,337","12,891"
2021년05월_계_0~9세,"38,595","1,570",560,371,"2,020",613,"1,301","1,931","1,752","1,274",864,"1,361","2,152","4,906",570,"8,667","2,865","1,107",331,"2,214",823,721,622
2021년05월_계_10~19세,"53,891","2,018",693,552,"2,252",928,"1,615","3,465","2,861","2,416","1,345","2,353","2,191","8,312","1,115","8,321","4,608","1,424",573,"3,448","1,260","1,203",938
2021년05월_계_20~29세,"77,616","2,818","2,341","1,268","4,108","2,286","2,455","4,919","4,660","4,055","2,524","6,884","2,561","4,264","1,757","9,043","5,186","3,415","1,186","4,936","2,847","2,459","1,644"
2021년05월_계_30~39세,"64,733","2,723","1,840",926,"3,677","1,698","2,227","3,278","3,251","2,534","2,099","3,716","3,025","4,349","1,266","11,001","3,890","2,862","1,007","3,785","2,202","1,917","1,460"
2021년05월_계_40~49세,"87,508","3,524","1,799","1,105","4,000","1,906","2,742","5,101","4,448","3,640","2,303","4,467","4,017","10,615","2,199","13,637","6,228","2,574","1,231","5,070","2,677","2,340","1,885"
2021년05월_계_50~59세,"102,347","4,151","2,549","1,476","5,065","2,706","3,345","6,683","6,478","5,154","3,473","6,383","3,738","6,156","3,012","11,953","7,149","3,814","2,171","7,235","3,755","3,392","2,509"
2021년05월_계_60~69세,"75,788","3,878","2,513","1,381","3,784","2,225","2,300","3,698","3,624","2,670","2,733","3,983","2,657","2,978","3,197","8,424","5,176","3,029","2,698","5,862","3,320","3,454","2,204"
2021년05월_계_70~79세,"34,619","2,071","1,503",865,"1,593",943,"1,043","1,544","1,393","1,090",924,"1,868","1,064","1,341","2,073","3,682","2,135","1,223","1,375","2,242","1,761","1,823","1,063"
2021년05월_계_80~89세,"15,229",837,647,414,573,398,385,639,638,507,356,922,398,541,968,"1,509","1,026",549,641,"1,102",779,911,489
2021년05월_계_90~99세,"1,812",76,60,35,69,41,47,59,62,49,39,113,52,78,110,187,143,81,96,140,84,114,77
2021년05월_계_100세 이상,54,6,6,0,2,1,1,4,1,1,1,1,2,8,2,4,5,2,1,0,3,3,0
2021년05월_남_총인구수,"272,325","11,521","7,045","4,079","13,237","6,790","8,599","15,716","14,697","11,753","8,442","16,493","10,837","21,359","7,813","37,545","18,779","9,942","5,429","17,483","9,641","8,756","6,369"
2021년05월_남_연령구간인구수,"272,325","11,521","7,045","4,079","13,237","6,790","8,599","15,716","14,697","11,753","8,442","16,493","10,837","21,359","7,813","37,545","18,779","9,942","5,429","17,483","9,641","8,756","6,369"
2021년05월_남_0~9세,"19,726",751,291,198,987,297,672,"1,004",918,676,451,721,"1,065","2,497",320,"4,436","1,443",588,167,"1,138",427,362,317
2021년05월_남_10~19세,"27,969",946,349,289,"1,156",493,839,"1,856","1,515","1,236",703,"1,206","1,063","4,230",575,"4,356","2,534",775,312,"1,785",660,597,494
2021년05월_남_20~29세,"41,359","1,445","1,084",643,"2,042","1,189","1,292","2,629","2,556","2,194","1,383","3,719","1,365","2,349",978,"4,812","2,875","1,771",674,"2,681","1,473","1,282",923
2021년05월_남_30~39세,"33,798","1,402",960,483,"1,892",962,"1,156","1,722","1,763","1,369","1,180","2,213","1,553","1,913",702,"5,382","1,921","1,598",571,"1,976","1,217","1,045",818
2021년05월_남_40~49세,"42,497","1,836",997,573,"1,958",947,"1,324","2,366","2,091","1,682","1,138","2,307","2,007","4,855","1,140","6,628","2,797","1,279",653,"2,352","1,396","1,193",978
2021년05월_남_50~59세,"49,448","2,061","1,295",707,"2,398","1,275","1,610","3,299","3,123","2,527","1,624","3,250","1,840","3,319","1,509","5,663","3,347","1,744",998,"3,275","1,797","1,594","1,193"
2021년05월_남_60~69세,"36,454","1,835","1,185",643,"1,821","1,062","1,094","1,854","1,868","1,411","1,390","1,979","1,266","1,392","1,472","4,024","2,494","1,451","1,235","2,847","1,533","1,560","1,038"
