,경상북도 봉화군,경상북도 봉화군 봉화읍,경상북도 봉화군 물야면,경상북도 봉화군 봉성면,경상북도 봉화군 법전면,경상북도 봉화군 춘양면,경상북도 봉화군 소천면,경상북도 봉화군 재산면,경상북도 봉화군 명호면,경상북도 봉화군 상운면,경상북도 봉화군 석포면
2020년06월_계_총인구수,"31,823","10,094","3,174","2,156","2,045","4,461","2,244","1,554","2,275","1,777","2,043"
2020년06월_계_연령구간인구수,"31,823","10,094","3,174","2,156","2,045","4,461","2,244","1,554","2,275","1,777","2,043"
2020년06월_계_0~9세,"1,459",634,100,57,77,190,64,34,60,36,207
2020년06월_계_10~19세,"1,899",889,149,96,83,248,97,75,107,38,117
2020년06월_계_20~29세,"2,091",911,151,139,111,259,109,71,116,97,127
2020년06월_계_30~39세,"2,044",810,166,132,99,257,97,61,103,71,248
2020년06월_계_40~49세,"3,306","1,327",250,180,157,405,208,134,206,138,301
2020년06월_계_50~59세,"5,909","1,802",613,383,372,880,441,340,455,290,333
2020년06월_계_60~69세,"6,642","1,651",765,512,454,958,563,400,541,435,363
2020년06월_계_70~79세,"4,783","1,163",553,361,360,705,380,249,405,390,217
2020년06월_계_80~89세,"3,186",763,373,257,291,468,251,167,248,254,114
2020년06월_계_90~99세,476,138,52,38,39,84,29,22,33,25,16
2020년06월_계_100세 이상,28,6,2,1,2,7,5,1,1,3,0
2020년06월_남_총인구수,"16,024","4,966","1,591","1,053","1,034","2,222","1,127",783,"1,199",914,"1,135"
2020년06월_남_연령구간인구수,"16,024","4,966","1,591","1,053","1,034","2,222","1,127",783,"1,199",914,"1,135"
2020년06월_남_0~9세,757,337,50,31,40,98,35,18,30,18,100
2020년06월_남_10~19세,"1,017",431,91,46,43,144,54,48,68,24,68
2020년06월_남_20~29세,"1,221",510,95,87,65,146,68,36,79,65,70
2020년06월_남_30~39세,"1,111",399,95,74,62,126,47,33,66,43,166
2020년06월_남_40~49세,"1,949",711,143,115,99,248,130,73,133,92,205
2020년06월_남_50~59세,"3,163",950,322,193,211,453,231,181,255,165,202
2020년06월_남_60~69세,"3,455",836,399,262,244,495,303,222,283,217,194
2020년06월_남_70~79세,"2,123",500,253,154,154,313,175,108,191,186,89
2020년06월_남_80~89세,"1,111",273,128,82,104,173,75,56,89,96,35
2020년06월_남_90~99세,112,18,15,8,12,23,9,8,5,8,6
2020년06월_남_100세 이상,5,1,0,1,0,3,0,0,0,0,0
2020년06월_여_총인구수,"15,799","5,128","1,583","1,103","1,011","2,239","1,117",771,"1,076",863,908
2020년06월_여_연령구간인구수,"15,799","5,128","1,583","1,103","1,011","2,239","1,117",771,"1,076",863,908
2020년06월_여_0~9세,702,297,50,26,37,92,29,16,30,18,107
2020년06월_여_10~19세,882,458,58,50,40,104,43,27,39,14,49
2020년06월_여_20~29세,870,401,56,52,46,113,41,35,37,32,57
2020년06월_여_30~39세,933,411,71,58,37,131,50,28,37,28,82
2020년06월_여_40~49세,"1,357",616,107,65,58,157,78,61,73,46,96
2020년06월_여_50~59세,"2,746",852,291,190,161,427,210,159,200,125,131
2020년06월_여_60~69세,"3,187",815,366,250,210,463,260,178,258,218,169
2020년06월_여_70~79세,"2,660",663,300,207,206,392,205,141,214,204,128
2020년06월_여_80~89세,"2,075",490,245,175,187,295,176,111,159,158,79
2020년06월_여_90~99세,364,120,37,30,27,61,20,14,28,17,10
2020년06월_여_100세 이상,23,5,2,0,2,4,5,1,1,3,0
