카테고리,대구광역시 동구,대구광역시 동구 신암1동,대구광역시 동구 신암2동,대구광역시 동구 신암3동,대구광역시 동구 신암4동,대구광역시 동구 신암5동,대구광역시 동구 신천1.2동,대구광역시 동구 신천3동,대구광역시 동구 신천4동,대구광역시 동구 효목1동,대구광역시 동구 효목2동,대구광역시 동구 도평동,대구광역시 동구 불로.봉무동,대구광역시 동구 지저동,대구광역시 동구 동촌동,대구광역시 동구 방촌동,대구광역시 동구 해안동,대구광역시 동구 안심1동,대구광역시 동구 안심2동,대구광역시 동구 안심3동,대구광역시 동구 안심4동,대구광역시 동구 혁신동,대구광역시 동구 공산동
2021년12월_계_총인구수,"341,436","8,574","10,362","11,626","11,477","6,327","12,925","11,702","7,736","13,742","13,254","4,005","21,335","14,472","15,616","18,792","15,104","42,284","11,009","21,493","29,116","18,752","21,733"
2021년12월_계_연령구간인구수,"341,436","8,574","10,362","11,626","11,477","6,327","12,925","11,702","7,736","13,742","13,254","4,005","21,335","14,472","15,616","18,792","15,104","42,284","11,009","21,493","29,116","18,752","21,733"
2021년12월_계_0~9세,"23,998",471,903,"1,279",332,199,695,815,236,457,637,167,"2,096",605,776,844,695,"3,385",598,"2,266","2,336","2,881","1,325"
2021년12월_계_10~19세,"26,205",443,857,731,583,371,863,993,339,766,923,210,"2,320",856,880,"1,279",887,"3,654",612,"2,735","2,903","1,575","1,425"
2021년12월_계_20~29세,"40,513",951,964,"1,193","1,686",739,"1,488","1,473","1,300","1,707","1,665",570,"2,156","1,835","2,100","2,381","1,845","4,968","1,314","2,268","3,712","1,841","2,357"
2021년12월_계_30~39세,"43,183",998,"1,296","2,052","1,327",535,"1,420","1,411","1,186","1,347","1,456",433,"2,570","1,460","1,818","1,780","1,560","5,317","1,304","2,979","3,938","4,376","2,620"
2021년12월_계_40~49세,"50,977","1,086","1,789","1,672","1,481",778,"1,840","1,809",971,"1,606","1,848",436,"3,983","1,730","1,985","2,297","1,889","6,647","1,379","4,219","4,842","3,687","3,003"
2021년12월_계_50~59세,"56,436","1,432","1,543","1,713","2,187","1,192","2,169","2,097","1,270","2,490","2,237",699,"3,264","2,782","2,807","3,614","2,734","6,781","2,118","2,975","4,741","1,766","3,825"
2021년12월_계_60~69세,"53,656","1,500","1,438","1,575","2,103","1,292","2,171","1,647","1,280","2,761","2,371",763,"2,824","2,954","2,842","3,522","2,863","6,513","2,050","2,074","3,805","1,603","3,705"
2021년12월_계_70~79세,"30,763","1,038","1,009",943,"1,219",799,"1,475",916,774,"1,717","1,404",466,"1,451","1,532","1,607","2,011","1,784","3,290","1,115","1,332","1,955",731,"2,195"
2021년12월_계_80~89세,"14,073",585,506,426,495,392,718,489,346,821,625,230,580,653,720,970,758,"1,530",464,581,797,254,"1,133"
2021년12월_계_90~99세,"1,592",70,55,40,62,29,86,50,32,68,85,30,88,63,81,91,86,195,54,63,86,35,143
2021년12월_계_100세 이상,40,0,2,2,2,1,0,2,2,2,3,1,3,2,0,3,3,4,1,1,1,3,2
2021년12월_남_총인구수,"167,888","4,288","4,907","5,710","5,776","2,989","6,131","5,784","3,873","6,835","6,326","2,133","10,479","7,209","7,850","9,055","7,576","20,702","5,521","10,397","14,387","9,283","10,677"
2021년12월_남_연령구간인구수,"167,888","4,288","4,907","5,710","5,776","2,989","6,131","5,784","3,873","6,835","6,326","2,133","10,479","7,209","7,850","9,055","7,576","20,702","5,521","10,397","14,387","9,283","10,677"
2021년12월_남_0~9세,"12,248",242,478,659,177,91,370,427,124,268,304,77,"1,041",306,399,425,347,"1,755",301,"1,136","1,193","1,475",653
2021년12월_남_10~19세,"13,702",258,464,388,314,198,462,573,190,417,464,119,"1,186",445,462,678,489,"1,927",326,"1,344","1,480",786,732
2021년12월_남_20~29세,"21,518",518,504,597,862,417,794,782,610,925,873,381,"1,168","1,015","1,144","1,303","1,017","2,609",720,"1,135","1,983",864,"1,297"
2021년12월_남_30~39세,"22,967",584,639,"1,047",756,290,733,726,663,769,797,266,"1,270",842,"1,038",949,890,"2,780",720,"1,479","2,085","2,243","1,401"
2021년12월_남_40~49세,"26,123",593,904,864,816,404,946,865,568,861,921,245,"1,981",932,"1,067","1,165","1,014","3,374",748,"2,025","2,366","1,963","1,501"
2021년12월_남_50~59세,"27,583",735,742,834,"1,144",562,"1,014","1,043",649,"1,233","1,052",355,"1,595","1,360","1,356","1,673","1,412","3,326","1,029","1,534","2,309",807,"1,819"
