카테고리,인천광역시 부평구,인천광역시 부평구 부평1동,인천광역시 부평구 부평2동,인천광역시 부평구 부평3동,인천광역시 부평구 부평4동,인천광역시 부평구 부평5동,인천광역시 부평구 부평6동,인천광역시 부평구 산곡1동,인천광역시 부평구 산곡2동,인천광역시 부평구 산곡3동,인천광역시 부평구 산곡4동,인천광역시 부평구 청천1동,인천광역시 부평구 청천2동,인천광역시 부평구 갈산1동,인천광역시 부평구 갈산2동,인천광역시 부평구 삼산1동,인천광역시 부평구 삼산2동,인천광역시 부평구 부개1동,인천광역시 부평구 부개2동,인천광역시 부평구 부개3동,인천광역시 부평구 일신동,인천광역시 부평구 십정1동,인천광역시 부평구 십정2동
2020년06월_계_총인구수,"502,365","37,786","17,962","13,294","37,092","33,806","14,242","13,244","32,370","22,815","18,327","7,128","35,078","16,896","19,714","35,006","29,823","17,047","17,784","32,646","13,171","13,110","24,024"
2020년06월_계_연령구간인구수,"502,365","37,786","17,962","13,294","37,092","33,806","14,242","13,244","32,370","22,815","18,327","7,128","35,078","16,896","19,714","35,006","29,823","17,047","17,784","32,646","13,171","13,110","24,024"
2020년06월_계_0~9세,"34,678","2,524","1,011",686,"2,716","2,678",981,601,"2,852","1,326","1,269",355,"2,817",947,"1,303","2,624","2,614",954,"1,208","2,050","1,133",774,"1,255"
2020년06월_계_10~19세,"44,606","2,999","1,369",876,"2,490","2,438",843,"1,039","3,856","2,089","1,842",546,"3,093","1,361","1,549","3,754","4,358","1,194","1,636","3,479","1,091","1,062","1,642"
2020년06월_계_20~29세,"71,637","6,243","2,548","1,731","5,873","5,224","2,088","1,766","4,261","2,957","2,723",911,"4,956","2,609","2,635","4,894","3,818","2,210","2,534","5,032","1,722","1,691","3,211"
2020년06월_계_30~39세,"69,790","6,175","2,602","1,768","6,739","6,345","2,227","1,419","3,966","2,526","2,226",853,"5,226","2,252","2,931","4,182","3,170","2,193","2,319","4,197","1,916","1,512","3,046"
2020년06월_계_40~49세,"78,993","5,819","2,756","1,922","5,718","5,412","2,102","1,849","5,627","3,264","2,894","1,102","5,309","2,498","2,591","5,870","6,043","2,458","2,793","5,469","1,908","1,984","3,605"
2020년06월_계_50~59세,"91,623","6,140","3,220","2,454","6,172","5,473","2,470","2,658","5,832","4,210","3,459","1,517","6,527","3,380","3,679","6,625","5,259","3,078","3,277","6,427","2,264","2,574","4,928"
2020년06월_계_60~69세,"63,993","4,506","2,447","2,075","4,260","3,611","1,988","2,199","3,596","3,416","2,304","1,096","4,298","2,297","2,975","4,002","2,701","2,794","2,302","3,515","1,925","1,977","3,709"
2020년06월_계_70~79세,"31,192","2,181","1,421","1,178","2,131","1,738",993,"1,118","1,614","1,867",997,521,"1,914","1,050","1,313","1,896","1,198","1,537","1,178","1,637",844,"1,055","1,811"
