카테고리,서울특별시 종로구,서울특별시 종로구 청운효자동,서울특별시 종로구 사직동,서울특별시 종로구 삼청동,서울특별시 종로구 부암동,서울특별시 종로구 평창동,서울특별시 종로구 무악동,서울특별시 종로구 교남동,서울특별시 종로구 가회동,서울특별시 종로구 종로1.2.3.4가동,서울특별시 종로구 종로5.6가동,서울특별시 종로구 이화동,서울특별시 종로구 혜화동,서울특별시 종로구 창신제1동,서울특별시 종로구 창신제2동,서울특별시 종로구 창신제3동,서울특별시 종로구 숭인제1동,서울특별시 종로구 숭인제2동
2020년09월_계_총인구수,"149,952","12,479","9,568","2,692","10,008","18,431","8,610","10,506","4,328","7,206","5,350","7,674","16,927","5,165","8,345","6,939","6,106","9,618"
2020년09월_계_연령구간인구수,"149,952","12,479","9,568","2,692","10,008","18,431","8,610","10,506","4,328","7,206","5,350","7,674","16,927","5,165","8,345","6,939","6,106","9,618"
2020년09월_계_0~9세,"7,700",843,583,100,555,"1,195",707,882,207,189,119,250,714,139,247,401,298,271
2020년09월_계_10~19세,"11,186","1,172",702,196,932,"1,656","1,018",861,341,207,256,436,"1,375",242,521,536,375,360
2020년09월_계_20~29세,"23,419","1,609","1,240",337,"1,365","2,460",944,"1,271",490,844,"1,118","1,703","4,479",615,"1,171",955,803,"2,015"
2020년09월_계_30~39세,"20,077","1,701","1,447",366,"1,219","2,241",959,"1,764",585,918,712,"1,247","2,114",533,900,976,844,"1,551"
2020년09월_계_40~49세,"22,394","2,167","1,482",374,"1,618","2,789","1,526","1,844",754,948,610,"1,006","2,315",653,"1,129",972,946,"1,261"
2020년09월_계_50~59세,"25,609","1,981","1,562",430,"1,729","3,288","1,429","1,620",703,"1,361",975,"1,118","2,327","1,149","1,836","1,280","1,146","1,675"
2020년09월_계_60~69세,"19,760","1,382","1,199",413,"1,305","2,478",999,"1,138",581,"1,392",770,934,"1,602","1,012","1,346",982,878,"1,349"
2020년09월_계_70~79세,"12,556","1,012",780,283,800,"1,386",650,734,440,852,538,608,"1,249",550,825,545,545,759
2020년09월_계_80~89세,"5,907",520,464,154,396,757,310,326,179,362,203,312,633,217,307,234,225,308
2020년09월_계_90~99세,"1,073",73,89,33,77,158,49,51,38,92,40,46,97,46,50,47,36,51
2020년09월_계_100세 이상,271,19,20,6,12,23,19,15,10,41,9,14,22,9,13,11,10,18
2020년09월_남_총인구수,"73,024","5,815","4,284","1,296","4,760","8,594","4,021","4,876","1,998","4,329","2,904","3,614","8,183","2,798","4,299","3,392","2,972","4,889"
2020년09월_남_연령구간인구수,"73,024","5,815","4,284","1,296","4,760","8,594","4,021","4,876","1,998","4,329","2,904","3,614","8,183","2,798","4,299","3,392","2,972","4,889"
2020년09월_남_0~9세,"3,896",448,290,47,279,612,320,448,106,100,60,126,348,70,143,209,155,135
2020년09월_남_10~19세,"5,621",616,323,116,499,846,474,411,180,108,133,210,697,127,266,263,173,179
2020년09월_남_20~29세,"11,548",794,568,180,710,"1,255",432,601,226,439,579,796,"2,219",345,634,512,409,849
2020년09월_남_30~39세,"10,003",800,624,175,579,"1,042",436,824,276,520,419,596,"1,124",306,529,470,437,846
2020년09월_남_40~49세,"10,905",965,657,181,748,"1,228",728,876,352,583,355,510,"1,121",336,589,472,498,706
2020년09월_남_50~59세,"12,842",928,696,211,784,"1,481",744,773,324,959,553,544,"1,123",644,972,622,565,919
2020년09월_남_60~69세,"9,801",616,553,188,620,"1,180",461,497,268,888,443,449,765,593,675,485,404,716
2020년09월_남_70~79세,"5,569",405,336,133,356,607,265,298,181,506,255,253,500,276,343,246,227,382
2020년09월_남_80~89세,"2,369",213,196,50,158,295,132,128,74,173,89,108,248,80,125,83,88,129
2020년09월_남_90~99세,377,27,36,14,23,40,15,15,7,41,14,19,30,20,21,21,12,22
2020년09월_남_100세 이상,93,3,5,1,4,8,14,5,4,12,4,3,8,1,2,9,4,6
2020년09월_여_총인구수,"76,928","6,664","5,284","1,396","5,248","9,837","4,589","5,630","2,330","2,877","2,446","4,060","8,744","2,367","4,046","3,547","3,134","4,729"
2020년09월_여_연령구간인구수,"76,928","6,664","5,284","1,396","5,248","9,837","4,589","5,630","2,330","2,877","2,446","4,060","8,744","2,367","4,046","3,547","3,134","4,729"
2020년09월_여_0~9세,"3,804",395,293,53,276,583,387,434,101,89,59,124,366,69,104,192,143,136
2020년09월_여_10~19세,"5,565",556,379,80,433,810,544,450,161,99,123,226,678,115,255,273,202,181
2020년09월_여_20~29세,"11,871",815,672,157,655,"1,205",512,670,264,405,539,907,"2,260",270,537,443,394,"1,166"
2020년09월_여_30~39세,"10,074",901,823,191,640,"1,199",523,940,309,398,293,651,990,227,371,506,407,705
2020년09월_여_40~49세,"11,489","1,202",825,193,870,"1,561",798,968,402,365,255,496,"1,194",317,540,500,448,555
2020년09월_여_50~59세,"12,767","1,053",866,219,945,"1,807",685,847,379,402,422,574,"1,204",505,864,658,581,756
2020년09월_여_60~69세,"9,959",766,646,225,685,"1,298",538,641,313,504,327,485,837,419,671,497,474,633
2020년09월_여_70~79세,"6,987",607,444,150,444,779,385,436,259,346,283,355,749,274,482,299,318,377
2020년09월_여_80~89세,"3,538",307,268,104,238,462,178,198,105,189,114,204,385,137,182,151,137,179
2020년09월_여_90~99세,696,46,53,19,54,118,34,36,31,51,26,27,67,26,29,26,24,29
2020년09월_여_100세 이상,178,16,15,5,8,15,5,10,6,29,5,11,14,8,11,2,6,12
