,대전광역시,대전광역시 동구,대전광역시 중구,대전광역시 서구,대전광역시 유성구,대전광역시 대덕구
2021년07월_계_총인구수,"1,455,300","223,198","232,627","474,653","349,836","174,986"
2021년07월_계_연령구간인구수,"1,455,300","223,198","232,627","474,653","349,836","174,986"
2021년07월_계_0~9세,"110,138","14,688","14,459","36,515","33,750","10,726"
2021년07월_계_10~19세,"143,598","19,766","21,364","48,699","37,640","16,129"
2021년07월_계_20~29세,"210,655","30,134","30,475","73,477","52,293","24,276"
2021년07월_계_30~39세,"190,813","25,603","25,442","64,984","55,037","19,747"
2021년07월_계_40~49세,"233,122","33,884","35,854","76,916","59,986","26,482"
2021년07월_계_50~59세,"239,271","36,232","38,945","76,750","54,100","33,244"
2021년07월_계_60~69세,"187,703","33,944","34,627","57,578","35,633","25,921"
2021년07월_계_70~79세,"91,741","19,051","20,600","26,243","13,663","12,184"
2021년07월_계_80~89세,"42,113","8,729","9,510","11,736","6,603","5,535"
2021년07월_계_90~99세,"5,937","1,128","1,300","1,694","1,102",713
2021년07월_계_100세 이상,209,39,51,61,29,29
2021년07월_남_총인구수,"726,281","112,539","114,663","233,371","176,651","89,057"
2021년07월_남_연령구간인구수,"726,281","112,539","114,663","233,371","176,651","89,057"
2021년07월_남_0~9세,"56,671","7,609","7,410","18,866","17,366","5,420"
2021년07월_남_10~19세,"74,201","10,240","11,019","25,089","19,444","8,409"
2021년07월_남_20~29세,"110,519","15,982","15,551","37,444","28,065","13,477"
2021년07월_남_30~39세,"99,801","13,865","13,091","33,229","28,804","10,812"
2021년07월_남_40~49세,"116,203","17,740","18,160","37,214","29,502","13,587"
2021년07월_남_50~59세,"119,467","18,685","19,704","37,226","26,975","16,877"
2021년07월_남_60~69세,"91,051","16,432","16,530","27,609","17,656","12,824"
2021년07월_남_70~79세,"41,779","8,559","9,245","12,037","6,384","5,554"
2021년07월_남_80~89세,"15,191","3,141","3,635","4,257","2,206","1,952"
2021년07월_남_90~99세,"1,361",275,309,389,245,143
2021년07월_남_100세 이상,37,11,9,11,4,2
2021년07월_여_총인구수,"729,019","110,659","117,964","241,282","173,185","85,929"
2021년07월_여_연령구간인구수,"729,019","110,659","117,964","241,282","173,185","85,929"
2021년07월_여_0~9세,"53,467","7,079","7,049","17,649","16,384","5,306"
2021년07월_여_10~19세,"69,397","9,526","10,345","23,610","18,196","7,720"
2021년07월_여_20~29세,"100,136","14,152","14,924","36,033","24,228","10,799"
2021년07월_여_30~39세,"91,012","11,738","12,351","31,755","26,233","8,935"
2021년07월_여_40~49세,"116,919","16,144","17,694","39,702","30,484","12,895"
2021년07월_여_50~59세,"119,804","17,547","19,241","39,524","27,125","16,367"
2021년07월_여_60~69세,"96,652","17,512","18,097","29,969","17,977","13,097"
2021년07월_여_70~79세,"49,962","10,492","11,355","14,206","7,279","6,630"
2021년07월_여_80~89세,"26,922","5,588","5,875","7,479","4,397","3,583"
2021년07월_여_90~99세,"4,576",853,991,"1,305",857,570
2021년07월_여_100세 이상,172,28,42,50,25,27
