,강원도 화천군,강원도 화천군 화천읍,강원도 화천군 간동면,강원도 화천군 하남면,강원도 화천군 상서면,강원도 화천군 사내면
2021년09월_계_총인구수,"24,313","8,342","2,702","2,820","4,144","6,305"
2021년09월_계_연령구간인구수,"24,313","8,342","2,702","2,820","4,144","6,305"
2021년09월_계_0~9세,"1,753",674,52,131,287,609
2021년09월_계_10~19세,"1,703",746,138,244,148,427
2021년09월_계_20~29세,"3,658","1,149",260,254,"1,072",923
2021년09월_계_30~39세,"2,774",966,128,235,528,917
2021년09월_계_40~49세,"2,621","1,117",216,353,304,631
2021년09월_계_50~59세,"3,767","1,282",585,513,489,898
2021년09월_계_60~69세,"4,093","1,185",657,556,655,"1,040"
2021년09월_계_70~79세,"2,253",718,381,290,360,504
2021년09월_계_80~89세,"1,458",447,235,209,262,305
2021년09월_계_90~99세,223,54,49,33,38,49
2021년09월_계_100세 이상,10,4,1,2,1,2
2021년09월_남_총인구수,"13,193","4,363","1,441","1,473","2,504","3,412"
2021년09월_남_연령구간인구수,"13,193","4,363","1,441","1,473","2,504","3,412"
2021년09월_남_0~9세,894,355,28,68,128,315
2021년09월_남_10~19세,861,383,66,125,73,214
2021년09월_남_20~29세,"2,536",704,192,141,870,629
2021년09월_남_30~39세,"1,647",550,77,120,362,538
2021년09월_남_40~49세,"1,431",586,111,196,184,354
2021년09월_남_50~59세,"2,032",683,331,289,271,458
2021년09월_남_60~69세,"2,216",636,367,307,362,544
2021년09월_남_70~79세,"1,007",301,171,142,156,237
2021년09월_남_80~89세,512,152,83,78,91,108
2021년09월_남_90~99세,53,12,14,6,7,14
2021년09월_남_100세 이상,4,1,1,1,0,1
2021년09월_여_총인구수,"11,120","3,979","1,261","1,347","1,640","2,893"
2021년09월_여_연령구간인구수,"11,120","3,979","1,261","1,347","1,640","2,893"
2021년09월_여_0~9세,859,319,24,63,159,294
2021년09월_여_10~19세,842,363,72,119,75,213
2021년09월_여_20~29세,"1,122",445,68,113,202,294
2021년09월_여_30~39세,"1,127",416,51,115,166,379
2021년09월_여_40~49세,"1,190",531,105,157,120,277
2021년09월_여_50~59세,"1,735",599,254,224,218,440
2021년09월_여_60~69세,"1,877",549,290,249,293,496
2021년09월_여_70~79세,"1,246",417,210,148,204,267
2021년09월_여_80~89세,946,295,152,131,171,197
2021년09월_여_90~99세,170,42,35,27,31,35
2021년09월_여_100세 이상,6,3,0,1,1,1
