,광주광역시 남구,광주광역시 남구 양림동,광주광역시 남구 방림1동,광주광역시 남구 방림2동,광주광역시 남구 봉선1동,광주광역시 남구 봉선2동,광주광역시 남구 사직동,광주광역시 남구 월산동,광주광역시 남구 월산4동,광주광역시 남구 월산5동,광주광역시 남구 백운1동,광주광역시 남구 백운2동,광주광역시 남구 주월1동,광주광역시 남구 주월2동,광주광역시 남구 효덕동,광주광역시 남구 송암동,광주광역시 남구 대촌동
2021년01월_계_총인구수,"214,532","7,325","6,976","9,164","13,935","29,156","5,418","7,453","8,823","6,546","12,493","6,467","19,512","8,338","46,110","20,540","6,276"
2021년01월_계_연령구간인구수,"214,532","7,325","6,976","9,164","13,935","29,156","5,418","7,453","8,823","6,546","12,493","6,467","19,512","8,338","46,110","20,540","6,276"
2021년01월_계_0~9세,"17,219",496,529,479,877,"2,932",287,374,358,247,"1,002",454,"1,352",496,"3,857","3,081",398
2021년01월_계_10~19세,"22,721",751,670,761,"1,337","4,919",278,406,585,361,"1,130",442,"2,025",585,"5,981","2,100",390
2021년01월_계_20~29세,"27,943",827,884,"1,259","1,986","3,354",662,876,"1,198",973,"1,524",967,"2,818","1,137","6,484","2,444",550
2021년01월_계_30~39세,"25,492",701,874,899,"1,602","2,842",657,806,"1,060",730,"1,485",907,"2,237",928,"5,340","3,851",573
2021년01월_계_40~49세,"34,066","1,076","1,109","1,253","2,143","5,607",751,992,"1,193",831,"1,915",904,"3,031","1,119","7,801","3,527",814
2021년01월_계_50~59세,"32,914","1,153","1,009","1,511","2,188","4,301",896,"1,235","1,528","1,191","1,899",941,"3,256","1,446","6,827","2,559",974
2021년01월_계_60~69세,"28,176","1,032",930,"1,421","1,943","2,923",858,"1,188","1,535","1,225","1,868",914,"2,646","1,396","5,305","1,839","1,153"
2021년01월_계_70~79세,"17,498",879,668,"1,051","1,166","1,456",705,"1,079",962,701,"1,119",650,"1,531",883,"3,083",745,820
2021년01월_계_80~89세,"7,277",342,265,449,589,694,276,417,358,251,472,247,537,304,"1,231",320,525
2021년01월_계_90~99세,"1,133",60,31,72,101,125,34,74,44,33,77,32,74,39,193,71,73
2021년01월_계_100세 이상,93,8,7,9,3,3,14,6,2,3,2,9,5,5,8,3,6
2021년01월_남_총인구수,"103,192","3,331","3,324","4,316","6,568","13,694","2,772","3,808","4,522","3,285","5,920","3,185","9,450","4,149","21,762","9,997","3,109"
2021년01월_남_연령구간인구수,"103,192","3,331","3,324","4,316","6,568","13,694","2,772","3,808","4,522","3,285","5,920","3,185","9,450","4,149","21,762","9,997","3,109"
2021년01월_남_0~9세,"8,831",251,274,236,466,"1,459",138,188,184,125,522,248,695,246,"1,955","1,622",222
2021년01월_남_10~19세,"11,344",365,326,394,664,"2,506",152,212,316,189,549,213,"1,039",302,"2,862","1,069",186
2021년01월_남_20~29세,"14,355",402,461,637,"1,009","1,735",346,499,640,529,783,443,"1,444",612,"3,276","1,230",309
2021년01월_남_30~39세,"12,657",341,422,472,808,"1,260",356,445,606,412,732,479,"1,130",502,"2,516","1,858",318
2021년01월_남_40~49세,"16,765",524,552,618,"1,029","2,522",433,600,684,480,943,497,"1,481",575,"3,628","1,743",456
2021년01월_남_50~59세,"15,576",510,484,699,988,"1,993",494,654,770,563,874,466,"1,523",683,"3,172","1,198",505
2021년01월_남_60~69세,"12,940",428,398,623,891,"1,312",411,564,732,580,832,425,"1,234",674,"2,421",825,590
2021년01월_남_70~79세,"7,811",366,296,463,491,630,318,480,448,313,472,301,693,417,"1,421",348,354
2021년01월_남_80~89세,"2,653",128,99,159,197,251,113,149,129,86,191,103,204,126,463,96,159
2021년01월_남_90~99세,247,15,10,15,24,25,8,17,13,7,22,8,6,12,48,8,9
2021년01월_남_100세 이상,13,1,2,0,1,1,3,0,0,1,0,2,1,0,0,0,1
2021년01월_여_총인구수,"111,340","3,994","3,652","4,848","7,367","15,462","2,646","3,645","4,301","3,261","6,573","3,282","10,062","4,189","24,348","10,543","3,167"
2021년01월_여_연령구간인구수,"111,340","3,994","3,652","4,848","7,367","15,462","2,646","3,645","4,301","3,261","6,573","3,282","10,062","4,189","24,348","10,543","3,167"
2021년01월_여_0~9세,"8,388",245,255,243,411,"1,473",149,186,174,122,480,206,657,250,"1,902","1,459",176
2021년01월_여_10~19세,"11,377",386,344,367,673,"2,413",126,194,269,172,581,229,986,283,"3,119","1,031",204
2021년01월_여_20~29세,"13,588",425,423,622,977,"1,619",316,377,558,444,741,524,"1,374",525,"3,208","1,214",241
2021년01월_여_30~39세,"12,835",360,452,427,794,"1,582",301,361,454,318,753,428,"1,107",426,"2,824","1,993",255
2021년01월_여_40~49세,"17,301",552,557,635,"1,114","3,085",318,392,509,351,972,407,"1,550",544,"4,173","1,784",358
2021년01월_여_50~59세,"17,338",643,525,812,"1,200","2,308",402,581,758,628,"1,025",475,"1,733",763,"3,655","1,361",469
2021년01월_여_60~69세,"15,236",604,532,798,"1,052","1,611",447,624,803,645,"1,036",489,"1,412",722,"2,884","1,014",563
2021년01월_여_70~79세,"9,687",513,372,588,675,826,387,599,514,388,647,349,838,466,"1,662",397,466
2021년01월_여_80~89세,"4,624",214,166,290,392,443,163,268,229,165,281,144,333,178,768,224,366
2021년01월_여_90~99세,886,45,21,57,77,100,26,57,31,26,55,24,68,27,145,63,64
2021년01월_여_100세 이상,80,7,5,9,2,2,11,6,2,2,2,7,4,5,8,3,5
