,세종특별자치시 세종특별자치시,세종특별자치시  조치원읍,세종특별자치시  연기면,세종특별자치시  연동면,세종특별자치시  부강면,세종특별자치시  금남면,세종특별자치시  장군면,세종특별자치시  연서면,세종특별자치시  전의면,세종특별자치시  전동면,세종특별자치시  소정면,세종특별자치시  한솔동,세종특별자치시  새롬동,세종특별자치시  도담동,세종특별자치시  해밀동,세종특별자치시  아름동,세종특별자치시  종촌동,세종특별자치시  고운동,세종특별자치시  소담동,세종특별자치시  보람동,세종특별자치시  대평동,세종특별자치시  다정동
2021년09월_계_총인구수,"366,560","43,359","2,782","3,137","6,242","8,982","7,015","7,429","5,535","3,389","2,339","18,908","35,299","32,620","8,491","23,601","29,542","34,417","34,255","19,332","11,363","28,523"
2021년09월_계_연령구간인구수,"366,560","43,359","2,782","3,137","6,242","8,982","7,015","7,429","5,535","3,389","2,339","18,908","35,299","32,620","8,491","23,601","29,542","34,417","34,255","19,332","11,363","28,523"
2021년09월_계_0~9세,"46,960","3,067",97,97,325,335,250,333,180,65,90,"2,421","5,086","3,999","1,672","3,325","4,469","5,814","5,819","3,010","1,667","4,839"
2021년09월_계_10~19세,"44,826","4,166",95,120,359,376,318,408,361,110,172,"3,292","4,920","4,531",999,"4,369","4,262","4,913","3,744","2,610","1,092","3,609"
2021년09월_계_20~29세,"38,131","6,522",381,279,713,939,"1,031",841,545,268,259,"1,723","3,969","3,933",608,"1,852","2,558","2,490","3,461","1,859","1,344","2,556"
2021년09월_계_30~39세,"61,187","5,438",362,294,764,921,944,732,469,225,181,"2,413","6,815","5,623","1,858","3,316","5,286","6,178","7,718","3,481","2,218","5,951"
2021년09월_계_40~49세,"71,533","6,835",329,329,808,"1,017",955,865,645,317,304,"4,329","7,583","6,950","1,855","5,858","6,304","7,688","6,636","3,958","2,047","5,921"
2021년09월_계_50~59세,"47,566","6,674",525,525,"1,086","1,600","1,305","1,200","1,012",665,430,"2,739","4,066","4,038",841,"2,869","3,402","3,627","3,849","2,382","1,670","3,061"
2021년09월_계_60~69세,"32,942","5,719",553,698,"1,104","1,854","1,167","1,472","1,082",882,426,"1,251","1,965","2,152",407,"1,325","2,088","2,540","2,117","1,386",934,"1,820"
2021년09월_계_70~79세,"14,652","3,066",253,425,624,"1,123",607,909,648,490,266,494,604,909,172,481,803,873,640,454,252,559
