카테고리,경상북도 경주시,경상북도 경주시 감포읍,경상북도 경주시 안강읍,경상북도 경주시 건천읍,경상북도 경주시 외동읍,경상북도 경주시 양북면,경상북도 경주시 양남면,경상북도 경주시 내남면,경상북도 경주시 산내면,경상북도 경주시 서면,경상북도 경주시 현곡면,경상북도 경주시 강동면,경상북도 경주시 천북면,경상북도 경주시 중부동,경상북도 경주시 황오동,경상북도 경주시 성건동,경상북도 경주시 황남동,경상북도 경주시 선도동,경상북도 경주시 월성동,경상북도 경주시 용강동,경상북도 경주시 황성동,경상북도 경주시 동천동,경상북도 경주시 불국동,경상북도 경주시 보덕동
2020년09월_계_총인구수,"253,396","5,543","25,141","9,565","19,690","4,334","6,293","4,754","3,266","3,257","21,964","6,351","5,750","5,396","6,697","14,147","4,864","15,015","5,957","21,649","29,174","23,013","9,777","1,799"
2020년09월_계_연령구간인구수,"253,396","5,543","25,141","9,565","19,690","4,334","6,293","4,754","3,266","3,257","21,964","6,351","5,750","5,396","6,697","14,147","4,864","15,015","5,957","21,649","29,174","23,013","9,777","1,799"
2020년09월_계_0~9세,"16,445",159,"1,239",364,"1,117",244,295,102,53,62,"2,478",196,279,219,198,459,104,"1,211",367,"2,644","2,601","1,320",676,58
2020년09월_계_10~19세,"21,042",215,"2,081",503,"1,105",190,335,203,96,132,"2,467",350,336,319,342,866,205,"1,726",339,"2,433","3,796","2,312",599,92
2020년09월_계_20~29세,"26,865",379,"2,419",740,"1,918",431,584,290,128,193,"2,317",503,555,571,661,"2,073",350,"1,940",499,"2,414","3,784","3,078",855,183
2020년09월_계_30~39세,"25,690",348,"1,844",685,"2,231",488,510,261,137,158,"3,132",396,606,545,574,"1,316",312,"1,541",535,"2,976","3,328","2,431","1,193",143
2020년09월_계_40~49세,"36,964",632,"3,415","1,063","2,696",398,737,416,195,320,"3,828",748,698,648,775,"1,846",515,"2,607",768,"3,931","5,424","3,786","1,310",208
2020년09월_계_50~59세,"46,802","1,029","5,082","1,749","3,973",661,"1,304",901,605,575,"3,561","1,283","1,067",920,"1,199","2,426",872,"2,784","1,034","3,717","5,456","4,516","1,754",334
2020년09월_계_60~69세,"40,458","1,246","4,365","2,034","3,510",811,"1,312","1,123",964,758,"2,349","1,321","1,055","1,054","1,459","2,677","1,078","1,730","1,147","2,122","2,936","3,325","1,698",384
2020년09월_계_70~79세,"24,427",950,"2,915","1,464","1,896",617,746,819,657,665,"1,136",905,732,741,984,"1,761",849,929,784,888,"1,163","1,535","1,033",258
2020년09월_계_80~89세,"12,894",511,"1,601",842,"1,085",429,391,572,375,352,618,569,376,339,428,640,513,483,416,444,597,632,564,117
2020년09월_계_90~99세,"1,717",72,168,113,152,62,76,64,53,40,78,78,45,32,66,81,58,63,67,76,87,77,89,20
2020년09월_계_100세 이상,92,2,12,8,7,3,3,3,3,2,0,2,1,8,11,2,8,1,1,4,2,1,6,2
2020년09월_남_총인구수,"126,826","2,767","12,510","4,841","10,407","2,243","3,356","2,382","1,616","1,630","10,841","3,222","2,992","2,683","3,231","7,037","2,399","7,528","2,927","10,660","14,356","11,485","4,821",892
2020년09월_남_연령구간인구수,"126,826","2,767","12,510","4,841","10,407","2,243","3,356","2,382","1,616","1,630","10,841","3,222","2,992","2,683","3,231","7,037","2,399","7,528","2,927","10,660","14,356","11,485","4,821",892
2020년09월_남_0~9세,"8,409",87,649,191,557,125,153,54,30,30,"1,285",93,141,109,88,256,56,614,186,"1,336","1,320",677,343,29
2020년09월_남_10~19세,"11,016",109,"1,056",279,588,121,181,105,48,90,"1,247",181,173,177,186,449,101,923,187,"1,228","2,028","1,209",310,40
2020년09월_남_20~29세,"15,138",231,"1,393",463,"1,116",262,386,172,77,116,"1,241",282,309,324,351,"1,186",206,"1,090",297,"1,338","2,054","1,717",441,86
2020년09월_남_30~39세,"13,687",203,982,402,"1,316",292,303,166,72,89,"1,552",233,344,297,334,773,183,789,256,"1,457","1,618","1,303",638,85
2020년09월_남_40~49세,"19,309",403,"1,794",620,"1,620",260,446,241,114,198,"1,886",437,401,369,435,"1,003",295,"1,264",417,"1,922","2,492","1,863",713,116
2020년09월_남_50~59세,"24,141",567,"2,652",929,"2,164",380,731,508,312,326,"1,769",716,585,463,624,"1,180",485,"1,412",544,"1,793","2,703","2,209",912,177
2020년09월_남_60~69세,"19,915",602,"2,152","1,004","1,832",413,669,585,509,367,"1,154",686,555,483,647,"1,171",542,850,540,"1,081","1,468","1,597",814,194
2020년09월_남_70~79세,"10,796",379,"1,298",635,877,264,343,368,314,283,516,410,347,333,402,762,357,408,355,374,505,686,456,124
2020년09월_남_80~89세,"4,054",170,500,294,304,120,131,167,130,124,184,165,123,122,147,242,158,162,129,115,155,203,176,33
2020년09월_남_90~99세,339,16,32,23,29,5,13,15,9,6,7,19,14,4,14,14,13,16,16,16,13,20,18,7
2020년09월_남_100세 이상,22,0,2,1,4,1,0,1,1,1,0,0,0,2,3,1,3,0,0,0,0,1,0,1
2020년09월_여_총인구수,"126,570","2,776","12,631","4,724","9,283","2,091","2,937","2,372","1,650","1,627","11,123","3,129","2,758","2,713","3,466","7,110","2,465","7,487","3,030","10,989","14,818","11,528","4,956",907
2020년09월_여_연령구간인구수,"126,570","2,776","12,631","4,724","9,283","2,091","2,937","2,372","1,650","1,627","11,123","3,129","2,758","2,713","3,466","7,110","2,465","7,487","3,030","10,989","14,818","11,528","4,956",907
2020년09월_여_0~9세,"8,036",72,590,173,560,119,142,48,23,32,"1,193",103,138,110,110,203,48,597,181,"1,308","1,281",643,333,29
2020년09월_여_10~19세,"10,026",106,"1,025",224,517,69,154,98,48,42,"1,220",169,163,142,156,417,104,803,152,"1,205","1,768","1,103",289,52
2020년09월_여_20~29세,"11,727",148,"1,026",277,802,169,198,118,51,77,"1,076",221,246,247,310,887,144,850,202,"1,076","1,730","1,361",414,97
2020년09월_여_30~39세,"12,003",145,862,283,915,196,207,95,65,69,"1,580",163,262,248,240,543,129,752,279,"1,519","1,710","1,128",555,58
2020년09월_여_40~49세,"17,655",229,"1,621",443,"1,076",138,291,175,81,122,"1,942",311,297,279,340,843,220,"1,343",351,"2,009","2,932","1,923",597,92
2020년09월_여_50~59세,"22,661",462,"2,430",820,"1,809",281,573,393,293,249,"1,792",567,482,457,575,"1,246",387,"1,372",490,"1,924","2,753","2,307",842,157
2020년09월_여_60~69세,"20,543",644,"2,213","1,030","1,678",398,643,538,455,391,"1,195",635,500,571,812,"1,506",536,880,607,"1,041","1,468","1,728",884,190
2020년09월_여_70~79세,"13,631",571,"1,617",829,"1,019",353,403,451,343,382,620,495,385,408,582,999,492,521,429,514,658,849,577,134
2020년09월_여_80~89세,"8,840",341,"1,101",548,781,309,260,405,245,228,434,404,253,217,281,398,355,321,287,329,442,429,388,84
2020년09월_여_90~99세,"1,378",56,136,90,123,57,63,49,44,34,71,59,31,28,52,67,45,47,51,60,74,57,71,13
2020년09월_여_100세 이상,70,2,10,7,3,2,3,2,2,1,0,2,1,6,8,1,5,1,1,4,2,0,6,1
