카테고리,전라북도 고창군,전라북도 고창군 고창읍,전라북도 고창군 고수면,전라북도 고창군 아산면,전라북도 고창군 무장면,전라북도 고창군 공음면,전라북도 고창군 상하면,전라북도 고창군 해리면,전라북도 고창군 성송면,전라북도 고창군 대산면,전라북도 고창군 심원면,전라북도 고창군 흥덕면,전라북도 고창군 성내면,전라북도 고창군 신림면,전라북도 고창군 부안면
2021년06월_계_총인구수,"53,869","21,189","2,243","2,626","2,752","2,513","2,408","2,733","1,783","3,238","2,478","3,132","1,944","2,220","2,610"
2021년06월_계_연령구간인구수,"53,869","21,189","2,243","2,626","2,752","2,513","2,408","2,733","1,783","3,238","2,478","3,132","1,944","2,220","2,610"
2021년06월_계_0~9세,"2,569","1,750",43,76,84,57,62,77,40,73,63,86,41,46,71
2021년06월_계_10~19세,"4,172","2,664",104,100,212,117,152,99,50,139,101,153,64,108,109
2021년06월_계_20~29세,"4,120","2,278",138,152,156,128,153,141,70,167,147,210,119,136,125
2021년06월_계_30~39세,"3,711","2,049",117,143,121,135,109,132,89,148,155,163,104,113,133
2021년06월_계_40~49세,"6,023","3,125",190,234,247,213,229,220,134,270,243,313,178,197,230
2021년06월_계_50~59세,"8,817","3,385",402,473,440,404,415,396,291,561,485,533,283,350,399
2021년06월_계_60~69세,"9,934","2,907",495,565,537,555,482,630,410,710,525,684,434,463,537
2021년06월_계_70~79세,"8,258","1,832",413,505,566,490,472,613,344,651,441,532,392,424,583
2021년06월_계_80~89세,"5,381","1,013",294,326,348,358,294,368,305,456,273,397,281,319,349
2021년06월_계_90~99세,853,178,45,50,39,53,40,56,49,62,44,58,48,61,70
2021년06월_계_100세 이상,31,8,2,2,2,3,0,1,1,1,1,3,0,3,4
2021년06월_남_총인구수,"26,716","10,532","1,154","1,328","1,356","1,231","1,172","1,341",872,"1,608","1,247","1,535","1,000","1,070","1,270"
2021년06월_남_연령구간인구수,"26,716","10,532","1,154","1,328","1,356","1,231","1,172","1,341",872,"1,608","1,247","1,535","1,000","1,070","1,270"
2021년06월_남_0~9세,"1,361",921,22,36,47,34,37,42,19,43,37,44,18,24,37
2021년06월_남_10~19세,"2,293","1,479",60,57,123,51,93,45,31,77,49,71,46,50,61
2021년06월_남_20~29세,"2,362","1,261",85,88,96,82,85,79,49,103,78,128,74,79,75
2021년06월_남_30~39세,"2,002","1,025",74,83,60,81,59,81,54,90,92,96,60,59,88
2021년06월_남_40~49세,"3,414","1,568",121,147,158,128,139,152,80,177,170,180,124,123,147
2021년06월_남_50~59세,"4,859","1,692",241,294,258,234,230,240,186,304,269,294,166,203,248
2021년06월_남_60~69세,"4,953","1,391",278,280,255,273,236,294,200,381,268,359,235,243,260
2021년06월_남_70~79세,"3,615",794,184,223,240,229,207,297,151,274,190,227,177,180,242
2021년06월_남_80~89세,"1,714",367,86,111,113,110,77,105,90,145,89,127,92,103,99
2021년06월_남_90~99세,141,33,3,8,6,9,9,6,12,14,5,9,8,6,13
2021년06월_남_100세 이상,2,1,0,1,0,0,0,0,0,0,0,0,0,0,0
2021년06월_여_총인구수,"27,153","10,657","1,089","1,298","1,396","1,282","1,236","1,392",911,"1,630","1,231","1,597",944,"1,150","1,340"
2021년06월_여_연령구간인구수,"27,153","10,657","1,089","1,298","1,396","1,282","1,236","1,392",911,"1,630","1,231","1,597",944,"1,150","1,340"
2021년06월_여_0~9세,"1,208",829,21,40,37,23,25,35,21,30,26,42,23,22,34
2021년06월_여_10~19세,"1,879","1,185",44,43,89,66,59,54,19,62,52,82,18,58,48
2021년06월_여_20~29세,"1,758","1,017",53,64,60,46,68,62,21,64,69,82,45,57,50
2021년06월_여_30~39세,"1,709","1,024",43,60,61,54,50,51,35,58,63,67,44,54,45
2021년06월_여_40~49세,"2,609","1,557",69,87,89,85,90,68,54,93,73,133,54,74,83
2021년06월_여_50~59세,"3,958","1,693",161,179,182,170,185,156,105,257,216,239,117,147,151
2021년06월_여_60~69세,"4,981","1,516",217,285,282,282,246,336,210,329,257,325,199,220,277
2021년06월_여_70~79세,"4,643","1,038",229,282,326,261,265,316,193,377,251,305,215,244,341
2021년06월_여_80~89세,"3,667",646,208,215,235,248,217,263,215,311,184,270,189,216,250
2021년06월_여_90~99세,712,145,42,42,33,44,31,50,37,48,39,49,40,55,57
2021년06월_여_100세 이상,29,7,2,1,2,3,0,1,1,1,1,3,0,3,4
