,전라북도,전라북도 전주시,전라북도 전주시 완산구,전라북도 전주시 덕진구,전라북도 군산시,전라북도 익산시,전라북도 정읍시,전라북도 남원시,전라북도 김제시,전라북도 완주군,전라북도 진안군,전라북도 무주군,전라북도 장수군,전라북도 임실군,전라북도 순창군,전라북도 고창군,전라북도 부안군
2021년06월_계_총인구수,"1,794,345","657,428","337,968","319,460","266,389","280,072","107,422","80,032","81,462","91,024","25,181","23,875","21,880","27,009","27,283","53,869","51,419"
2021년06월_계_연령구간인구수,"1,794,345","657,428","337,968","319,460","266,389","280,072","107,422","80,032","81,462","91,024","25,181","23,875","21,880","27,009","27,283","53,869","51,419"
2021년06월_계_0~9세,"123,823","52,657","23,940","28,717","20,219","18,263","6,053","4,799","4,107","6,567","1,215","1,126","1,075","1,318","1,383","2,569","2,472"
2021년06월_계_10~19세,"172,059","70,652","35,328","35,324","26,418","27,457","9,449","7,144","6,080","8,184","1,640","1,794","1,647","1,639","2,162","4,172","3,621"
2021년06월_계_20~29세,"209,721","93,163","49,255","43,908","29,539","35,662","10,440","7,493","7,052","8,819","1,892","1,734","1,611","2,008","2,021","4,120","4,167"
2021년06월_계_30~39세,"185,117","81,444","39,519","41,925","29,741","27,791","8,619","6,224","6,399","9,059","1,562","1,656","1,480","1,836","1,853","3,711","3,742"
2021년06월_계_40~49세,"263,566","105,864","52,403","53,461","42,997","41,039","14,432","10,419","9,731","13,300","2,621","2,790","2,481","2,711","3,215","6,023","5,943"
2021년06월_계_50~59세,"297,676","106,504","57,056","49,448","43,935","48,434","18,179","13,526","13,315","15,117","4,435","4,138","3,634","4,590","4,397","8,817","8,655"
2021년06월_계_60~69세,"263,759","79,452","43,681","35,771","38,452","41,841","17,467","13,386","14,921","14,427","5,075","4,564","4,342","5,162","4,960","9,934","9,776"
2021년06월_계_70~79세,"170,487","44,523","24,180","20,343","23,106","24,792","13,204","9,730","11,350","9,288","3,794","3,324","3,096","4,234","4,098","8,258","7,690"
2021년06월_계_80~89세,"93,460","20,190","10,893","9,297","10,312","12,645","8,325","6,291","7,240","5,397","2,549","2,391","2,200","3,050","2,791","5,381","4,698"
2021년06월_계_90~99세,"14,150","2,886","1,656","1,230","1,616","2,072","1,192",988,"1,226",836,382,336,303,445,382,853,633
2021년06월_계_100세 이상,527,93,57,36,54,76,62,32,41,30,16,22,11,16,21,31,22
2021년06월_남_총인구수,"892,670","323,491","164,603","158,888","134,786","139,543","53,374","39,277","40,449","46,782","12,724","11,889","10,922","13,828","13,326","26,716","25,563"
2021년06월_남_연령구간인구수,"892,670","323,491","164,603","158,888","134,786","139,543","53,374","39,277","40,449","46,782","12,724","11,889","10,922","13,828","13,326","26,716","25,563"
2021년06월_남_0~9세,"63,532","26,961","12,322","14,639","10,292","9,400","3,095","2,543","2,137","3,273",589,601,562,701,720,"1,361","1,297"
2021년06월_남_10~19세,"89,124","36,530","18,395","18,135","13,657","14,055","5,017","3,690","3,102","4,277",872,914,837,870,"1,111","2,293","1,899"
2021년06월_남_20~29세,"113,402","48,848","25,479","23,369","16,259","19,429","5,792","4,202","3,945","4,944","1,077",959,913,"1,185","1,135","2,362","2,352"
2021년06월_남_30~39세,"95,558","41,220","20,042","21,178","15,546","14,536","4,601","3,173","3,420","4,689",756,907,773,"1,009",902,"2,002","2,024"
2021년06월_남_40~49세,"135,742","51,837","25,117","26,720","22,534","20,974","7,597","5,339","5,470","7,306","1,533","1,554","1,399","1,646","1,819","3,414","3,320"
2021년06월_남_50~59세,"154,496","52,412","27,609","24,803","23,141","24,675","9,809","7,226","7,313","8,433","2,509","2,294","2,049","2,604","2,397","4,859","4,775"
2021년06월_남_60~69세,"130,429","37,820","20,576","17,244","18,969","20,709","8,701","6,680","7,542","7,519","2,707","2,350","2,227","2,820","2,536","4,953","4,896"
