카테고리,경기도 동두천시,경기도 동두천시 생연1동,경기도 동두천시 생연2동,경기도 동두천시 중앙동,경기도 동두천시 보산동,경기도 동두천시 불현동,경기도 동두천시 송내동,경기도 동두천시 소요동,경기도 동두천시 상패동
2021년09월_계_총인구수,"93,479","6,926","11,924","4,975","2,911","26,996","25,608","8,844","5,295"
2021년09월_계_연령구간인구수,"93,479","6,926","11,924","4,975","2,911","26,996","25,608","8,844","5,295"
2021년09월_계_0~9세,"5,936",462,728,156,127,"1,789","2,014",403,257
2021년09월_계_10~19세,"8,443",597,"1,235",199,195,"2,554","2,869",519,275
2021년09월_계_20~29세,"11,067",745,"1,293",467,319,"3,390","3,384",889,580
2021년09월_계_30~39세,"10,015",754,"1,197",432,279,"2,913","3,051",784,605
2021년09월_계_40~49세,"13,859",900,"1,868",550,350,"3,993","4,419","1,158",621
2021년09월_계_50~59세,"16,380","1,242","2,005",990,547,"4,849","4,178","1,604",965
2021년09월_계_60~69세,"13,927","1,167","1,739","1,095",534,"3,903","2,775","1,728",986
2021년09월_계_70~79세,"8,595",644,"1,130",640,354,"2,279","1,838","1,096",614
2021년09월_계_80~89세,"4,646",382,661,362,189,"1,175",956,590,331
2021년09월_계_90~99세,588,32,67,77,17,149,122,66,58
2021년09월_계_100세 이상,23,1,1,7,0,2,2,7,3
2021년09월_남_총인구수,"46,661","3,468","5,846","2,622","1,414","13,288","12,600","4,598","2,825"
2021년09월_남_연령구간인구수,"46,661","3,468","5,846","2,622","1,414","13,288","12,600","4,598","2,825"
2021년09월_남_0~9세,"3,048",247,379,87,57,902,"1,024",208,144
2021년09월_남_10~19세,"4,250",290,632,99,91,"1,276","1,454",269,139
2021년09월_남_20~29세,"6,013",402,710,256,186,"1,821","1,802",511,325
2021년09월_남_30~39세,"5,230",386,597,254,146,"1,476","1,571",437,363
2021년09월_남_40~49세,"7,135",478,942,338,185,"1,975","2,194",664,359
2021년09월_남_50~59세,"8,651",655,"1,054",584,274,"2,483","2,164",884,553
2021년09월_남_60~69세,"6,859",585,805,594,271,"1,943","1,253",880,528
2021년09월_남_70~79세,"3,626",278,456,266,141,937,743,524,281
2021년09월_남_80~89세,"1,689",134,252,118,61,434,366,205,119
2021년09월_남_90~99세,156,13,19,25,2,40,28,16,13
2021년09월_남_100세 이상,4,0,0,1,0,1,1,0,1
2021년09월_여_총인구수,"46,818","3,458","6,078","2,353","1,497","13,708","13,008","4,246","2,470"
2021년09월_여_연령구간인구수,"46,818","3,458","6,078","2,353","1,497","13,708","13,008","4,246","2,470"
2021년09월_여_0~9세,"2,888",215,349,69,70,887,990,195,113
2021년09월_여_10~19세,"4,193",307,603,100,104,"1,278","1,415",250,136
2021년09월_여_20~29세,"5,054",343,583,211,133,"1,569","1,582",378,255
2021년09월_여_30~39세,"4,785",368,600,178,133,"1,437","1,480",347,242
2021년09월_여_40~49세,"6,724",422,926,212,165,"2,018","2,225",494,262
2021년09월_여_50~59세,"7,729",587,951,406,273,"2,366","2,014",720,412
2021년09월_여_60~69세,"7,068",582,934,501,263,"1,960","1,522",848,458
2021년09월_여_70~79세,"4,969",366,674,374,213,"1,342","1,095",572,333
2021년09월_여_80~89세,"2,957",248,409,244,128,741,590,385,212
2021년09월_여_90~99세,432,19,48,52,15,109,94,50,45
2021년09월_여_100세 이상,19,1,1,6,0,1,1,7,2
