,경기도 성남시,경기도 성남시 수정구,경기도 성남시 수정구 신흥1동,경기도 성남시 수정구 신흥2동,경기도 성남시 수정구 신흥3동,경기도 성남시 수정구 태평1동,경기도 성남시 수정구 태평2동,경기도 성남시 수정구 태평3동,경기도 성남시 수정구 태평4동,경기도 성남시 수정구 수진1동,경기도 성남시 수정구 수진2동,경기도 성남시 수정구 단대동,경기도 성남시 수정구 산성동,경기도 성남시 수정구 양지동,경기도 성남시 수정구 복정동,경기도 성남시 수정구 위례동,경기도 성남시 수정구 신촌동,경기도 성남시 수정구 고등동,경기도 성남시 수정구 시흥동,경기도 성남시 중원구,경기도 성남시 중원구 성남동,경기도 성남시 중원구 중앙동,경기도 성남시 중원구 금광1동,경기도 성남시 중원구 금광2동,경기도 성남시 중원구 은행1동,경기도 성남시 중원구 은행2동,경기도 성남시 중원구 상대원1동,경기도 성남시 중원구 상대원2동,경기도 성남시 중원구 상대원3동,경기도 성남시 중원구 하대원동,경기도 성남시 중원구 도촌동,경기도 성남시 분당구,경기도 성남시 분당구 분당동,경기도 성남시 분당구 수내1동,경기도 성남시 분당구 수내2동,경기도 성남시 분당구 수내3동,경기도 성남시 분당구 정자동,경기도 성남시 분당구 정자1동,경기도 성남시 분당구 정자2동,경기도 성남시 분당구 정자3동,경기도 성남시 분당구 서현1동,경기도 성남시 분당구 서현2동,경기도 성남시 분당구 이매1동,경기도 성남시 분당구 이매2동,경기도 성남시 분당구 야탑1동,경기도 성남시 분당구 야탑2동,경기도 성남시 분당구 야탑3동,경기도 성남시 분당구 판교동,경기도 성남시 분당구 삼평동,경기도 성남시 분당구 백현동,경기도 성남시 분당구 금곡동,경기도 성남시 분당구 구미1동,경기도 성남시 분당구 구미동,경기도 성남시 분당구 운중동
2020년04월_계_총인구수,"941,527","234,653","13,530","9,887","11,142","15,779","15,999","13,804","13,880","12,746","16,479","16,180","13,047","10,143","11,533","45,802","4,813","6,579","3,310","219,155","33,677","14,354","7,164","25,147","10,925","25,085","26,268","14,271","12,900","21,345","28,019","487,719","26,868","18,194","10,773","14,316","20,047","31,242","16,297","15,811","32,559","18,936","26,239","14,071","17,900","17,082","29,689","23,985","24,945","28,108","29,160","17,967","31,893","21,637"
2020년04월_계_연령구간인구수,"941,527","234,653","13,530","9,887","11,142","15,779","15,999","13,804","13,880","12,746","16,479","16,180","13,047","10,143","11,533","45,802","4,813","6,579","3,310","219,155","33,677","14,354","7,164","25,147","10,925","25,085","26,268","14,271","12,900","21,345","28,019","487,719","26,868","18,194","10,773","14,316","20,047","31,242","16,297","15,811","32,559","18,936","26,239","14,071","17,900","17,082","29,689","23,985","24,945","28,108","29,160","17,967","31,893","21,637"
2020년04월_계_0~9세,"71,055","15,666",546,742,427,591,814,703,762,426,876,"1,170",637,670,797,"5,197",569,535,204,"13,935","1,611",931,424,"1,357",717,"1,448","1,753",592,637,"1,494","2,971","41,454","2,118","1,312","1,215","1,118","1,550","2,152",964,"1,405","2,547","1,482","2,364","1,072","1,378","1,311","2,402","3,147","2,902","3,116","1,975","1,376","2,312","2,236"
2020년04월_계_10~19세,"89,813","17,625",751,918,664,860,"1,221",966,"1,289",741,"1,119","1,353","1,109",953,521,"4,078",433,461,188,"17,316","2,074",921,482,"2,062","1,102","2,124","1,898","1,028",963,"1,865","2,797","54,872","3,083","2,283","1,989","2,512","1,977","3,355","1,471","1,815","4,417","2,331","3,224","1,915","1,338","1,815","2,186","3,384","3,042","3,201","2,480","1,805","2,864","2,385"
2020년04월_계_20~29세,"132,418","34,086","2,021","1,288","1,709","2,771","2,470","1,963","2,043","1,783","2,421","2,202","1,720","1,440","2,290","5,729",731,"1,090",415,"31,498","5,761","1,595",979,"3,862","1,786","3,550","3,578","1,867","1,878","3,157","3,485","66,834","3,842","2,447",975,"1,878","3,190","4,736","2,119","2,114","4,632","2,867","3,459","1,874","2,894","2,194","4,274","2,350","3,025","3,884","4,205","2,727","4,625","2,523"
2020년04월_계_30~39세,"138,600","34,845","1,792","1,292","1,538","2,271","2,222","1,831","1,682","1,526","2,226","2,311","1,680","1,196","2,796","7,775",921,"1,274",512,"31,715","5,627","1,987","1,148","3,517","1,391","3,151","4,094","1,723","1,633","2,936","4,508","72,040","3,719","2,566",961,"1,630","3,659","5,223","3,076","2,399","4,285","2,428","3,700","1,412","2,945","2,227","5,525","3,225","3,576","4,096","4,771","2,838","4,623","3,156"
2020년04월_계_40~49세,"159,265","36,953","2,063","1,579","1,730","2,165","2,369","2,081","2,287","1,831","2,412","2,564","2,256","1,702","2,041","7,782",762,869,460,"34,028","4,818","2,291","1,082","3,900","1,738","3,947","4,128","2,144","1,897","3,114","4,969","88,284","4,807","3,759","2,664","3,302","3,296","6,038","2,727","2,889","6,525","3,363","4,742","2,499","2,764","2,821","4,478","5,256","4,708","4,760","4,576","3,050","5,216","4,044"
2020년04월_계_50~59세,"155,970","40,411","2,627","1,754","2,154","2,791","2,884","2,628","2,455","2,537","2,991","2,749","2,254","1,767","1,365","7,332",591,"1,003",529,"39,405","5,750","2,689","1,306","4,423","1,868","4,586","4,756","3,031","2,661","4,083","4,252","76,154","4,255","2,762","1,451","2,100","2,898","4,682","2,420","2,447","4,883","3,327","4,143","2,357","2,776","2,638","4,696","3,334","3,959","4,739","4,591","2,940","5,245","3,511"
2020년04월_계_60~69세,"108,729","31,360","2,101","1,386","1,645","2,354","2,246","2,055","1,784","2,147","2,510","2,102","1,793","1,307","1,060","5,033",501,770,566,"29,666","4,537","2,275","1,010","3,485","1,264","3,393","3,612","2,266","1,890","2,926","3,008","47,703","2,799","1,369",733,"1,033","2,019","2,472","1,714","1,329","2,676","1,827","2,512","1,607","2,149","2,197","3,582","1,963","2,227","2,617","3,361","1,736","3,378","2,403"
2020년04월_계_70~79세,"57,015","16,574","1,146",649,929,"1,404","1,214","1,079","1,072","1,219","1,393","1,172","1,155",781,474,"1,947",213,411,316,"15,046","2,423","1,163",478,"1,772",744,"2,038","1,746","1,155",929,"1,219","1,379","25,395","1,418",952,487,476,"1,013","1,639","1,036",812,"1,570",812,"1,361",832,"1,108","1,196","1,672",881,"1,014","1,135","1,969",931,"2,159",922
