카테고리,인천광역시 옹진군,인천광역시 옹진군 북도면,인천광역시 옹진군 북도면장봉출장소,인천광역시 옹진군 백령면,인천광역시 옹진군 대청면,인천광역시 옹진군 대청면소청출장소,인천광역시 옹진군 덕적면,인천광역시 옹진군 영흥면,인천광역시 옹진군 자월면,인천광역시 옹진군 자월면이작출장소,인천광역시 옹진군 연평면
2021년02월_계_총인구수,"20,348","1,156",980,"5,137","1,240",226,"1,863","6,402",934,379,"2,031"
2021년02월_계_연령구간인구수,"20,348","1,156",980,"5,137","1,240",226,"1,863","6,402",934,379,"2,031"
2021년02월_계_0~9세,938,36,26,352,56,2,39,293,24,13,97
2021년02월_계_10~19세,"1,075",45,28,281,62,9,84,397,33,16,120
2021년02월_계_20~29세,"2,665",83,51,"1,022",193,36,127,576,78,24,475
2021년02월_계_30~39세,"1,881",75,56,619,126,19,87,620,44,20,215
2021년02월_계_40~49세,"2,353",116,116,636,124,14,157,813,91,36,250
2021년02월_계_50~59세,"3,578",197,203,702,212,27,358,"1,301",188,74,316
2021년02월_계_60~69세,"4,075",335,268,778,230,49,465,"1,321",229,87,313
2021년02월_계_70~79세,"2,378",165,154,426,159,51,335,734,148,66,140
2021년02월_계_80~89세,"1,149",86,58,255,68,15,171,295,85,33,83
2021년02월_계_90~99세,243,15,18,63,10,4,39,49,13,10,22
2021년02월_계_100세 이상,13,3,2,3,0,0,1,3,1,0,0
2021년02월_남_총인구수,"11,563",610,517,"3,020",721,141,"1,005","3,568",507,194,"1,280"
2021년02월_남_연령구간인구수,"11,563",610,517,"3,020",721,141,"1,005","3,568",507,194,"1,280"
2021년02월_남_0~9세,475,17,13,182,28,0,17,154,14,8,42
2021년02월_남_10~19세,580,20,17,129,32,8,44,234,18,7,71
2021년02월_남_20~29세,"1,950",49,29,810,145,30,77,377,45,10,378
2021년02월_남_30~39세,"1,151",41,34,366,80,16,54,374,27,14,145
2021년02월_남_40~49세,"1,481",61,69,417,86,13,93,487,61,19,175
2021년02월_남_50~59세,"2,064",115,118,400,113,17,228,716,117,45,195
2021년02월_남_60~69세,"2,207",185,138,408,137,29,261,720,121,44,164
2021년02월_남_70~79세,"1,181",88,80,205,64,22,159,383,70,38,72
2021년02월_남_80~89세,421,30,18,86,32,6,64,114,32,8,31
2021년02월_남_90~99세,49,3,0,16,4,0,8,8,2,1,7
2021년02월_남_100세 이상,4,1,1,1,0,0,0,1,0,0,0
2021년02월_여_총인구수,"8,785",546,463,"2,117",519,85,858,"2,834",427,185,751
2021년02월_여_연령구간인구수,"8,785",546,463,"2,117",519,85,858,"2,834",427,185,751
2021년02월_여_0~9세,463,19,13,170,28,2,22,139,10,5,55
2021년02월_여_10~19세,495,25,11,152,30,1,40,163,15,9,49
2021년02월_여_20~29세,715,34,22,212,48,6,50,199,33,14,97
2021년02월_여_30~39세,730,34,22,253,46,3,33,246,17,6,70
2021년02월_여_40~49세,872,55,47,219,38,1,64,326,30,17,75
2021년02월_여_50~59세,"1,514",82,85,302,99,10,130,585,71,29,121
2021년02월_여_60~69세,"1,868",150,130,370,93,20,204,601,108,43,149
2021년02월_여_70~79세,"1,197",77,74,221,95,29,176,351,78,28,68
2021년02월_여_80~89세,728,56,40,169,36,9,107,181,53,25,52
2021년02월_여_90~99세,194,12,18,47,6,4,31,41,11,9,15
2021년02월_여_100세 이상,9,2,1,2,0,0,1,2,1,0,0
