카테고리,서울특별시 서대문구,서울특별시 서대문구 천연동,서울특별시 서대문구 북아현동,서울특별시 서대문구 충현동,서울특별시 서대문구 신촌동,서울특별시 서대문구 연희동,서울특별시 서대문구 홍제제1동,서울특별시 서대문구 홍제제3동,서울특별시 서대문구 홍제제2동,서울특별시 서대문구 홍은제1동,서울특별시 서대문구 홍은제2동,서울특별시 서대문구 남가좌제1동,서울특별시 서대문구 남가좌제2동,서울특별시 서대문구 북가좌제1동,서울특별시 서대문구 북가좌제2동
2020년02월_계_총인구수,"311,327","18,318","17,061","17,629","18,748","37,977","24,645","16,111","14,384","22,939","27,465","16,438","27,355","18,921","33,336"
2020년02월_계_연령구간인구수,"311,327","18,318","17,061","17,629","18,748","37,977","24,645","16,111","14,384","22,939","27,465","16,438","27,355","18,921","33,336"
2020년02월_계_0~9세,"20,553","1,342","1,503",783,816,"1,855","1,681",825,887,"1,463","1,440","2,269","2,307","1,552","1,830"
2020년02월_계_10~19세,"24,635","1,588","1,146","1,219","1,004","2,695","1,981","1,220","1,153","1,886","2,358","1,448","2,293","2,007","2,637"
2020년02월_계_20~29세,"49,059","2,313","2,463","2,862","6,743","7,659","3,194","2,181","1,877","2,929","4,148","1,645","3,944","2,216","4,885"
2020년02월_계_30~39세,"45,105","2,513","3,024","2,539","3,195","5,920","3,559","2,000","1,945","2,906","3,610","2,665","4,120","2,595","4,514"
2020년02월_계_40~49세,"48,319","2,992","2,763","2,598","1,990","5,551","3,904","2,339","2,178","3,485","4,245","3,138","4,441","3,409","5,286"
2020년02월_계_50~59세,"49,616","3,065","2,841","3,037","2,012","5,548","4,123","2,782","2,614","4,034","4,664","2,213","4,093","3,017","5,573"
2020년02월_계_60~69세,"37,186","2,131","1,741","2,372","1,383","4,218","3,201","2,268","1,862","3,188","3,590","1,591","3,070","2,115","4,456"
2020년02월_계_70~79세,"24,282","1,473","1,037","1,389","1,019","2,963","2,001","1,602","1,247","1,984","2,228",980,"2,061","1,368","2,930"
2020년02월_계_80~89세,"10,730",769,444,666,477,"1,349",863,781,539,908,"1,018",421,859,553,"1,083"
2020년02월_계_90~99세,"1,561",102,72,128,84,191,125,92,77,137,144,53,145,78,133
2020년02월_계_100세 이상,281,30,27,36,25,28,13,21,5,19,20,15,22,11,9
2020년02월_남_총인구수,"149,432","8,706","8,165","8,553","8,389","18,382","11,590","7,851","6,831","11,121","13,361","7,947","13,175","9,163","16,198"
2020년02월_남_연령구간인구수,"149,432","8,706","8,165","8,553","8,389","18,382","11,590","7,851","6,831","11,121","13,361","7,947","13,175","9,163","16,198"
2020년02월_남_0~9세,"10,551",676,770,393,467,956,839,441,473,740,741,"1,145","1,150",817,943
2020년02월_남_10~19세,"12,315",764,571,615,429,"1,382",965,636,566,970,"1,198",684,"1,124","1,061","1,350"
2020년02월_남_20~29세,"23,748","1,152","1,112","1,426","2,647","3,927","1,594","1,073",953,"1,470","2,121",806,"1,940","1,063","2,464"
2020년02월_남_30~39세,"22,451","1,233","1,495","1,267","1,579","2,977","1,732","1,064",945,"1,475","1,899","1,206","2,025","1,218","2,336"
2020년02월_남_40~49세,"23,888","1,469","1,377","1,307",981,"2,664","1,885","1,177","1,041","1,711","2,102","1,667","2,220","1,712","2,575"
2020년02월_남_50~59세,"24,002","1,519","1,400","1,512",993,"2,632","1,875","1,385","1,253","1,993","2,222","1,090","2,008","1,454","2,666"
2020년02월_남_60~69세,"17,468","1,005",827,"1,133",628,"1,978","1,472","1,071",883,"1,543","1,646",720,"1,437","1,000","2,125"
2020년02월_남_70~79세,"10,388",584,426,603,443,"1,257",860,657,499,847,995,435,894,597,"1,291"
2020년02월_남_80~89세,"4,114",263,163,257,187,532,333,308,193,326,399,178,334,223,418
2020년02월_남_90~99세,431,33,21,29,27,69,34,29,22,41,35,12,38,16,25
2020년02월_남_100세 이상,76,8,3,11,8,8,1,10,3,5,3,4,5,2,5
2020년02월_여_총인구수,"161,895","9,612","8,896","9,076","10,359","19,595","13,055","8,260","7,553","11,818","14,104","8,491","14,180","9,758","17,138"
2020년02월_여_연령구간인구수,"161,895","9,612","8,896","9,076","10,359","19,595","13,055","8,260","7,553","11,818","14,104","8,491","14,180","9,758","17,138"
2020년02월_여_0~9세,"10,002",666,733,390,349,899,842,384,414,723,699,"1,124","1,157",735,887
2020년02월_여_10~19세,"12,320",824,575,604,575,"1,313","1,016",584,587,916,"1,160",764,"1,169",946,"1,287"
2020년02월_여_20~29세,"25,311","1,161","1,351","1,436","4,096","3,732","1,600","1,108",924,"1,459","2,027",839,"2,004","1,153","2,421"
2020년02월_여_30~39세,"22,654","1,280","1,529","1,272","1,616","2,943","1,827",936,"1,000","1,431","1,711","1,459","2,095","1,377","2,178"
2020년02월_여_40~49세,"24,431","1,523","1,386","1,291","1,009","2,887","2,019","1,162","1,137","1,774","2,143","1,471","2,221","1,697","2,711"
2020년02월_여_50~59세,"25,614","1,546","1,441","1,525","1,019","2,916","2,248","1,397","1,361","2,041","2,442","1,123","2,085","1,563","2,907"
2020년02월_여_60~69세,"19,718","1,126",914,"1,239",755,"2,240","1,729","1,197",979,"1,645","1,944",871,"1,633","1,115","2,331"
2020년02월_여_70~79세,"13,894",889,611,786,576,"1,706","1,141",945,748,"1,137","1,233",545,"1,167",771,"1,639"
2020년02월_여_80~89세,"6,616",506,281,409,290,817,530,473,346,582,619,243,525,330,665
2020년02월_여_90~99세,"1,130",69,51,99,57,122,91,63,55,96,109,41,107,62,108
2020년02월_여_100세 이상,205,22,24,25,17,20,12,11,2,14,17,11,17,9,4
