카테고리,울산광역시 북구,울산광역시 북구 농소1동,울산광역시 북구 농소2동,울산광역시 북구 농소3동,울산광역시 북구 강동동,울산광역시 북구 효문동,울산광역시 북구 송정동,울산광역시 북구 양정동,울산광역시 북구 염포동
2020년08월_계_총인구수,"218,765","37,597","40,226","39,167","16,506","29,907","35,060","10,101","10,201"
2020년08월_계_연령구간인구수,"218,765","37,597","40,226","39,167","16,506","29,907","35,060","10,101","10,201"
2020년08월_계_0~9세,"25,719","4,785","5,532","3,901","2,726","2,754","4,458",761,802
2020년08월_계_10~19세,"23,578","3,918","4,643","6,298","1,271","2,324","3,575",759,790
2020년08월_계_20~29세,"27,964","4,350","4,552","4,948","1,244","4,758","5,032","1,739","1,341"
2020년08월_계_30~39세,"34,796","5,971","6,846","4,137","3,606","4,908","6,201","1,642","1,485"
2020년08월_계_40~49세,"38,449","6,684","7,378","8,599","2,691","4,439","5,661","1,453","1,544"
2020년08월_계_50~59세,"38,595","6,291","6,361","6,981","2,192","6,389","6,366","2,059","1,956"
2020년08월_계_60~69세,"18,979","3,508","3,140","2,515","1,709","2,963","2,490","1,135","1,519"
2020년08월_계_70~79세,"7,254","1,471","1,177","1,218",659,939,842,393,555
2020년08월_계_80~89세,"2,971",535,519,496,343,378,377,137,186
2020년08월_계_90~99세,440,79,77,72,60,54,58,22,18
2020년08월_계_100세 이상,20,5,1,2,5,1,0,1,5
2020년08월_남_총인구수,"113,233","19,191","20,610","19,924","8,443","15,946","17,901","5,770","5,448"
2020년08월_남_연령구간인구수,"113,233","19,191","20,610","19,924","8,443","15,946","17,901","5,770","5,448"
2020년08월_남_0~9세,"13,209","2,455","2,874","2,011","1,356","1,439","2,300",373,401
2020년08월_남_10~19세,"12,320","2,017","2,443","3,313",637,"1,236","1,835",410,429
2020년08월_남_20~29세,"15,750","2,388","2,495","2,742",674,"2,685","2,764","1,182",820
2020년08월_남_30~39세,"18,040","2,990","3,430","1,966","1,838","2,812","3,157","1,002",845
2020년08월_남_40~49세,"19,650","3,487","3,827","4,066","1,510","2,346","2,725",817,872
2020년08월_남_50~59세,"20,035","3,202","3,232","3,819","1,100","3,288","3,272","1,140",982
2020년08월_남_60~69세,"9,938","1,819","1,588","1,312",905,"1,579","1,340",608,787
2020년08월_남_70~79세,"3,347",668,552,529,312,446,404,200,236
2020년08월_남_80~89세,874,152,159,152,100,106,99,34,72
2020년08월_남_90~99세,66,12,10,14,11,8,5,4,2
2020년08월_남_100세 이상,4,1,0,0,0,1,0,0,2
2020년08월_여_총인구수,"105,532","18,406","19,616","19,243","8,063","13,961","17,159","4,331","4,753"
2020년08월_여_연령구간인구수,"105,532","18,406","19,616","19,243","8,063","13,961","17,159","4,331","4,753"
2020년08월_여_0~9세,"12,510","2,330","2,658","1,890","1,370","1,315","2,158",388,401
2020년08월_여_10~19세,"11,258","1,901","2,200","2,985",634,"1,088","1,740",349,361
2020년08월_여_20~29세,"12,214","1,962","2,057","2,206",570,"2,073","2,268",557,521
2020년08월_여_30~39세,"16,756","2,981","3,416","2,171","1,768","2,096","3,044",640,640
2020년08월_여_40~49세,"18,799","3,197","3,551","4,533","1,181","2,093","2,936",636,672
2020년08월_여_50~59세,"18,560","3,089","3,129","3,162","1,092","3,101","3,094",919,974
2020년08월_여_60~69세,"9,041","1,689","1,552","1,203",804,"1,384","1,150",527,732
2020년08월_여_70~79세,"3,907",803,625,689,347,493,438,193,319
2020년08월_여_80~89세,"2,097",383,360,344,243,272,278,103,114
2020년08월_여_90~99세,374,67,67,58,49,46,53,18,16
2020년08월_여_100세 이상,16,4,1,2,5,0,0,1,3
