카테고리,서울특별시 강서구,서울특별시 강서구 염창동,서울특별시 강서구 등촌제1동,서울특별시 강서구 등촌제2동,서울특별시 강서구 등촌제3동,서울특별시 강서구 화곡제1동,서울특별시 강서구 화곡제2동,서울특별시 강서구 화곡제3동,서울특별시 강서구 화곡제4동,서울특별시 강서구 화곡본동,서울특별시 강서구 화곡제6동,서울특별시 강서구 화곡제8동,서울특별시 강서구 가양제1동,서울특별시 강서구 가양제2동,서울특별시 강서구 가양제3동,서울특별시 강서구 발산제1동,서울특별시 강서구 우장산동,서울특별시 강서구 공항동,서울특별시 강서구 방화제1동,서울특별시 강서구 방화제2동,서울특별시 강서구 방화제3동
2020년12월_계_총인구수,"580,185","41,894","24,145","21,099","31,478","52,358","18,442","21,785","21,108","34,581","24,934","25,223","34,184","14,500","15,477","37,390","43,778","26,939","44,305","23,122","23,443"
2020년12월_계_연령구간인구수,"580,185","41,894","24,145","21,099","31,478","52,358","18,442","21,785","21,108","34,581","24,934","25,223","34,184","14,500","15,477","37,390","43,778","26,939","44,305","23,122","23,443"
2020년12월_계_0~9세,"39,560","4,151","1,318","1,315","1,717","2,790","1,242","1,324","1,151","2,239","1,279","1,354","1,718",515,720,"3,450","3,816","2,601","4,309","1,169","1,382"
2020년12월_계_10~19세,"44,694","4,566","1,342","1,645","2,063","2,516","1,438","1,637","1,374","2,439","1,675","1,642","1,892",484,589,"4,998","5,478","1,729","4,226","1,451","1,510"
2020년12월_계_20~29세,"86,991","5,431","5,000","3,320","4,179","9,336","2,624","3,141","2,987","5,957","4,243","3,871","8,432","1,708","1,849","4,613","5,278","3,790","5,319","3,324","2,589"
2020년12월_계_30~39세,"99,062","7,351","6,010","3,538","4,661","10,553","2,928","3,208","3,389","6,358","4,181","4,269","8,328","2,410","3,123","4,433","5,590","5,021","6,492","3,493","3,726"
2020년12월_계_40~49세,"90,888","7,680","3,263","3,072","3,930","7,543","3,104","3,241","3,255","5,532","3,668","4,013","4,593","1,501","1,910","7,257","8,668","4,289","7,709","3,192","3,468"
2020년12월_계_50~59세,"86,196","5,957","3,037","3,449","5,368","7,464","2,854","3,319","3,433","4,891","3,964","3,772","4,293","2,210","2,283","5,711","6,523","3,820","6,535","3,704","3,609"
2020년12월_계_60~69세,"76,340","4,202","2,244","2,865","5,248","7,027","2,448","3,438","3,168","4,236","3,624","3,530","3,191","3,229","2,668","3,886","4,967","3,236","5,629","3,625","3,879"
2020년12월_계_70~79세,"38,915","1,755","1,135","1,360","2,559","3,774","1,342","1,784","1,659","2,114","1,647","2,081","1,169","1,533","1,561","2,131","2,553","1,675","2,822","2,129","2,132"
2020년12월_계_80~89세,"14,778",695,654,450,"1,448","1,173",388,567,597,677,552,601,479,767,653,765,756,649,"1,076",885,946
2020년12월_계_90~99세,"2,522",95,136,83,294,160,67,101,88,129,95,83,84,139,118,135,126,101,174,124,190
2020년12월_계_100세 이상,239,11,6,2,11,22,7,25,7,9,6,7,5,4,3,11,23,28,14,26,12
2020년12월_남_총인구수,"280,034","20,362","11,295","10,337","15,004","25,430","8,981","10,464","10,325","16,874","12,172","12,125","15,784","6,871","7,239","17,754","20,941","13,671","21,617","11,408","11,380"
2020년12월_남_연령구간인구수,"280,034","20,362","11,295","10,337","15,004","25,430","8,981","10,464","10,325","16,874","12,172","12,125","15,784","6,871","7,239","17,754","20,941","13,671","21,617","11,408","11,380"
2020년12월_남_0~9세,"20,222","2,144",683,680,884,"1,409",631,710,595,"1,143",638,677,897,252,379,"1,780","1,899","1,347","2,149",614,711
2020년12월_남_10~19세,"22,847","2,337",775,924,"1,085","1,277",720,828,715,"1,315",941,829,967,261,296,"2,394","2,646",886,"2,112",761,778
2020년12월_남_20~29세,"40,310","2,518","1,999","1,658","2,150","4,216","1,322","1,491","1,539","2,781","2,007","1,898","2,868",765,890,"2,268","2,526","1,907","2,566","1,595","1,346"
2020년12월_남_30~39세,"50,274","3,489","2,895","1,790","2,402","5,591","1,544","1,603","1,764","3,415","2,149","2,228","4,203","1,247","1,570","2,109","2,665","2,617","3,192","1,881","1,920"
2020년12월_남_40~49세,"45,542","3,761","1,609","1,497","1,875","3,938","1,567","1,549","1,677","2,822","1,853","2,036","2,402",770,"1,006","3,445","4,058","2,307","3,911","1,692","1,767"
2020년12월_남_50~59세,"41,264","2,925","1,474","1,599","2,461","3,511","1,338","1,574","1,628","2,306","1,884","1,689","2,062","1,031","1,072","2,756","3,247","1,940","3,185","1,845","1,737"
2020년12월_남_60~69세,"35,409","2,088","1,064","1,336","2,460","3,150","1,067","1,593","1,400","1,840","1,690","1,519","1,617","1,595","1,164","1,732","2,308","1,575","2,697","1,715","1,799"
2020년12월_남_70~79세,"18,187",826,510,673,"1,147","1,843",622,884,763,963,800,987,567,694,632,965,"1,254",799,"1,358",945,955
2020년12월_남_80~89세,"5,332",251,238,164,458,444,157,203,225,260,193,239,176,227,208,283,302,268,400,315,321
2020년12월_남_90~99세,572,23,46,16,77,42,11,23,17,26,16,21,24,27,21,19,30,14,41,34,44
2020년12월_남_100세 이상,75,0,2,0,5,9,2,6,2,3,1,2,1,2,1,3,6,11,6,11,2
2020년12월_여_총인구수,"300,151","21,532","12,850","10,762","16,474","26,928","9,461","11,321","10,783","17,707","12,762","13,098","18,400","7,629","8,238","19,636","22,837","13,268","22,688","11,714","12,063"
2020년12월_여_연령구간인구수,"300,151","21,532","12,850","10,762","16,474","26,928","9,461","11,321","10,783","17,707","12,762","13,098","18,400","7,629","8,238","19,636","22,837","13,268","22,688","11,714","12,063"
2020년12월_여_0~9세,"19,338","2,007",635,635,833,"1,381",611,614,556,"1,096",641,677,821,263,341,"1,670","1,917","1,254","2,160",555,671
2020년12월_여_10~19세,"21,847","2,229",567,721,978,"1,239",718,809,659,"1,124",734,813,925,223,293,"2,604","2,832",843,"2,114",690,732
2020년12월_여_20~29세,"46,681","2,913","3,001","1,662","2,029","5,120","1,302","1,650","1,448","3,176","2,236","1,973","5,564",943,959,"2,345","2,752","1,883","2,753","1,729","1,243"
2020년12월_여_30~39세,"48,788","3,862","3,115","1,748","2,259","4,962","1,384","1,605","1,625","2,943","2,032","2,041","4,125","1,163","1,553","2,324","2,925","2,404","3,300","1,612","1,806"
2020년12월_여_40~49세,"45,346","3,919","1,654","1,575","2,055","3,605","1,537","1,692","1,578","2,710","1,815","1,977","2,191",731,904,"3,812","4,610","1,982","3,798","1,500","1,701"
2020년12월_여_50~59세,"44,932","3,032","1,563","1,850","2,907","3,953","1,516","1,745","1,805","2,585","2,080","2,083","2,231","1,179","1,211","2,955","3,276","1,880","3,350","1,859","1,872"
2020년12월_여_60~69세,"40,931","2,114","1,180","1,529","2,788","3,877","1,381","1,845","1,768","2,396","1,934","2,011","1,574","1,634","1,504","2,154","2,659","1,661","2,932","1,910","2,080"
2020년12월_여_70~79세,"20,728",929,625,687,"1,412","1,931",720,900,896,"1,151",847,"1,094",602,839,929,"1,166","1,299",876,"1,464","1,184","1,177"
2020년12월_여_80~89세,"9,446",444,416,286,990,729,231,364,372,417,359,362,303,540,445,482,454,381,676,570,625
2020년12월_여_90~99세,"1,950",72,90,67,217,118,56,78,71,103,79,62,60,112,97,116,96,87,133,90,146
2020년12월_여_100세 이상,164,11,4,2,6,13,5,19,5,6,5,5,4,2,2,8,17,17,8,15,10
